ticker,score,latest_event_date,days_since,latest_event_kind,latest_event_detail,n_events_inner,n_events_window,window_days,all_event_kinds,mcap_M,price,p_b,drawdown_pct,above_52w_low_pct,sector,reasons
NSPR,78.0,2026-05-29,23,F4_PBUY,Stuka Paul $18k,7,8,120,"DEF14A_PSU,F4_PBUY",33.0,0.71,0.7626208,76.0,3.0,Healthcare,event 23d ago; insider P-buy; 7 events in 60d; DD 76% (unpriced); only 3% above 52w low
XBP,77.0,2026-05-15,37,10b5-1_TERM,Director TERMINATE,2,2,120,"10b5-1_TERM,DEF14A_PSU",24.0,2.07,0.27860028,92.0,3.0,Technology,event 37d ago; 10b5-1 termination; 2 events in 60d; DD 92% (unpriced); only 3% above 52w low; P/B 0.28
GSHD,72.0,2026-06-01,20,F4_PBUY,Langston Patrick R $100k,4,4,120,F4_PBUY,1224.0,34.37,-6.708959,70.0,2.0,Financial Services,event 20d ago; insider P-buy; 4 events in 60d; DD 70% (unpriced); only 2% above 52w low
DXC,71.0,2026-06-04,17,DEF14A_PSU,PSU core 43.0 gov 12.0,2,2,120,"DEF14A_PSU,F4_PBUY",1394.0,8.6,0.4839073,48.0,9.0,Technology,event 17d ago; PSU/gov in latest proxy; 2 events in 60d; DD 48%; only 9% above 52w low; P/B 0.48
FEED,71.0,2026-05-18,34,10b5-1_TERM,director TERMINATE,1,2,120,"10b5-1_ADOPT,10b5-1_TERM",5.0,0.7485,0.08652179,96.0,2.0,Healthcare,event 34d ago; 10b5-1 termination; DD 96% (unpriced); only 2% above 52w low; P/B 0.09
CHTR,71.0,2026-04-29,53,F4_PBUY,Davis Wade $995k,3,4,120,"DEF14A_PSU,F4_PBUY",19778.0,126.23,0.9474735,70.0,0.0,Communication Services,event 53d ago; insider P-buy; 3 events in 60d; DD 70% (unpriced); only 0% above 52w low
SBET,71.0,2026-05-08,44,10b5-1_TERM,director TERMINATE,1,3,120,"10b5-1_TERM,DEF14A_PSU",1043.0,5.29,0.43015122,87.0,5.0,Financial Services,event 44d ago; 10b5-1 termination; DD 87% (unpriced); only 5% above 52w low; P/B 0.43
ACON,69.0,2026-05-12,40,F4_PBUY,Breidbart Scott $18k,4,4,120,F4_PBUY,9.0,3.49,0.43413362,71.0,49.0,Healthcare,event 40d ago; insider P-buy; 4 events in 60d; DD 71% (unpriced); P/B 0.43
RPAY,68.0,2026-06-15,6,RESTRUCT_8K,score 39.0,2,2,120,"13D_FILER,RESTRUCT_8K",299.0,3.39,0.49123317,44.0,47.0,Technology,event 6d ago; RESTRUCT_8K; 2 events in 60d; DD 44%; P/B 0.49
GWRE,66.0,2026-06-05,16,10b5-1_TERM,Chief Financial Officer TERMINATE,1,1,120,10b5-1_TERM,8980.0,107.86,6.817952,60.0,1.0,Technology,event 16d ago; 10b5-1 termination; DD 60% (unpriced); only 1% above 52w low
GTM,66.0,2026-06-16,5,ACTIVIST_13D,score 20.0,4,5,120,"10b5-1_ADOPT,10b5-1_TERM,13D_FILER,ACTIVIST_13D,DEF14A_PSU",828.0,2.81,0.56459713,78.0,8.0,Technology,event 5d ago; 4 events in 60d; DD 78% (unpriced); only 8% above 52w low
