symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
ABI.BR,Consumer Staples,Large Cap,weekly,0,2,-2,-0.4698225936484982,,,▼,▼,,
ACCB.BR,Financials,Micro Cap,weekly,1,1,0,0.07418770453373938,▲,▼,,,,
ACKB.BR,Industrials,Mid Cap,weekly,2,0,2,0.31507319397977224,▲,▲,,,,
AED.BR,Real Estate,Mid Cap,weekly,1,0,1,1.3057365733724242,▲,,,,,
AGFB.BR,Industrials,Small Cap,weekly,0,2,-2,-0.7411331696593303,,,▼,▼,,
AGS.BR,Financials,Large Cap,weekly,1,0,1,0.23067044745237436,▲,,,,,
ATEB.BR,Real Estate,Small Cap,weekly,1,1,0,0.04287469880850525,,▲,,▼,,
BAR.BR,Information Technology,Mid Cap,weekly,2,0,2,0.33948830975028466,,▲,▲,,,
BEKB.BR,Industrials,Mid Cap,weekly,0,1,-1,-0.8387221454090235,▼,,,,,
CAMB.BR,Industrials,Micro Cap,weekly,0,1,-1,-0.17180374409817054,▼,,,,,
CFEB.BR,Industrials,Mid Cap,weekly,1,1,0,-0.018121380258462633,▲,▼,,,,
COFB.BR,Real Estate,Mid Cap,weekly,1,1,0,1.4309006443932835,▲,▼,,,,
COLR.BR,Consumer Staples,Mid Cap,weekly,0,1,-1,-0.36035813180275617,,▼,,,,
DECB.BR,Industrials,Small Cap,weekly,2,0,2,0.7034237272677875,,,▲,▲,,
DIE.BR,Consumer Discretionary,Mid Cap,weekly,2,1,1,1.0449971255115358,▲,▼,,▲,,
EXM.BR,Energy,Micro Cap,weekly,0,1,-1,-0.00936884456854763,▼,,,,,
FAGR.BR,Health Care,Small Cap,weekly,0,2,-2,-0.35153183909388913,▼,▼,,,,
FLOB.BR,Industrials,Small Cap,weekly,1,0,1,0.23536415055621968,,,,▲,,
GBLB.BR,Financials,Large Cap,weekly,0,4,-4,-0.6986757832422044,▼,▼,▼,▼,,
GIMB.BR,Financials,Small Cap,weekly,1,0,1,0.6797246292222212,,▲,,,,
IMMO.BR,Real Estate,Small Cap,weekly,2,0,2,0.6680285186742825,▲,▲,,,▼,
INCLU.BR,Real Estate,Micro Cap,weekly,1,0,1,0.14831086130668023,,▲,,,▲,
KBCA.BR,Financials,Mid Cap,weekly,1,1,0,0.050073892402318465,,,▲,▼,,
KIN.BR,Communication Services,Small Cap,weekly,1,0,1,0.2565000408867967,,▲,,,±,
LOTB.BR,Consumer Staples,Mid Cap,weekly,1,0,1,0.2802909866920016,,,,▲,,
MELE.BR,Information Technology,Mid Cap,weekly,0,1,-1,-1.1815526169328752,▼,,,,,
MONT.BR,Real Estate,Small Cap,weekly,1,0,1,0.6918777411246559,▲,,,,▼,
NYXH.BR,Health Care,Small Cap,weekly,0,1,-1,-0.7408808312256107,▼,,,,▲,
ONTEX.BR,Consumer Staples,Small Cap,weekly,1,0,1,0.939301755808811,▲,,,,,
OPTI.BR,Information Technology,Micro Cap,weekly,0,1,-1,-0.2205162884910149,▼,,,,▼,
OXUR.BR,Health Care,Micro Cap,weekly,1,1,0,-0.3800127532616751,▼,▲,,,▲,
RET.BR,Real Estate,Small Cap,weekly,0,2,-2,-0.45426806641795375,▼,▼,,,,
SOF.BR,Financials,Large Cap,weekly,1,0,1,0.3611256557311738,,,▲,±,,
SOLV.BR,Materials,Mid Cap,weekly,1,0,1,0.13959247350696333,,,,▲,▲,
SPA.BR,Consumer Staples,Small Cap,weekly,2,0,2,2.0726433904148553,▲,▲,,,,
TESB.BR,Materials,Small Cap,weekly,0,1,-1,-0.6516007675660285,▼,,,,,
TITC.BR,Materials,Small Cap,weekly,0,1,-1,-0.03916110207007015,,▼,,,,
TUB.BR,Health Care,Mid Cap,weekly,0,2,-2,-0.3162019850998191,,▼,,▼,▲,
UCB.BR,Health Care,Large Cap,weekly,0,1,-1,-0.5628714584739462,▼,,,,,
UMI.BR,Industrials,Large Cap,weekly,2,1,1,-1.1350557420153613,▼,,▲,▲,,
VAN.BR,Consumer Discretionary,Small Cap,weekly,0,1,-1,-0.011033990515619308,▼,,,,,
VGP.BR,Real Estate,Mid Cap,weekly,1,1,0,0.28984409308977366,▲,▼,,,,
VIO.BR,Materials,Small Cap,weekly,0,2,-2,-1.1593682194815036,▼,,,▼,,
WDP.BR,Real Estate,Small Cap,weekly,2,0,2,1.2463274931582227,▲,▲,,,,▼
WEB.BR,Real Estate,Micro Cap,weekly,1,2,-1,-0.5679266724015624,▲,,▼,▼,,
WEHB.BR,Real Estate,Small Cap,weekly,0,1,-1,-0.23449639108163645,,▼,,,,
XIOR.BR,Real Estate,Small Cap,weekly,2,1,1,0.5211877601688374,▲,,▲,▼,,
