symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
ABBN.SW,Industrials,Large Cap,weekly,1,1,0,-0.1479893811241286,▼,▲,,,,
ABBNE.SW,Industrials,Large Cap,weekly,2,0,2,0.07817195478125334,▲,▲,,,,
ADEN.SW,Industrials,Large Cap,weekly,1,1,0,1.1693294272604629,▲,▼,,,,
ADXN.SW,Health Care,Micro Cap,weekly,1,0,1,0.09467516351763958,▲,,,,,
AEVS.SW,Health Care,Small Cap,weekly,0,1,-1,-0.17251198543511942,▼,,,,,
APGN.SW,Communication Services,Small Cap,weekly,2,0,2,0.41829726075870693,,▲,▲,±,,
ASCN.SW,Health Care,Small Cap,weekly,0,1,-1,-0.003727470849920879,▼,,,,,
BAER.SW,Financials,Large Cap,weekly,2,0,2,0.5586058132889884,,,▲,▲,,
BANB.SW,Materials,Mid Cap,weekly,1,1,0,0.8192640608341657,▲,▼,,,,
BCHN.SW,Industrials,Small Cap,weekly,0,1,-1,-0.19447810000596122,▼,,,,,
BCJ.SW,Financials,Micro Cap,weekly,0,2,-2,-1.0495771864445822,,,▼,▼,,
BKW.SW,Utilities,Mid Cap,weekly,0,2,-2,-1.1510793847572298,,,▼,▼,,
BLKB.SW,Financials,Small Cap,weekly,1,0,1,1.7417082061825884,▲,,,,,
BSKP.SW,Financials,Small Cap,weekly,1,0,1,0.039598580863762334,▲,,,,,
BSLN.SW,Health Care,Small Cap,weekly,1,1,0,0.2483309100139145,▲,▼,,,,
BUCN.SW,Industrials,Mid Cap,weekly,1,0,1,0.17675898010125624,▲,,,,,
BVZN.SW,Financials,Mid Cap,weekly,1,0,1,1.8253231476116423,▲,,,,,
CALN.SW,Consumer Discretionary,Small Cap,weekly,1,0,1,0.5383382376813561,,▲,,,,
CFT.SW,Financials,Small Cap,weekly,3,0,3,0.5658142166035013,,▲,▲,▲,,
CLN.SW,Materials,Mid Cap,weekly,0,1,-1,-0.004213518266056085,▼,,,,,
