symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
22UA.DE,Health Care,Large Cap,weekly,0,1,-1,-0.23984145779099608,▼,,,,,
8TRA.DE,Industrials,Large Cap,weekly,0,1,-1,-0.4182678758774312,▼,,,,,
A7A.DE,Financials,Micro Cap,weekly,1,1,0,-0.22610590814586107,▼,▲,,,,
AAD.DE,Industrials,Small Cap,weekly,0,1,-1,-0.27240441210017485,▼,,,,,
AAG.DE,Industrials,Micro Cap,weekly,1,0,1,0.19125762554426176,,▲,,,▲,
AB9.DE,Industrials,Small Cap,weekly,0,2,-2,-3.853214060050945,▼,▼,,,,
ACWN.DE,Consumer Discretionary,Micro Cap,weekly,2,1,1,0.23210038043843673,,▲,▲,▼,,
ACX.DE,Consumer Discretionary,Small Cap,weekly,0,1,-1,-0.2859347663077738,,▼,,,,
ADN1.DE,Information Technology,Small Cap,weekly,1,1,0,0.31452243899475574,▲,,▼,,,
ADS.DE,Consumer Discretionary,Large Cap,weekly,1,1,0,0.143672401842519,▼,,,▲,,
AG1.DE,Consumer Discretionary,Mid Cap,weekly,1,0,1,0.37426030239228336,,,,▲,▲,
AIXA.DE,Information Technology,Mid Cap,weekly,0,1,-1,-0.06559924517936801,▼,,,,,
AJ91.DE,Health Care,Micro Cap,weekly,0,2,-2,-1.063346378821111,▼,▼,,,▼,
ALG.DE,Financials,Micro Cap,weekly,1,0,1,0.23548723117166098,▲,,,,▼,
ALV.DE,Financials,Large Cap,weekly,3,0,3,1.4360403469237466,,▲,▲,▲,,
AOF.DE,Information Technology,Small Cap,weekly,0,2,-2,-0.9061305641492098,▼,,▼,,,
BAYN.DE,Health Care,Large Cap,weekly,1,0,1,1.0686159973145486,,▲,,,,
BC8.DE,Information Technology,Mid Cap,weekly,2,1,1,0.6228858273437535,,▼,▲,▲,,
BEI.DE,Consumer Staples,Large Cap,weekly,1,0,1,0.46635915434896513,▲,,,,,
BEZ.DE,Consumer Staples,Micro Cap,weekly,1,0,1,0.3354018713307627,▲,,,,,
BIJ.DE,Consumer Discretionary,Micro Cap,weekly,1,0,1,0.28846328500362123,▲,,,,,
BMW.DE,Consumer Discretionary,Large Cap,weekly,0,1,-1,-3.2224633163516443,,▼,,,,
BNN.DE,Health Care,Micro Cap,weekly,0,1,-1,-0.04480775845094897,▼,,,,,
BOSS.DE,Consumer Discretionary,Mid Cap,weekly,0,1,-1,-0.4580463114859544,▼,,,,,
BST.DE,Communication Services,Micro Cap,weekly,1,0,1,0.2137497808063404,,,,▲,,
BVB.DE,Consumer Discretionary,Small Cap,weekly,0,1,-1,-0.21063776509186038,▼,,,,▲,
BWQ.DE,Information Technology,Micro Cap,weekly,0,1,-1,-0.22599760851006395,▼,,,,,
BYW.DE,Industrials,Small Cap,weekly,0,1,-1,-1.3264506597672243,▼,,,,,
CBK.DE,Financials,Mid Cap,weekly,2,0,2,0.6367808341080325,,,▲,▲,,
CEA.DE,Information Technology,Micro Cap,weekly,1,0,1,0.17550402592849995,▲,,,,,
CLIQ.DE,Communication Services,Micro Cap,weekly,1,0,1,0.20499422676715562,▲,,,,,▼
COK.DE,Information Technology,Mid Cap,weekly,1,1,0,-0.6438190543886474,▼,▲,,,,
CWC.DE,Consumer Discretionary,Small Cap,weekly,2,0,2,0.6203449883890249,▲,▲,,,,
DAM.DE,Information Technology,Micro Cap,weekly,1,1,0,-0.027358418462188283,,,▲,▼,▼,
DBK.DE,Financials,Large Cap,weekly,2,0,2,1.1611135232666896,,,▲,▲,▲,
DEX.DE,Consumer Discretionary,Micro Cap,weekly,1,0,1,0.3666577670568269,▲,,,,▼,
DEZ.DE,Industrials,Small Cap,weekly,1,1,0,-0.6380762448442776,▼,▲,,,▼,
DIE.DE,Consumer Discretionary,Micro Cap,weekly,0,1,-1,-0.10321115808722625,,▼,,,▼,
DLX.DE,Materials,Micro Cap,weekly,0,1,-1,-0.03464065995461498,,▼,,,,
DMP.DE,Health Care,Mid Cap,weekly,0,1,-1,-0.7440444252246914,▼,,,,▲,
DMRE.DE,Real Estate,Small Cap,weekly,1,1,0,-0.3454647220344985,▼,▲,,,▲,
DR0.DE,Energy,Micro Cap,weekly,0,3,-3,-3.3906097538114,▼,,▼,▼,,
DRW8.DE,Health Care,Small Cap,weekly,0,1,-1,-0.14092827271997604,▼,,,,,
DWNI.DE,Real Estate,Large Cap,weekly,1,0,1,0.13855946822374163,,▲,,,,
DWS.DE,Financials,Mid Cap,weekly,3,0,3,0.9799608382476818,▲,,▲,▲,,
E4C.DE,Communication Services,Micro Cap,weekly,1,1,0,-0.0038358673084586403,,,▲,▼,,
EBK.DE,Utilities,Large Cap,weekly,2,0,2,2.1716290041035533,▲,▲,,,▲,
ECK.DE,Consumer Discretionary,Micro Cap,weekly,2,0,2,3.5190843448235753,▲,▲,,,▲,▲
EKT.DE,Utilities,Small Cap,weekly,0,1,-1,-0.06820594825818516,▼,,,,,
ELG.DE,Information Technology,Small Cap,weekly,0,1,-1,-0.08210896248643318,,,,▼,,
ENR.DE,Utilities,Large Cap,weekly,1,0,1,0.9087674011774712,,▲,,,,
ERWE.DE,Real Estate,Micro Cap,weekly,1,0,1,0.2494625761013262,▲,,,,,
ETG.DE,Utilities,Small Cap,weekly,0,2,-2,-0.6851087759875112,,,▼,▼,,
EVD.DE,Communication Services,Mid Cap,weekly,1,0,1,0.7406367985165734,▲,,,,,
EVT.DE,Health Care,Mid Cap,weekly,2,1,1,0.21841230308024928,▲,,▼,▲,,
FC9.DE,Real Estate,Micro Cap,weekly,1,0,1,0.21221380153538488,,,,▲,,
FEV.DE,Information Technology,Micro Cap,weekly,1,1,0,-0.023524003861734866,,,▼,▲,±,
FIE.DE,Consumer Discretionary,Mid Cap,weekly,2,0,2,1.3090550797040788,▲,▲,,,▲,
FRA.DE,Industrials,Mid Cap,weekly,1,0,1,0.25850905394938756,▲,,,,,
FRE.DE,Health Care,Large Cap,weekly,1,1,0,0.15756541014269232,▲,▼,,,,
FTK.DE,Financials,Small Cap,weekly,1,0,1,0.25645281429534095,,,,▲,,
FYB.DE,Health Care,Small Cap,weekly,1,1,0,0.045311116620362524,,,▲,▼,,
G1A.DE,Industrials,Mid Cap,weekly,1,0,1,0.9397708029874499,▲,,,,,
GLJ.DE,Financials,Small Cap,weekly,0,1,-1,-0.2630201866947948,,,,▼,,
GME.DE,Health Care,Micro Cap,weekly,0,1,-1,-0.04285847793546654,▼,,,,▼,
GSC1.DE,Industrials,Micro Cap,weekly,0,1,-1,-0.44775431912572944,,▼,,,,
GTY.DE,Real Estate,Small Cap,weekly,0,1,-1,-0.4570900823649287,▼,,,,,
H9W.DE,Consumer Discretionary,Micro Cap,weekly,2,0,2,0.7817193291476803,▲,▲,,,▲,
HAW.DE,Consumer Staples,Small Cap,weekly,1,1,0,0.28341181433254214,▼,▲,,,,
HBH.DE,Consumer Discretionary,Small Cap,weekly,1,0,1,0.21469005311394573,▲,,,,,
HDD.DE,Industrials,Small Cap,weekly,0,2,-2,-0.2927106791989917,,,▼,▼,,
HEI.DE,Materials,Large Cap,weekly,1,0,1,0.21526935165613442,,,,▲,,
HEN.DE,Consumer Staples,Large Cap,weekly,1,0,1,0.5062946087365605,,,,▲,,
HLAG.DE,Industrials,Large Cap,weekly,1,0,1,0.2164207706298963,▲,,,,,
HLE.DE,Consumer Discretionary,Mid Cap,weekly,1,0,1,0.023905915614165583,,▲,,,,
HNR1.DE,Financials,Large Cap,weekly,0,3,-3,-0.5964216491926047,,▼,▼,▼,,
IBU.DE,Materials,Micro Cap,weekly,0,1,-1,-0.3818041932504722,▼,,,,,
INH.DE,Industrials,Small Cap,weekly,0,1,-1,-0.09364576271345915,,▼,,,▼,
ISHA.DE,Information Technology,Micro Cap,weekly,2,1,1,0.5453567530863566,▲,,▼,▲,▲,
IVU.DE,Information Technology,Small Cap,weekly,0,2,-2,-0.4299684218776971,,,▼,▼,,
IXX.DE,Information Technology,Small Cap,weekly,0,1,-1,-1.039155959023073,▼,,,,,
JST.DE,Industrials,Small Cap,weekly,2,0,2,0.828251726317173,▲,▲,,,,
JUN3.DE,Industrials,Mid Cap,weekly,2,0,2,2.3279298048767396,▲,▲,,,,
KBX.DE,Consumer Discretionary,Large Cap,weekly,0,1,-1,-0.2444585946914071,▼,,,,,
