symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAA.PA,Industrials,Micro Cap,daily,1,2,-1,-0.045441719298724925,,▼,▲,▼,,
AB.PA,Health Care,Small Cap,daily,1,0,1,0.0694582060070701,▲,,,,,
ABCA.PA,Financials,Small Cap,daily,1,2,-1,-0.6048243873556746,,▲,▼,▼,▼,
ABVX.PA,Health Care,Small Cap,daily,3,0,3,0.73934996410338,▲,,▲,▲,▼,
AC.PA,Consumer Discretionary,Large Cap,daily,0,1,-1,-0.39421002901471847,,▼,,,,
ADOC.PA,Health Care,Micro Cap,daily,0,2,-2,-0.29480928782282273,▼,,,▼,▼,
ADP.PA,Industrials,Large Cap,daily,0,2,-2,-0.2695126430231115,,,▼,▼,,
AF.PA,Industrials,Mid Cap,daily,1,0,1,1.306479536502307,,▲,,,,
AI.PA,Materials,Large Cap,daily,2,2,0,0.5641375211766892,▲,▼,▼,▲,,▼
AKE.PA,Materials,Mid Cap,daily,0,3,-3,-0.3612138612267195,▼,▼,,▼,,
AKW.PA,Consumer Discretionary,Small Cap,daily,0,3,-3,-0.47614880361646517,▼,▼,,▼,▼,
ALBFR.PA,Information Technology,Micro Cap,daily,0,1,-1,-0.15150003667220951,▼,,,,,
ALBI.PA,Consumer Discretionary,Micro Cap,daily,0,2,-2,-0.31903120069402496,▼,▼,,,▼,
ALBIO.PA,Health Care,Micro Cap,daily,1,0,1,0.8239996952173378,▲,,,,,
ALCLA.PA,Industrials,Micro Cap,daily,1,0,1,0.18539745829034987,,▲,,,,
ALCLS.PA,Health Care,Small Cap,daily,2,1,1,0.14736875386477988,▲,▼,,▲,,
ALCRB.PA,Materials,Small Cap,daily,1,0,1,0.1322143325184431,,▲,,,±,
ALDAR.PA,Consumer Discretionary,Micro Cap,daily,0,1,-1,-0.10366418524235013,▼,,,,,
ALDEL.PA,Consumer Discretionary,Micro Cap,daily,2,0,2,0.25800128021723595,▲,▲,,,,
ALDNE.PA,Communication Services,Micro Cap,daily,0,2,-2,-0.21394975137812922,,,▼,▼,▼,▼
ALECO.PA,Consumer Staples,Micro Cap,daily,1,2,-1,-0.2047948900658633,▼,▼,,▲,▼,
ALEMG.PA,Health Care,Micro Cap,daily,4,0,4,0.44356400858898604,▲,▲,▲,▲,,
ALESA.PA,Industrials,Micro Cap,daily,3,0,3,0.1962387941406434,,▲,▲,▲,,
ALFLE.PA,Consumer Staples,Micro Cap,daily,1,1,0,-0.06380271094171056,,▼,,▲,,
ALFPC.PA,Consumer Discretionary,Micro Cap,daily,2,1,1,0.5372110956856879,,▼,▲,▲,▲,
ALFRE.PA,Industrials,Micro Cap,daily,1,2,-1,0.006140408182001579,▲,,▼,▼,,
ALGEV.PA,Industrials,Micro Cap,daily,0,1,-1,-0.03935764728924421,▼,,,,,
ALHGR.PA,Materials,Small Cap,daily,2,0,2,0.2155129194140754,▲,▲,,,▲,▼
ALHRG.PA,Materials,Micro Cap,daily,1,1,0,0.0599448554014006,▲,,▼,±,▲,
ALHRS.PA,Consumer Discretionary,Small Cap,daily,1,0,1,0.628353261231836,▲,,,,,
ALKAL.PA,Information Technology,Micro Cap,daily,1,1,0,-0.039323679655468124,▲,▼,,,,
ALKEY.PA,Information Technology,Micro Cap,daily,1,1,0,-0.029838157762811124,▼,▲,,,,
ALLAN.PA,Consumer Staples,Micro Cap,daily,2,1,1,0.46583754970407154,,▼,▲,▲,▼,
ALLDL.PA,Consumer Discretionary,Small Cap,daily,1,0,1,0.705291301206499,▲,,,,,
ALLHB.PA,Consumer Discretionary,Micro Cap,daily,0,1,-1,-0.305654107242991,,,▼,,▼,▲
ALLUX.PA,Materials,Micro Cap,daily,0,1,-1,-0.1806468019947617,,,,▼,▲,
ALMDT.PA,Health Care,Micro Cap,daily,1,0,1,0.11755840129448535,▲,,,,▼,▲
ALMGI.PA,Industrials,Micro Cap,daily,3,0,3,0.13047983939498925,▲,,▲,▲,▼,
ALMOU.PA,Materials,Micro Cap,daily,0,1,-1,-0.15599697226306125,▼,,,,,
ALMRB.PA,Consumer Discretionary,Micro Cap,daily,2,2,0,0.2690988981955848,▲,▼,▼,▲,▼,▼
ALNSE.PA,Information Technology,Micro Cap,daily,1,0,1,0.23411344207250753,±,▲,,,▲,
ALO.PA,Industrials,Large Cap,daily,0,2,-2,-0.5470182726912616,▼,,,▼,,
ALPDX.PA,Consumer Discretionary,Micro Cap,daily,1,0,1,0.11694205016610455,,▲,,,▲,
ALPJT.PA,Industrials,Micro Cap,daily,0,1,-1,-0.1783032724091119,▼,,,,▲,
ALREA.PA,Real Estate,Micro Cap,daily,0,2,-2,-0.7346130455117259,,,▼,▼,,
ALSEN.PA,Health Care,Micro Cap,daily,0,1,-1,-0.21537616995605322,,▼,,,▼,
ALTA.PA,Real Estate,Mid Cap,daily,0,2,-2,-0.4266380255196123,,,▼,▼,,
ALTHX.PA,Health Care,Micro Cap,daily,1,0,1,0.022246693032620075,▲,,,,,
ALTUV.PA,Industrials,Micro Cap,daily,1,0,1,0.559903443742653,▲,,,,,
ALVDM.PA,Consumer Discretionary,Small Cap,daily,1,1,0,0.034779138336292675,▲,▼,,,▼,
ALVU.PA,Consumer Discretionary,Micro Cap,daily,2,1,1,0.7542974211211211,,▼,▲,▲,,
AM.PA,Industrials,Large Cap,daily,0,1,-1,-0.16465686504858942,▼,,,,,▼
AMUN.PA,Financials,Large Cap,daily,2,1,1,-0.7767024508902525,▼,,▲,▲,,
ARG.PA,Real Estate,Mid Cap,daily,2,0,2,1.2346407996598363,▲,,▲,±,,
ARTO.PA,Information Technology,Small Cap,daily,1,1,0,-0.18286603151166209,,,▲,▼,,
ATE.PA,Information Technology,Mid Cap,daily,0,1,-1,-0.13981898877382126,▼,,,,,
ATEME.PA,Information Technology,Micro Cap,daily,1,0,1,0.003509259231163728,,▲,,,,
AUB.PA,Information Technology,Small Cap,daily,1,0,1,0.2690604521521691,▲,,,,,
AURE.PA,Industrials,Micro Cap,daily,0,1,-1,-0.06323924480825063,▼,,,,,
BASS.PA,Industrials,Small Cap,daily,1,0,1,0.11882171471359457,,▲,,,▲,
BB.PA,Consumer Staples,Mid Cap,daily,0,2,-2,-0.163692437979909,▼,▼,,,▲,
BEN.PA,Consumer Discretionary,Small Cap,daily,2,1,1,0.2471025620049312,▲,▲,▼,,,
BIM.PA,Health Care,Large Cap,daily,1,0,1,1.0264427043134214,▲,,,,±,
BLEE.PA,Real Estate,Micro Cap,daily,1,0,1,0.19252667920584215,,▲,,,,▼
BNP.PA,Financials,Large Cap,daily,1,0,1,0.1001538673941076,,▲,,,,
BOI.PA,Health Care,Small Cap,daily,1,2,-1,-0.5605918481876876,,▲,▼,▼,,
BOL.PA,Communication Services,Large Cap,daily,2,0,2,0.7017725781677593,,▲,▲,±,±,
BON.PA,Consumer Staples,Small Cap,daily,1,2,-1,-0.004306936292187119,▼,▼,▲,,,
BSD.PA,Financials,Micro Cap,daily,1,0,1,0.08599217838894091,▲,,,,,
BUR.PA,Consumer Discretionary,Small Cap,daily,0,1,-1,-0.14220289522543575,,▼,,,,
BVI.PA,Industrials,Large Cap,daily,1,2,-1,0.7356191482932213,▲,▼,,▼,,
CA.PA,Consumer Staples,Large Cap,daily,0,1,-1,-0.14264031005558175,▼,,,,±,
CAF.PA,Financials,Small Cap,daily,0,1,-1,-0.34799402766181314,,▼,,,,
CAP.PA,Information Technology,Large Cap,daily,0,1,-1,-0.058953539734635914,,,,▼,▲,
CAT31.PA,Financials,Small Cap,daily,1,0,1,0.19826419262309045,,▲,,,±,▼
CBDG.PA,Industrials,Mid Cap,daily,1,1,0,0.3152686172395338,▲,▼,,,▲,
