symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
0001.HK,Industrials,Large Cap,weekly,1,0,1,0.058640205031518434,,,,▲,,
0004.HK,Real Estate,Large Cap,weekly,0,1,-1,-0.2576954321561656,▼,,,,,
0008.HK,Communication Services,Mid Cap,weekly,1,0,1,0.08990059828848557,,,,▲,,
0010.HK,Real Estate,Mid Cap,weekly,0,2,-2,-0.5309014740299871,▼,▼,,,,
0019.HK,Industrials,Large Cap,weekly,0,2,-2,-0.4461805279545643,,,▼,▼,▼,
0030.HK,Financials,Small Cap,weekly,1,0,1,0.3900168125083468,▲,,,,,
0034.HK,Real Estate,Small Cap,weekly,0,1,-1,-0.10848335884647888,▼,,,,,
0050.HK,Real Estate,Micro Cap,weekly,1,0,1,0.23448618621873163,,▲,,,,
0052.HK,Consumer Discretionary,Micro Cap,weekly,2,0,2,1.4631165360353746,▲,,▲,,▲,
0057.HK,Industrials,Micro Cap,weekly,0,2,-2,-1.6100554836105239,▼,▼,,,,▼
0073.HK,Consumer Staples,Micro Cap,weekly,1,0,1,0.06632065743888542,▲,,,,▲,
0075.HK,Real Estate,Micro Cap,weekly,1,0,1,0.21670506311180207,▲,,,,▼,
0085.HK,Information Technology,Micro Cap,weekly,0,1,-1,-0.41809333620132233,▼,,,,,
0087.HK,Industrials,Large Cap,weekly,0,1,-1,-0.07793593131270446,,▼,,,,
0093.HK,Real Estate,Micro Cap,weekly,0,1,-1,-0.023782996124057827,▼,,,,▲,
0101.HK,Real Estate,Large Cap,weekly,0,1,-1,-0.2682511663943543,,▼,,,,
0113.HK,Consumer Discretionary,Micro Cap,weekly,0,1,-1,-0.40292846060482274,▼,,,,,
0114.HK,Consumer Discretionary,Micro Cap,weekly,0,3,-3,-1.1275262797039534,▼,▼,,▼,,
0120.HK,Real Estate,Small Cap,weekly,1,0,1,0.07456272190271691,,▲,,,,
0123.HK,Real Estate,Micro Cap,weekly,0,1,-1,-0.9309574294646591,▼,,,,,
0124.HK,Real Estate,Micro Cap,weekly,0,1,-1,-0.6281561764554998,▼,,,,,
0126.HK,Consumer Discretionary,Micro Cap,weekly,0,2,-2,-0.5209348471677339,▼,,▼,,▼,
