symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
A2A.MI,Utilities,Mid Cap,daily,2,0,2,0.5229712502525102,▲,▲,,,▲,
ABT.MI,Real Estate,Micro Cap,daily,0,2,-2,-0.8326463063889336,▼,,,▼,,
ACE.MI,Utilities,Mid Cap,daily,0,1,-1,-0.9009097712329415,▼,,,,,
ADB.MI,Industrials,Small Cap,daily,2,1,1,0.18041554187878941,▼,▲,▲,±,,
AEF.MI,Consumer Discretionary,Micro Cap,daily,0,1,-1,-0.6532122836290414,▼,,,,▼,
AMP.MI,Health Care,Mid Cap,daily,1,1,0,-0.11654128710440981,▲,▼,,,▲,
ANIM.MI,Financials,Small Cap,daily,0,1,-1,-0.14071039730368826,▼,,,,,
ARN.MI,Utilities,Small Cap,daily,1,1,0,0.23372722891956763,▲,,,▼,,
ASC.MI,Utilities,Small Cap,daily,2,0,2,0.2988592675791285,▲,,▲,,▼,
AVIO.MI,Industrials,Small Cap,daily,1,0,1,0.13981655568011542,▲,,,,▲,
AZM.MI,Financials,Mid Cap,daily,0,3,-3,-0.7385469220083157,,▼,▼,▼,,
B.MI,Industrials,Micro Cap,daily,3,1,2,-0.13447991027913375,▲,▼,▲,▲,▲,▲
BAMI.MI,Financials,Mid Cap,daily,0,2,-2,-0.4021752163236795,,▼,▼,±,±,
BAN.MI,Consumer Discretionary,Micro Cap,daily,0,3,-3,-0.4292499322051785,,▼,▼,▼,,
BEC.MI,Information Technology,Micro Cap,daily,0,1,-1,-0.437551628997315,▼,±,,,▼,
BFF.MI,Financials,Small Cap,daily,1,2,-1,-0.032150435710014746,,▼,▲,▼,,
BFG.MI,Consumer Staples,Small Cap,daily,0,1,-1,-0.08258249786091867,,,,▼,,
BMED.MI,Financials,Mid Cap,daily,1,0,1,0.07524484799676492,▲,,,,±,
BMPS.MI,Financials,Small Cap,daily,1,1,0,-0.07902049426250594,,,▲,▼,,▼
BPE.MI,Financials,Mid Cap,daily,0,1,-1,-0.21018535183678144,,,,▼,▼,
BRI.MI,Real Estate,Micro Cap,daily,2,0,2,1.6323242889686478,▲,▲,,,▲,
BSS.MI,Industrials,Small Cap,daily,2,1,1,0.5201944824902165,▲,▼,▲,±,▲,
BZU.MI,Materials,Mid Cap,daily,1,1,0,0.059717541721198975,▲,,,▼,▼,
CE.MI,Financials,Mid Cap,daily,1,0,1,0.008975149336234995,▲,,,,,
CELL.MI,Information Technology,Micro Cap,daily,0,1,-1,-0.221469616708814,▼,,,,,
CEM.MI,Materials,Small Cap,daily,2,0,2,0.5574786475942086,▲,,▲,±,,▼
CIR.MI,Consumer Discretionary,Small Cap,daily,3,0,3,1.3280341454565459,▲,▲,,▲,,▲
CLI.MI,Consumer Staples,Micro Cap,daily,2,2,0,0.052772295555461354,▲,▼,▼,▲,,
CMB.MI,Industrials,Small Cap,daily,0,1,-1,-0.28483391350708237,,▼,,,,
COM.MI,Industrials,Small Cap,daily,0,1,-1,-0.4829000602635942,▼,,,,,
CPR.MI,Consumer Staples,Large Cap,daily,1,0,1,0.06914475247751575,▲,,,,,
CRL.MI,Information Technology,Mid Cap,daily,1,1,0,-0.07740696246044254,▲,,,▼,▼,
CY4.MI,Information Technology,Micro Cap,daily,1,1,0,0.0003019269571488681,,,▲,▼,▼,
CYB.MI,Information Technology,Micro Cap,daily,0,1,-1,-0.016412324471089687,,,▼,,±,
DAL.MI,Information Technology,Small Cap,daily,0,1,-1,-0.16698067866506533,,,,▼,±,
DIB.MI,Communication Services,Small Cap,daily,2,0,2,0.8246794769716639,▲,▲,,,,
DLG.MI,Consumer Discretionary,Mid Cap,daily,2,1,1,-0.6234622832529397,▼,▲,▲,±,▲,
DOV.MI,Financials,Small Cap,daily,2,0,2,1.4388994785866827,▲,▲,,,,
DOX.MI,Information Technology,Micro Cap,daily,1,0,1,0.18013397797459652,,▲,,,,
ECNL.MI,Consumer Discretionary,Small Cap,daily,1,0,1,0.17812296680691017,▲,,,,,
EDAC.MI,Industrials,Micro Cap,daily,1,0,1,0.6279305486542163,,,▲,,,
EDNR.MI,Utilities,Mid Cap,daily,1,0,1,0.6932654304453185,▲,,,,,
ELC.MI,Consumer Discretionary,Micro Cap,daily,1,0,1,0.0876428425790068,▲,,,,,
EM.MI,Industrials,Small Cap,daily,0,1,-1,-0.2883552210278339,▼,,,,,
ENAV.MI,Industrials,Mid Cap,daily,1,1,0,0.17654550240349315,▲,,,▼,±,
ENEL.MI,Utilities,Large Cap,daily,1,0,1,0.4138663294824647,▲,,,,,
ENI.MI,Energy,Large Cap,daily,0,1,-1,-0.22160875862143112,▼,,,,▲,
ENV.MI,Consumer Staples,Micro Cap,daily,1,0,1,0.9442018096079142,▲,,,,,
EQUI.MI,Financials,Micro Cap,daily,1,0,1,0.9853843658636213,▲,,,,▲,
ERG.MI,Utilities,Mid Cap,daily,1,0,1,0.5397536118758443,▲,,,,▼,
ETH.MI,Information Technology,Micro Cap,daily,1,0,1,0.14103275716356295,,▲,,,±,▲
FBK.MI,Financials,Large Cap,daily,2,1,1,0.22056981200369485,▲,▼,▲,±,▼,
FCT.MI,Industrials,Small Cap,daily,2,2,0,0.10093582031073314,▲,▲,▼,▼,,
FF.MI,Health Care,Small Cap,daily,2,0,2,0.666116597018687,▲,,▲,,▲,
FIC.MI,Financials,Micro Cap,daily,2,0,2,2.7256844358758743,▲,▲,,,,
FM.MI,Industrials,Small Cap,daily,2,0,2,0.5736686369932116,▲,▲,,,,
FUM.MI,Industrials,Small Cap,daily,0,1,-1,-0.02226488370097148,▼,,,,,
G.MI,Financials,Large Cap,daily,1,1,0,-0.08383233478303734,,,▼,▲,,
GAB.MI,Real Estate,Micro Cap,daily,2,0,2,0.3850215123112237,▲,▲,,,▼,
GEO.MI,Consumer Discretionary,Micro Cap,daily,2,2,0,1.0127294307576142,▲,▲,▼,▼,,
GHC.MI,Health Care,Small Cap,daily,0,1,-1,-0.17322752171357222,,▼,,,▲,
GPI.MI,Industrials,Micro Cap,daily,0,1,-1,-0.2506478609839277,▼,,,,▲,
GSP.MI,Utilities,Micro Cap,daily,0,1,-1,-0.19125920700400323,,,,▼,▲,
GVS.MI,Industrials,Mid Cap,daily,1,2,-1,-0.4449156195924061,,▲,▼,▼,▼,
IB.MI,Industrials,Micro Cap,daily,1,0,1,0.7493372222917699,▲,,,,,
ICF.MI,Materials,Micro Cap,daily,1,0,1,0.9605893819925403,▲,,,,,
IEG.MI,Communication Services,Micro Cap,daily,2,0,2,1.555818085940132,▲,▲,,,,
IF.MI,Financials,Small Cap,daily,0,2,-2,-0.46924943052734686,▼,±,▼,±,▲,▲
IG.MI,Utilities,Mid Cap,daily,0,2,-2,-0.07433196722767572,,±,▼,▼,▼,
IGV.MI,Consumer Discretionary,Micro Cap,daily,1,2,-1,-0.033220367045880606,▲,▼,,▼,▲,
IKGR.MI,Materials,Micro Cap,daily,1,0,1,0.023494385799870864,▲,,,,▼,
ILP.MI,Industrials,Micro Cap,daily,2,0,2,2.216280552278125,▲,▲,,,,
IMS.MI,Consumer Discretionary,Micro Cap,daily,1,0,1,0.4044750673045734,▲,,,,,
INC.MI,Utilities,Micro Cap,daily,2,0,2,0.1996684008646744,,,▲,▲,,
INDB.MI,Information Technology,Micro Cap,daily,1,0,1,0.12808668554069882,▲,,,,▲,
INW.MI,Communication Services,Mid Cap,daily,2,0,2,0.20147718491163177,▲,▲,,,▲,
IP.MI,Industrials,Mid Cap,daily,2,2,0,-0.4504545101726587,▼,▲,▲,▼,,
IRC.MI,Industrials,Micro Cap,daily,1,0,1,0.7769918714253217,▲,,,,,
IRE.MI,Utilities,Mid Cap,daily,1,0,1,0.7882937660631587,▲,,,,,
ISP.MI,Financials,Large Cap,daily,1,1,0,-0.07203505626359058,▲,▼,,,±,
