symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
1301.T,Consumer Staples,Micro Cap,daily,2,0,2,1.0645919891308406,▲,▲,,,,
1332.T,Consumer Staples,Small Cap,daily,1,0,1,0.9727690310066317,▲,,,,,
1333.T,Consumer Staples,Small Cap,daily,0,1,-1,-0.08569816355781056,▼,,,,▼,
1375.T,Consumer Staples,Small Cap,daily,1,0,1,0.5484139984913196,,▲,,,,
1376.T,Materials,Micro Cap,daily,0,1,-1,-0.17565955796095636,▼,,,,,
1377.T,Consumer Staples,Small Cap,daily,1,2,-1,-0.3862623748671036,▼,,▼,▲,,
1379.T,Consumer Staples,Small Cap,daily,1,2,-1,0.7689715835811759,▲,▼,,▼,,
1381.T,Consumer Staples,Micro Cap,daily,1,2,-1,-0.11348149600413156,▲,,▼,▼,▲,▲
1417.T,Industrials,Small Cap,daily,1,0,1,0.5304443758289917,▲,,,,,
1446.T,Industrials,Micro Cap,daily,0,2,-2,-0.24916579227556113,,▼,,▼,,
1447.T,Information Technology,Micro Cap,daily,2,1,1,0.6109367295776672,▲,,▲,▼,,▲
1450.T,Industrials,Micro Cap,daily,2,0,2,0.17129371475819466,,,▲,▲,▼,
1515.T,Materials,Small Cap,daily,1,2,-1,0.2058621620601103,▼,▼,,▲,,▼
1518.T,Materials,Micro Cap,daily,1,0,1,0.3769533495030354,▲,,,,,
1716.T,Industrials,Micro Cap,daily,2,0,2,1.0558657883787623,▲,▲,,,,
1719.T,Industrials,Small Cap,daily,1,1,0,0.29013742146361116,▲,,,▼,,
1721.T,Industrials,Mid Cap,daily,1,1,0,0.23880978388990048,▼,▲,,,,
1736.T,Industrials,Micro Cap,daily,0,1,-1,-0.034211071382526465,,▼,,,,
1762.T,Industrials,Small Cap,daily,1,1,0,0.07536035405807401,▼,▲,,,,
1770.T,Industrials,Micro Cap,daily,2,0,2,6.456937017522787,▲,▲,,,,
1780.T,Industrials,Micro Cap,daily,0,1,-1,-0.10705495714493478,▼,,,,,
1786.T,Industrials,Small Cap,daily,0,2,-2,-0.362555796324912,▼,▼,,,,
1787.T,Industrials,Micro Cap,daily,1,0,1,0.09816467674706762,±,▲,,,▲,
1793.T,Industrials,Micro Cap,daily,0,1,-1,-0.8567505042099136,▼,,,,,
1799.T,Industrials,Small Cap,daily,0,1,-1,-0.1797608352760182,▼,,,,,
1801.T,Industrials,Mid Cap,daily,1,1,0,0.11229219691874093,▼,▲,,,,▼
1802.T,Industrials,Mid Cap,daily,1,0,1,0.1407618992620178,▲,,,,,
1808.T,Industrials,Mid Cap,daily,0,1,-1,-0.05995280483540246,,▼,,,▲,
1811.T,Industrials,Micro Cap,daily,0,2,-2,-0.15673561012324128,▼,▼,,,,
1812.T,Industrials,Mid Cap,daily,1,0,1,0.008900973535281765,▲,,,,,▼
1814.T,Real Estate,Micro Cap,daily,0,1,-1,-0.13133516819033306,▼,,,,,
1815.T,Industrials,Micro Cap,daily,1,0,1,0.062401538245164284,▲,,,,,
1820.T,Industrials,Small Cap,daily,3,0,3,0.6013523351466397,▲,▲,,▲,,
1827.T,Industrials,Micro Cap,daily,1,1,0,-0.20441993998500896,,▼,,▲,,
1833.T,Industrials,Small Cap,daily,1,0,1,0.11044643540397502,▲,,,,,
1847.T,Real Estate,Micro Cap,daily,1,0,1,0.45703871041561905,▲,,,,,
1848.T,Industrials,Micro Cap,daily,0,1,-1,-0.5898291975917769,,▼,,,▼,
1852.T,Industrials,Small Cap,daily,1,0,1,0.17742323666935778,,▲,,,,
1861.T,Industrials,Small Cap,daily,1,0,1,0.11107648305884824,,▲,,,,
1866.T,Industrials,Micro Cap,daily,0,1,-1,-0.2846891819247084,▼,,,,±,▼
1867.T,Industrials,Micro Cap,daily,1,0,1,0.5128280074261113,▲,±,,,,
1870.T,Industrials,Micro Cap,daily,0,1,-1,-0.23576730513427024,▼,,,,,
1871.T,Industrials,Micro Cap,daily,1,0,1,0.010987358072020264,▲,,,,,
1885.T,Industrials,Small Cap,daily,1,1,0,0.09803409031372168,▲,▼,,,,
1887.T,Industrials,Small Cap,daily,0,1,-1,-0.04375678723327358,▼,,,,,
1897.T,Industrials,Micro Cap,daily,3,0,3,0.4970075860069677,,▲,▲,▲,,▲
1898.T,Industrials,Small Cap,daily,0,1,-1,-0.060541494827013334,,▼,,,,
1899.T,Industrials,Small Cap,daily,2,0,2,0.24661945869675866,▲,▲,,,,
1904.T,Industrials,Micro Cap,daily,1,1,0,0.4068127999690159,▲,,,▼,,
1905.T,Industrials,Micro Cap,daily,2,1,1,0.04889256546157754,▼,±,▲,▲,,
1911.T,Industrials,Mid Cap,daily,1,1,0,0.29460097531673934,▲,▼,,,▼,
1926.T,Industrials,Small Cap,daily,1,2,-1,-0.15201261392630963,▼,,▲,▼,,
1929.T,Industrials,Micro Cap,daily,1,0,1,0.1460193112944191,▲,,,,,
1930.T,Industrials,Micro Cap,daily,0,1,-1,-0.1717083434288857,,▼,,,,
1934.T,Industrials,Small Cap,daily,1,1,0,0.12356860653231808,▼,▲,,,,
1938.T,Information Technology,Small Cap,daily,1,0,1,0.26953961317712516,,▲,,,,
1939.T,Industrials,Micro Cap,daily,0,1,-1,-0.3412133951881536,▼,,,,▲,
1941.T,Industrials,Small Cap,daily,0,1,-1,-0.056059416147581045,▼,,,,,
1942.T,Industrials,Small Cap,daily,1,2,-1,-0.49863722858687304,▼,▼,,▲,,
1944.T,Industrials,Mid Cap,daily,0,1,-1,-0.21035325796488863,▼,,,,▼,
1946.T,Industrials,Small Cap,daily,1,1,0,-0.33975974690801425,▼,,,▲,,
1950.T,Industrials,Small Cap,daily,2,1,1,-0.8181282697639701,▼,▲,,▲,,
1951.T,Industrials,Mid Cap,daily,0,1,-1,-0.8507493386435577,▼,,,,,
1959.T,Industrials,Mid Cap,daily,1,1,0,-0.09152136784521508,▼,▲,,,,
1960.T,Industrials,Micro Cap,daily,2,2,0,6.525118052273028,▲,▲,▼,▼,,
1961.T,Industrials,Small Cap,daily,0,1,-1,-0.012623271836117311,▼,,,,,
