symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
1332.T,Consumer Staples,Small Cap,weekly,0,1,-1,-0.12215732149278237,,▼,,,,
1333.T,Consumer Staples,Small Cap,weekly,1,0,1,0.03729305595259848,,▲,,,,
1379.T,Consumer Staples,Small Cap,weekly,1,0,1,0.7632108630113029,▲,,,,,
1447.T,Information Technology,Micro Cap,weekly,1,0,1,2.351035721580654,▲,,,,▲,
1450.T,Industrials,Micro Cap,weekly,1,1,0,0.7842227111691823,▲,,,▼,▼,
1491.T,Materials,Micro Cap,weekly,1,0,1,1.3479920953463265,▲,,,,,
1717.T,Industrials,Micro Cap,weekly,1,0,1,0.32727170709519227,▲,,,,,
1736.T,Industrials,Micro Cap,weekly,1,0,1,0.5349023849029995,▲,,,,,
1762.T,Industrials,Small Cap,weekly,1,0,1,0.852653166415314,▲,,,,,▲
1766.T,Real Estate,Small Cap,weekly,1,0,1,0.2268576777792328,▲,,,,,
1770.T,Industrials,Micro Cap,weekly,1,1,0,0.04976531813765972,,,▼,▲,,
1780.T,Industrials,Micro Cap,weekly,0,1,-1,-0.42806053090376084,▼,,,,,▲
1786.T,Industrials,Small Cap,weekly,2,0,2,0.817356376790444,▲,▲,,,,
1787.T,Industrials,Micro Cap,weekly,1,0,1,1.3917214890658818,▲,,,,,
1793.T,Industrials,Micro Cap,weekly,2,0,2,0.7202247601245753,▲,▲,,,▲,
1799.T,Industrials,Small Cap,weekly,1,0,1,1.3645631487547485,▲,,,,,
1808.T,Industrials,Mid Cap,weekly,2,0,2,0.2019551690188786,▲,▲,,,,
1812.T,Industrials,Mid Cap,weekly,2,0,2,1.0980589257083533,▲,▲,,,,
1822.T,Industrials,Small Cap,weekly,0,1,-1,-0.2488034675190181,▼,,,,,
1826.T,Industrials,Micro Cap,weekly,0,1,-1,-0.13988900075888658,▼,,,,,
1827.T,Industrials,Micro Cap,weekly,0,1,-1,-0.1526749835156047,,▼,,,,
1828.T,Industrials,Micro Cap,weekly,0,1,-1,-0.7081388598353473,▼,,,,,
1848.T,Industrials,Micro Cap,weekly,1,1,0,0.1429973938300016,▲,▼,,,,
1850.T,Industrials,Micro Cap,weekly,1,0,1,0.2480007638507773,▲,,,,,
1852.T,Industrials,Small Cap,weekly,1,1,0,0.1180083727044654,▲,▼,,,,
1866.T,Industrials,Micro Cap,weekly,1,0,1,0.8941465547877334,▲,,,,,
1867.T,Industrials,Micro Cap,weekly,1,0,1,1.412615413745436,▲,,,,,
1878.T,Real Estate,Mid Cap,weekly,0,1,-1,-0.10438802974779379,▼,,,,,
