symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAC.ST,Information Technology,Micro Cap,daily,1,0,1,0.5905861504669613,▲,,,,,
ABSO.ST,Industrials,Small Cap,daily,1,1,0,0.27948126170857374,▲,▼,,,,
ACAD.ST,Consumer Staples,Small Cap,daily,0,3,-3,-0.38269130718859756,▼,▼,,▼,,
ACE.ST,Health Care,Micro Cap,daily,0,3,-3,-19.51942276431123,▼,▼,,▼,,
ACRI-A.ST,Real Estate,Micro Cap,daily,2,0,2,0.9383070747535517,▲,,,▲,,
ADDT-B.ST,Industrials,Mid Cap,daily,1,0,1,0.28300239239645714,,▲,,,▲,
AJA-B.ST,Industrials,Micro Cap,daily,1,1,0,0.28898315783178447,▲,▼,,,▲,▲
ALCA.ST,Information Technology,Micro Cap,daily,0,1,-1,-0.08858536119291574,,,▼,±,,
ALFA.ST,Industrials,Large Cap,daily,0,1,-1,-0.47116802173136285,,▼,,,,
ALIF-B.ST,Health Care,Mid Cap,daily,1,1,0,0.227544125111108,▲,▼,,,±,
ALIG.ST,Industrials,Small Cap,daily,1,1,0,-0.11936056075736809,▼,,,▲,▼,
ALM.ST,Real Estate,Small Cap,daily,0,1,-1,-0.12395416184348594,,▼,,,±,
AMBEA.ST,Health Care,Small Cap,daily,1,3,-2,-0.4560456815877067,▼,▲,▼,▼,▲,▲
ANNE-B.ST,Real Estate,Micro Cap,daily,2,0,2,2.0934778608621496,▲,▲,,,,
ANOD-B.ST,Information Technology,Small Cap,daily,1,0,1,0.11431634108894566,,,,▲,,
AQ.ST,Industrials,Small Cap,daily,0,1,-1,-0.1729511183021194,,▼,,,,
ARJO-B.ST,Health Care,Mid Cap,daily,1,1,0,0.06120712331717465,▼,,▲,,▲,
ASSA-B.ST,Industrials,Large Cap,daily,0,1,-1,-0.03606285220088345,▼,,,,▲,
ATCO-A.ST,Industrials,Large Cap,daily,2,0,2,1.4005246258188442,▲,▲,,,▲,
ATCO-B.ST,Industrials,Large Cap,daily,1,0,1,0.6709352733009205,▲,,,,▲,
ATORX.ST,Health Care,Micro Cap,daily,2,0,2,0.8929593855498026,,,▲,▲,,
ATRLJ-B.ST,Real Estate,Mid Cap,daily,2,0,2,0.531108065623449,,,▲,▲,,
ATT.ST,Health Care,Small Cap,daily,2,1,1,0.10256555581518663,▼,▲,,▲,,
AVEN.ST,Information Technology,Micro Cap,daily,1,1,0,0.022791971281348612,▼,▲,,,▼,
AXFO.ST,Consumer Staples,Mid Cap,daily,0,1,-1,-0.11873192829612732,,,,▼,,
AXIC-A.ST,Health Care,Micro Cap,daily,0,1,-1,-0.22344573143428795,,,,▼,,
AZA.ST,Financials,Mid Cap,daily,1,1,0,-0.4536400573178385,▼,,,▲,▲,
B3.ST,Information Technology,Micro Cap,daily,2,0,2,4.61433886033502,▲,,▲,,▲,▲
BACTI-B.ST,Health Care,Small Cap,daily,1,0,1,0.5223099716840236,▲,,,,,
BALCO.ST,Industrials,Micro Cap,daily,1,2,-1,-0.3523120587301346,▼,▼,,▲,,
BALD-B.ST,Real Estate,Large Cap,daily,1,1,0,-0.01725921934131669,,▲,,▼,▼,
BEGR.ST,Materials,Micro Cap,daily,3,0,3,0.4757397245330909,▲,▲,,▲,±,
BEIA-B.ST,Industrials,Small Cap,daily,1,2,-1,0.11777757008854892,▲,▼,,▼,▲,
BERG-B.ST,Industrials,Small Cap,daily,3,1,2,0.5096255958186483,▲,▼,▲,▲,▲,
BETS-B.ST,Consumer Discretionary,Small Cap,daily,0,2,-2,-0.13321547153988708,▼,▼,,,▲,
BHG.ST,Consumer Discretionary,Mid Cap,daily,2,0,2,0.2632256337467052,▲,▲,,,▼,
BIM.ST,Information Technology,Micro Cap,daily,3,0,3,1.7875590703603321,▲,▲,▲,±,,
BINV.ST,Health Care,Small Cap,daily,1,0,1,0.03517347644692669,,▲,,,,
BIOA-B.ST,Health Care,Small Cap,daily,0,2,-2,-0.21504149109239745,▼,,▼,±,,
BIOG-B.ST,Health Care,Small Cap,daily,1,0,1,0.554244584186067,▲,,,,,
BMAX.ST,Industrials,Small Cap,daily,1,2,-1,-0.3459001682919108,▼,▼,▲,±,,
BOAT.ST,Consumer Discretionary,Micro Cap,daily,0,1,-1,-0.3862873177130977,▼,,,,,▼
BOL.ST,Materials,Large Cap,daily,1,1,0,-0.051478681094850307,▲,▼,,,▲,▲
BONAV-A.ST,Industrials,Small Cap,daily,1,2,-1,-0.5070813420870519,▼,▼,,▲,,
BONAV-B.ST,Industrials,Small Cap,daily,1,0,1,0.8530896983337044,,▲,,,,
BOOZT.ST,Consumer Discretionary,Small Cap,daily,1,0,1,0.23283133508715914,▲,,,,,
BORG.ST,Consumer Discretionary,Micro Cap,daily,0,1,-1,-0.46144514028099287,▼,,,,,
BOUL.ST,Health Care,Micro Cap,daily,0,1,-1,-0.11618645276260875,,▼,,,▲,
BRAV.ST,Industrials,Mid Cap,daily,0,2,-2,-1.1932518476277898,▼,,,▼,▲,
BRIN-B.ST,Real Estate,Small Cap,daily,0,1,-1,-0.2634565526746668,±,,▼,±,▼,
BUFAB.ST,Industrials,Small Cap,daily,1,0,1,0.20134318253754618,,▲,,,,
BURE.ST,Financials,Mid Cap,daily,0,2,-2,-0.475896633883894,▼,▼,,,,
BUSER.ST,Information Technology,Small Cap,daily,0,2,-2,-0.4427987844538425,▼,▼,,,,
BYGGP.ST,Industrials,Micro Cap,daily,2,1,1,-0.12312170011618814,▲,▲,,▼,▼,▼
CAG.ST,Information Technology,Micro Cap,daily,1,1,0,0.01162931727371086,,,▲,▼,,
CAMX.ST,Health Care,Small Cap,daily,0,1,-1,-0.06391479600893929,,,,▼,▼,
CAST.ST,Real Estate,Mid Cap,daily,0,3,-3,-1.2864225218728689,,▼,▼,▼,±,▼
CAT-B.ST,Financials,Micro Cap,daily,1,1,0,0.0038738541684720934,▲,▼,,,,
