symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAC.ST,Information Technology,Micro Cap,weekly,0,2,-2,-0.7042208789700992,▼,▼,,,,
ABSO.ST,Industrials,Small Cap,weekly,0,1,-1,-0.3355792953541203,▼,,,,,
ACAD.ST,Consumer Staples,Small Cap,weekly,1,0,1,0.8036796633698446,▲,,,,,
ACE.ST,Health Care,Micro Cap,weekly,0,2,-2,-9.34530048960876,▼,▼,,,▲,▲
ADDT-B.ST,Industrials,Mid Cap,weekly,0,2,-2,-0.83815693488777,▼,▼,,,,▲
ALCA.ST,Information Technology,Micro Cap,weekly,1,1,0,0.034355809274166704,,,▲,▼,,
ALFA.ST,Industrials,Large Cap,weekly,1,0,1,0.6939543572826652,▲,,,,▲,
ALIG.ST,Industrials,Small Cap,weekly,1,0,1,0.31390362686934364,,,▲,±,,
AMBEA.ST,Health Care,Small Cap,weekly,1,0,1,1.7122303836325024,▲,,,,▲,
ANOD-B.ST,Information Technology,Small Cap,weekly,2,0,2,1.2511749435344308,▲,▲,,,,
ASSA-B.ST,Industrials,Large Cap,weekly,1,1,0,0.02285329563489369,▲,▼,,,,
ATCO-A.ST,Industrials,Large Cap,weekly,1,1,0,-0.03894753778504681,,,▼,▲,,
ATCO-B.ST,Industrials,Large Cap,weekly,2,0,2,0.3496757357505208,,,▲,▲,,
ATORX.ST,Health Care,Micro Cap,weekly,1,0,1,0.28609434317402554,▲,,,,,
ATT.ST,Health Care,Small Cap,weekly,1,1,0,-0.31716130824861966,▼,,▲,,,
AVEN.ST,Information Technology,Micro Cap,weekly,1,0,1,0.2137955827861219,▲,,,,,
AXFO.ST,Consumer Staples,Mid Cap,weekly,0,1,-1,-0.12980270820365922,,▼,,,,
BACTI-B.ST,Health Care,Small Cap,weekly,1,0,1,0.10956907563133288,▲,,,,,
BALD-B.ST,Real Estate,Large Cap,weekly,1,1,0,0.7994594447710455,▲,,,▼,,
BEGR.ST,Materials,Micro Cap,weekly,0,1,-1,-0.42383779516374126,▼,,,,,
BERG-B.ST,Industrials,Small Cap,weekly,1,0,1,0.42150500325714746,▲,,,,,
BHG.ST,Consumer Discretionary,Mid Cap,weekly,1,1,0,0.8620916581859319,▲,▼,,,,
BILL.ST,Materials,Mid Cap,weekly,1,0,1,0.03186073013336356,▲,,,,,
BINV.ST,Health Care,Small Cap,weekly,1,0,1,0.473466057219755,▲,,,,,
BIOA-B.ST,Health Care,Small Cap,weekly,1,0,1,0.2542793319060378,▲,,,,▼,
BMAX.ST,Industrials,Small Cap,weekly,0,1,-1,-0.8215053911326751,▼,,,,,
BOL.ST,Materials,Large Cap,weekly,0,1,-1,-0.14309200434389033,▼,,,,,
BONAV-A.ST,Industrials,Small Cap,weekly,1,0,1,2.572589534045103,▲,,,,▲,
BONAV-B.ST,Industrials,Small Cap,weekly,2,0,2,1.4553064982017534,▲,,,▲,,
BRIN-B.ST,Real Estate,Small Cap,weekly,1,0,1,0.39249958051222844,▲,,,,,
BURE.ST,Financials,Mid Cap,weekly,0,1,-1,-0.24834182554281517,▼,,,,,
CAG.ST,Information Technology,Micro Cap,weekly,0,1,-1,-0.45014486032297574,▼,,,,▼,
CAST.ST,Real Estate,Mid Cap,weekly,2,1,1,0.38707168125351205,▲,▼,,▲,,
CAT-B.ST,Financials,Micro Cap,weekly,1,0,1,0.1390628315451122,,,,▲,,▼
CATE.ST,Real Estate,Small Cap,weekly,1,1,0,0.38884367890360816,▲,▼,,,▲,
CDON.ST,Consumer Discretionary,Micro Cap,weekly,1,0,1,0.03291412554064752,,▲,,,,
CEVI.ST,Health Care,Small Cap,weekly,0,2,-2,-0.6153278930824506,,▼,,▼,,
CIBUS.ST,Real Estate,Small Cap,weekly,0,1,-1,-0.20423579530899405,▼,,,,,
CLA-B.ST,Consumer Staples,Small Cap,weekly,0,1,-1,-0.11686199557048828,,▼,,,,
CLAS-B.ST,Consumer Discretionary,Small Cap,weekly,1,1,0,0.2949322405583996,▲,,,▼,▼,
CORE-A.ST,Real Estate,Small Cap,weekly,0,1,-1,-0.7133084408314027,▼,,,,,
CORE-B.ST,Real Estate,Small Cap,weekly,1,0,1,0.06369958407394456,,,,▲,,
DIOS.ST,Real Estate,Small Cap,weekly,1,1,0,0.10072666606083358,▲,▼,,,,
DMYD-B.ST,Health Care,Micro Cap,weekly,1,0,1,0.47736267554125766,▲,,,,,
DOM.ST,Information Technology,Mid Cap,weekly,1,0,1,0.26201793488713315,,▲,,,,▲
DRIL.ST,Industrials,Micro Cap,weekly,1,0,1,1.1382024064547471,▲,,,,,▲
DSNO.ST,Consumer Discretionary,Small Cap,weekly,1,0,1,0.06153867170248638,▲,,,,,▼
DURC-B.ST,Industrials,Micro Cap,weekly,1,1,0,0.01851473585162655,,,▲,▼,▲,
DUST.ST,Information Technology,Small Cap,weekly,1,0,1,2.8096214041054965,▲,,,,,
EAST.ST,Financials,Small Cap,weekly,0,1,-1,-0.7196168732066596,▼,,,,,
EG7.ST,Communication Services,Small Cap,weekly,0,1,-1,-0.2334325343803523,,▼,,,,
EKTA-B.ST,Health Care,Mid Cap,weekly,1,0,1,0.022092033286797312,▲,,,,,
ELAN-B.ST,Industrials,Small Cap,weekly,0,1,-1,-0.5149477537517506,,▼,,,,
ELTEL.ST,Industrials,Small Cap,weekly,0,1,-1,-0.10083263321572482,,▼,,,,
ELUX-A.ST,Information Technology,Mid Cap,weekly,0,1,-1,-0.43358183515824233,,▼,,,,
ELUX-B.ST,Information Technology,Mid Cap,weekly,0,1,-1,-0.0031158514532395177,,,,▼,,
ENEA.ST,Information Technology,Small Cap,weekly,0,1,-1,-0.14272446852555687,▼,,,,,
EOLU-B.ST,Industrials,Small Cap,weekly,1,1,0,0.7899368742896997,▲,▼,,,▼,
EPI-A.ST,Industrials,Large Cap,weekly,2,2,0,-0.8136475486192332,▼,▼,▲,▲,,
EPI-B.ST,Industrials,Large Cap,weekly,2,1,1,-0.8233166994978621,,▼,▲,▲,▲,
EPIS-B.ST,Health Care,Micro Cap,weekly,0,1,-1,-1.2340171160501665,▼,,,,,
EPRO-B.ST,Consumer Discretionary,Small Cap,weekly,1,0,1,1.0623875691594653,▲,,,,,
ERIC-A.ST,Information Technology,Large Cap,weekly,0,1,-1,-0.2622256335863541,,,▼,,,
ERIC-B.ST,Information Technology,Large Cap,weekly,0,2,-2,-0.5417086507543701,,,▼,▼,,
EVO.ST,Consumer Discretionary,Large Cap,weekly,0,2,-2,-0.15328998095120722,▼,▼,,,,
EWRK.ST,Information Technology,Micro Cap,weekly,1,0,1,0.508374385172632,▲,,,,,
EXS.ST,Information Technology,Micro Cap,weekly,0,1,-1,-0.28934710965726745,▼,,,,,
FABG.ST,Real Estate,Mid Cap,weekly,1,0,1,0.5085325436353118,▲,,,,,
FG.ST,Industrials,Small Cap,weekly,0,1,-1,-0.5623443883569104,▼,,,,,
FING-B.ST,Information Technology,Small Cap,weekly,0,1,-1,-0.34804086961314323,,,,▼,,
FPAR-A.ST,Real Estate,Mid Cap,weekly,1,0,1,0.7326157786857825,▲,,,,,
GARO.ST,Industrials,Micro Cap,weekly,0,1,-1,-0.1720164802504464,▼,,,,▼,
GENO.ST,Health Care,Small Cap,weekly,1,1,0,0.40840156668024385,▲,▼,,,,
GREAT.ST,Information Technology,Micro Cap,weekly,1,0,1,0.03834664174447736,,,▲,,,
GREEN.ST,Industrials,Small Cap,weekly,1,0,1,0.3519893917644877,,▲,,,,
HANZA.ST,Information Technology,Micro Cap,weekly,0,1,-1,-0.06584201160504193,,▼,,,,
HEBA-B.ST,Real Estate,Small Cap,weekly,2,0,2,1.4668127953401067,▲,▲,,,,
HEM.ST,Communication Services,Mid Cap,weekly,2,0,2,11.251470159874556,▲,▲,,,▲,
HEXA-B.ST,Information Technology,Mid Cap,weekly,1,0,1,0.3813907815178986,▲,,,,,
HM-B.ST,Consumer Discretionary,Large Cap,weekly,0,1,-1,-0.10367325206148406,▼,,,,,
HMS.ST,Financials,Micro Cap,weekly,1,0,1,0.14321262183442496,,▲,,,▲,
HOFI.ST,Financials,Small Cap,weekly,1,0,1,0.026593129082049218,▲,,,,,
HPOL-B.ST,Materials,Mid Cap,weekly,1,0,1,0.3396063773896018,▲,,,,±,
HUFV-A.ST,Real Estate,Mid Cap,weekly,1,0,1,0.48379529140736927,▲,,,,,
HUM.ST,Health Care,Small Cap,weekly,2,0,2,8.447552943779122,▲,▲,,,▲,
HUSQ-B.ST,Industrials,Mid Cap,weekly,1,0,1,0.19237509018696478,,▲,,,▼,
ICO.ST,Health Care,Micro Cap,weekly,0,1,-1,-0.23641633310394122,▼,,,,,
IDUN-B.ST,Financials,Small Cap,weekly,0,2,-2,-1.3570718649290892,▼,▼,,,,
IMMU.ST,Health Care,Micro Cap,weekly,0,1,-1,-0.08948262156016352,▼,,,,,
INDT.ST,Industrials,Mid Cap,weekly,1,0,1,1.1531824188087494,▲,,,,,
INDU-A.ST,Financials,Large Cap,weekly,1,0,1,0.6575938570352119,,▲,,,,
INDU-C.ST,Financials,Large Cap,weekly,1,0,1,0.627920966603645,▲,,,,,
INWI.ST,Industrials,Small Cap,weekly,1,2,-1,-0.12224308813273754,,▼,▼,▲,▼,
IRIS.ST,Industrials,Micro Cap,weekly,0,2,-2,-0.747669308909438,▼,▼,,,,
IRLAB-A.ST,Health Care,Micro Cap,weekly,1,0,1,0.41782445719766087,,,,▲,▼,
ITECH.ST,Health Care,Micro Cap,weekly,0,1,-1,-0.12408546921995638,,▼,,,,
IVSO.ST,Information Technology,Small Cap,weekly,0,1,-1,-0.2402939839347047,,▼,,,▼,
JM.ST,Industrials,Mid Cap,weekly,0,2,-2,-0.7763772821079219,,,▼,▼,▲,▲
JOMA.ST,Real Estate,Small Cap,weekly,1,1,0,0.3583855071153464,▲,▼,,,,
K2A-B.ST,Real Estate,Small Cap,weekly,0,1,-1,-0.7211184197125562,▼,,,,,
KAR.ST,Consumer Discretionary,Small Cap,weekly,1,0,1,1.717174646865495,▲,,,,,
KFAST-B.ST,Real Estate,Micro Cap,weekly,1,0,1,0.05616828944416772,▲,,,,,
KINV-A.ST,Financials,Large Cap,weekly,0,1,-1,-0.45775451743019857,▼,,,,▼,
KINV-B.ST,Financials,Large Cap,weekly,2,0,2,1.215482257973753,▲,,,▲,,
KNOW.ST,Information Technology,Small Cap,weekly,2,0,2,1.142043837408089,▲,▲,,,▼,
LAGR-B.ST,Information Technology,Mid Cap,weekly,0,1,-1,-0.3582486668495455,▼,,,,,
LATO-B.ST,Financials,Large Cap,weekly,1,0,1,0.6768368396955399,▲,,,,,
LIAB.ST,Industrials,Small Cap,weekly,2,0,2,0.5937926211956382,▲,,,▲,,
LIFCO-B.ST,Industrials,Small Cap,weekly,0,1,-1,-0.19795419502697245,,▼,,,,
LIME.ST,Information Technology,Small Cap,weekly,1,1,0,0.36636821907184025,▲,▼,,,,▼
LUND-B.ST,Financials,Large Cap,weekly,1,0,1,0.5231442512614801,▲,,,,,
LYKO-A.ST,Consumer Staples,Small Cap,weekly,0,1,-1,-0.24248817006463583,,,,▼,,
MAGI.ST,Communication Services,Micro Cap,weekly,1,0,1,0.13686653425663295,▲,,,,,
MANG.ST,Financials,Micro Cap,weekly,0,1,-1,-0.22593896067985658,▼,,,,,
MCAP.ST,Financials,Small Cap,weekly,1,1,0,0.2493868837936617,▲,▼,,,,
MEAB-B.ST,Information Technology,Micro Cap,weekly,0,2,-2,-0.35440644547012823,▼,▼,,,,
MIPS.ST,Consumer Discretionary,Small Cap,weekly,1,0,1,0.3257379446959021,,,,▲,,
MMGR-B.ST,Industrials,Small Cap,weekly,1,0,1,1.898960702562244,▲,,,,▲,
MNTC.ST,Health Care,Micro Cap,weekly,0,1,-1,-0.061646967420079274,,▼,,,,
MSON-B.ST,Consumer Staples,Small Cap,weekly,1,0,1,0.5294858369091632,▲,,,,,
MTRS.ST,Industrials,Small Cap,weekly,0,1,-1,-0.07305422242760787,,▼,,,▲,
MYCR.ST,Information Technology,Mid Cap,weekly,1,0,1,0.13337062330530935,▲,,,,,
NAXS.ST,Financials,Micro Cap,weekly,0,1,-1,-0.246240785100279,▼,,,,,
NCAB.ST,Information Technology,Small Cap,weekly,0,2,-2,-0.21870957272856964,▼,▼,,,,
NCC-B.ST,Industrials,Small Cap,weekly,0,1,-1,-0.2365064872825355,,,,▼,,
NELLY.ST,Consumer Discretionary,Micro Cap,weekly,1,0,1,0.8640810462536398,▲,,,,,
NP3.ST,Real Estate,Small Cap,weekly,0,1,-1,-0.5434678990100188,▼,,,,,
NTEK-B.ST,Information Technology,Micro Cap,weekly,1,0,1,0.15137549531352865,,▲,,,▼,
NXTCL.ST,Health Care,Micro Cap,weekly,1,0,1,0.11162444092841861,▲,,,,,
NYF.ST,Real Estate,Mid Cap,weekly,1,0,1,1.2619799019121614,▲,,,,▼,
ORES.ST,Financials,Small Cap,weekly,0,1,-1,-0.3756619154600196,,,▼,±,▲,
PACT.ST,Information Technology,Micro Cap,weekly,0,1,-1,-0.358791622578048,▼,,,,,▼
PAX.ST,Health Care,Micro Cap,weekly,0,1,-1,-0.1005081565606526,▼,,,,,
PEAB-B.ST,Industrials,Mid Cap,weekly,0,1,-1,-0.31611753641735313,▼,,,,,
PLAZ-B.ST,Real Estate,Small Cap,weekly,1,2,-1,1.001149458977447,▲,,▼,▼,▲,
PNDX-B.ST,Consumer Discretionary,Mid Cap,weekly,1,1,0,0.24590758841350813,▲,▼,,,,
POLYG.ST,Materials,Micro Cap,weekly,0,2,-2,-0.7671363631298151,,,▼,▼,,
PREV-B.ST,Information Technology,Micro Cap,weekly,2,0,2,1.5873929371391529,▲,▲,,,,
QLIFE.ST,Health Care,Micro Cap,weekly,0,1,-1,-0.24942633607136414,,,▼,,,
QLIRO.ST,Financials,Micro Cap,weekly,1,0,1,0.11990026115921251,,▲,,,,▲
RATO-A.ST,Financials,Mid Cap,weekly,1,2,-1,-0.09719729432486268,▲,,▼,▼,▼,
RATO-B.ST,Financials,Mid Cap,weekly,2,1,1,0.4044432213458128,▲,,▲,▼,,
REJL-B.ST,Industrials,Small Cap,weekly,1,0,1,1.2503600904422982,▲,,,,,
RROS.ST,Materials,Micro Cap,weekly,1,0,1,0.013619609399289417,▲,,,,,
RUG.ST,Consumer Discretionary,Small Cap,weekly,0,3,-3,-0.8189357970409383,,▼,▼,▼,,
SAAB-B.ST,Industrials,Mid Cap,weekly,2,0,2,3.2374690646672644,▲,▲,,,,
SAGA-A.ST,Real Estate,Mid Cap,weekly,2,0,2,3.4338525752491678,▲,▲,,,,
SAGA-B.ST,Real Estate,Mid Cap,weekly,1,1,0,0.7059599384910182,▲,▼,,,,
SAGA-D.ST,Real Estate,Mid Cap,weekly,1,1,0,-0.0030423911947125293,,,▲,▼,▲,
SAND.ST,Industrials,Large Cap,weekly,1,0,1,0.9278540523605349,▲,,,,,
SBB-B.ST,Real Estate,Mid Cap,weekly,0,1,-1,-0.1265776978286022,,,,▼,,
SCA-B.ST,Materials,Large Cap,weekly,1,0,1,0.0387674921322983,▲,,,,,
SCST.ST,Consumer Staples,Small Cap,weekly,0,1,-1,-0.4516603497252438,▼,,,,▼,
SDIP-B.ST,Industrials,Small Cap,weekly,0,1,-1,-0.6307554489110163,▼,,,,▲,
SEB-A.ST,Financials,Large Cap,weekly,1,0,1,0.17628700402344294,,,▲,±,,
SEB-C.ST,Financials,Large Cap,weekly,1,1,0,0.017278768368682626,,,▲,▼,▲,
SECT-B.ST,Health Care,Mid Cap,weekly,0,1,-1,-0.5610736245066378,,▼,,,,
SECU-B.ST,Industrials,Mid Cap,weekly,1,0,1,0.8899534726976713,▲,,,,,
SES.ST,Industrials,Micro Cap,weekly,0,1,-1,-0.752484146111971,▼,,,,,
SFAST.ST,Real Estate,Micro Cap,weekly,0,1,-1,-0.14435419652946793,▼,,,,▼,
SHB-B.ST,Financials,Large Cap,weekly,1,0,1,0.10204663241722423,,,▲,±,,
SHOT.ST,Consumer Discretionary,Small Cap,weekly,1,0,1,0.03105418117685584,▲,,,,,
SINCH.ST,Communication Services,Large Cap,weekly,1,0,1,0.168361122713214,▲,,,,,
SINT.ST,Industrials,Micro Cap,weekly,1,0,1,0.5148679345820284,▲,,,,,
SIVE.ST,Information Technology,Small Cap,weekly,0,1,-1,-0.938691465545642,▼,,,,,
SKA-B.ST,Industrials,Large Cap,weekly,1,0,1,0.42249245062119895,▲,,,,,
SKF-B.ST,Industrials,Large Cap,weekly,2,0,2,0.4474726849500877,,,▲,▲,▲,
SKIS-B.ST,Consumer Discretionary,Small Cap,weekly,1,0,1,0.1481352444699463,▲,,,,,
SKMO.ST,Consumer Staples,Micro Cap,weekly,1,0,1,0.6136136999754976,,▲,,,±,
SOBI.ST,Health Care,Mid Cap,weekly,1,0,1,0.1365820395561404,▲,,,,,
SOF-B.ST,Information Technology,Micro Cap,weekly,0,1,-1,-0.04046801308641209,▼,,,,,
SPEC.ST,Health Care,Micro Cap,weekly,2,0,2,2.506432557340608,▲,▲,,,,
SSAB-A.ST,Materials,Mid Cap,weekly,0,1,-1,-0.25313861657520864,▼,,,,,
SSAB-B.ST,Materials,Mid Cap,weekly,0,1,-1,-0.16157869514963807,▼,,,,,
STEF-B.ST,Real Estate,Small Cap,weekly,1,0,1,0.31801318942859447,▲,,,,,
STIL.ST,Health Care,Micro Cap,weekly,0,2,-2,-1.1564594582614693,▼,▼,,,,
STWK.ST,Financials,Micro Cap,weekly,1,0,1,0.7011525106718718,▲,,,,,
SVED-B.ST,Industrials,Micro Cap,weekly,0,1,-1,-0.34093058366171947,,▼,,,,
SVOL-A.ST,Financials,Small Cap,weekly,0,1,-1,-0.12112684382763539,,▼,,,,
SWEC-A.ST,Industrials,Mid Cap,weekly,1,0,1,1.5599335217075865,▲,,,,,
SWEC-B.ST,Industrials,Mid Cap,weekly,1,1,0,1.3799603358594719,▲,▼,,,,
SWED-A.ST,Financials,Large Cap,weekly,0,1,-1,-0.13377253308334608,,,,▼,,
SYSR.ST,Industrials,Small Cap,weekly,1,0,1,0.19596819359082734,,,,▲,,
TAGM-B.ST,Information Technology,Small Cap,weekly,0,2,-2,-0.2617816426710312,▼,▼,,,,
TEL2-B.ST,Communication Services,Mid Cap,weekly,0,1,-1,-0.9844048420141931,▼,,,,,
TELIA.ST,Communication Services,Large Cap,weekly,0,1,-1,-1.2791342477658447,▼,,,,,
TEQ.ST,Industrials,Micro Cap,weekly,1,0,1,0.24655850709417812,▲,,,,,
TRANS.ST,Communication Services,Micro Cap,weekly,1,0,1,0.017860923087178095,▲,,,,,
TRIAN-B.ST,Real Estate,Small Cap,weekly,1,2,-1,0.1514824516802247,▲,,▼,▼,,
TROAX.ST,Industrials,Small Cap,weekly,1,0,1,0.072499956398538,,▲,,,,
VBG-B.ST,Consumer Discretionary,Small Cap,weekly,2,0,2,2.6116652932032167,▲,▲,,,▲,
VICO.ST,Health Care,Micro Cap,weekly,1,0,1,0.42150005755555336,▲,,,,,
VNV.ST,Financials,Small Cap,weekly,1,0,1,0.04219736053747363,,▲,,,,
VOLO.ST,Industrials,Small Cap,weekly,0,1,-1,-0.3110682332763074,,,,▼,,
VOLV-A.ST,Industrials,Large Cap,weekly,1,0,1,0.5021667968037066,▲,,,,,
VOLV-B.ST,Industrials,Large Cap,weekly,1,0,1,0.48800852086491237,▲,,,,,
WALL-B.ST,Real Estate,Mid Cap,weekly,1,0,1,0.4014949520943517,▲,,,,,
WBGR-B.ST,Industrials,Small Cap,weekly,1,0,1,0.3902222370372222,,,▲,,,
WIHL.ST,Real Estate,Mid Cap,weekly,1,0,1,0.35318244439149793,,▲,,,▼,
XANO-B.ST,Industrials,Small Cap,weekly,2,0,2,1.259519404027265,▲,▲,,,,
XVIVO.ST,Health Care,Small Cap,weekly,1,0,1,0.10040950120290772,,▲,,,,
