symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAL.L,Materials,Large Cap,daily,1,0,1,0.005279883622606346,▲,,,,,
ABF.L,Consumer Staples,Large Cap,daily,0,2,-2,-0.27066873990017515,▼,▼,,,▲,
ADM.L,Financials,Large Cap,daily,1,2,-1,-0.2667795711547185,,▲,▼,▼,,
AFC.L,Industrials,Small Cap,daily,0,1,-1,-0.22945275932712955,,▼,,,,
AGY.L,Health Care,Large Cap,daily,0,1,-1,-0.07547042677481476,,▼,,,,
AML.L,Consumer Discretionary,Mid Cap,daily,0,1,-1,-0.3243680451959895,▼,,,,,
ANTO.L,Materials,Large Cap,daily,3,1,2,0.24716416489937407,▲,▲,▲,▼,,
ASC.L,Consumer Discretionary,Mid Cap,daily,1,2,-1,-0.04735436152975045,▼,▼,,▲,▲,
ASHM.L,Financials,Mid Cap,daily,1,0,1,0.06079160338508997,▲,,,,▼,
AUTO.L,Communication Services,Mid Cap,daily,3,1,2,0.37790573933867705,▲,▼,▲,▲,,
AV.L,Financials,Large Cap,daily,1,1,0,0.07637193319142344,±,,▲,▼,▲,
AXS.L,Materials,Micro Cap,daily,1,2,-1,-0.7323839125119376,,▼,▲,▼,±,▼
AZN.L,Health Care,Large Cap,daily,2,1,1,0.5258287139483694,▲,▼,▲,±,▼,▼
BA.L,Industrials,Large Cap,daily,1,3,-2,-0.8530774264164367,▼,▼,▲,▼,▲,
BAB.L,Industrials,Mid Cap,daily,1,0,1,0.0629447586640459,▲,,,,,▲
BARC.L,Financials,Large Cap,daily,1,0,1,0.44935093894784695,▲,,,,,
BATS.L,Consumer Staples,Large Cap,daily,0,1,-1,-1.1348183599856314,▼,,,,±,
BBY.L,Industrials,Mid Cap,daily,2,1,1,0.22500466952325293,±,▼,▲,▲,,
BEZ.L,Financials,Mid Cap,daily,0,2,-2,-0.3711533232442352,,,▼,▼,,
BGEO.L,Financials,Small Cap,daily,0,1,-1,-0.1796821048885826,,▼,,,,
BIRD.L,Information Technology,Micro Cap,daily,0,1,-1,-0.6866970538046812,,,,▼,▲,
BKG.L,Industrials,Mid Cap,daily,1,1,0,-0.26252313227322155,▼,▲,,,,
BLND.L,Real Estate,Mid Cap,daily,0,1,-1,-0.8719770399488381,▼,,,,,
BMS.L,Industrials,Micro Cap,daily,2,0,2,0.3053495501272055,▲,▲,,,,
BNZL.L,Consumer Staples,Large Cap,daily,0,1,-1,-0.6057833394111968,▼,,,,,
BOY.L,Industrials,Mid Cap,daily,0,1,-1,-0.08670851050937556,,,▼,±,▲,
BP.L,Energy,Large Cap,daily,0,1,-1,-0.2652186261180766,▼,,,,,
BRBY.L,Consumer Discretionary,Large Cap,daily,0,1,-1,-0.755448930065414,▼,,,,,
BWY.L,Industrials,Mid Cap,daily,1,1,0,0.3221534900961619,▲,▼,,,±,
BYG.L,Real Estate,Mid Cap,daily,1,1,0,0.0010393481024148776,,▲,,▼,▲,
CARD.L,Consumer Discretionary,Small Cap,daily,0,2,-2,-0.21169459260495893,▼,,,▼,▲,
CBG.L,Financials,Mid Cap,daily,1,0,1,1.0369802041106522,▲,,,,,
CCP.L,Consumer Discretionary,Micro Cap,daily,0,1,-1,-0.5730870093897207,▼,,,,,
CCPC.L,Consumer Discretionary,Micro Cap,daily,1,0,1,0.09492211276438543,,▲,,,,▼
CHG.L,Industrials,Small Cap,daily,0,2,-2,-0.2417506393369993,▼,▼,,,,
CKN.L,Industrials,Small Cap,daily,0,2,-2,-0.5165026463338052,▼,▼,,,,▲
CNA.L,Utilities,Mid Cap,daily,0,1,-1,-0.3749038804865335,▼,,,,▲,
CNS.L,Financials,Micro Cap,daily,2,0,2,0.4600383540691048,▲,▲,,,,
COA.L,Consumer Discretionary,Small Cap,daily,0,1,-1,-0.10445402876630744,▼,,,,,
CPG.L,Consumer Discretionary,Large Cap,daily,2,2,0,-0.711653761377275,▼,▲,▼,▲,,
CRDA.L,Materials,Large Cap,daily,0,1,-1,-0.10595944837114599,,▼,,,,
CTEC.L,Health Care,Mid Cap,daily,0,1,-1,-0.05569358695509298,,▼,,,,
CWR.L,Industrials,Mid Cap,daily,2,0,2,0.18192694111081703,▲,▲,,,,▼
DGE.L,Consumer Staples,Large Cap,daily,0,2,-2,-0.09476541550720402,▼,▼,,,±,
DIA.L,Industrials,Micro Cap,daily,1,1,0,0.10303525387738266,,,▲,▼,▼,▼
DLN.L,Real Estate,Mid Cap,daily,1,0,1,0.001367226699196272,,▲,,,,
DOCS.L,Consumer Discretionary,Mid Cap,daily,1,2,-1,-0.2592126534296158,▲,,▼,▼,,
DOM.L,Consumer Discretionary,Mid Cap,daily,2,1,1,-0.0351747487895368,▼,,▲,▲,,
DRX.L,Utilities,Mid Cap,daily,2,1,1,0.18358247196208377,▼,▲,,▲,▲,
ELM.L,Materials,Small Cap,daily,1,0,1,0.061402721085045214,▲,,,,,
ENOG.L,Energy,Mid Cap,daily,0,1,-1,-0.28040244042948836,▼,,,,,▼
ENQ.L,Energy,Small Cap,daily,2,0,2,1.1520065201193863,▲,,,▲,▲,▲
ENT.L,Consumer Discretionary,Large Cap,daily,0,2,-2,-1.382770875970575,▼,▼,,,,
ESNT.L,Materials,Small Cap,daily,3,1,2,0.5123325460986653,▲,▼,▲,▲,,▲
EZJ.L,Industrials,Mid Cap,daily,1,0,1,0.050232768382856785,,▲,,,,
FEVR.L,Consumer Staples,Mid Cap,daily,1,0,1,0.1015304092896018,▲,,,,,▲
FGP.L,Industrials,Small Cap,daily,1,0,1,0.2898141213578373,▲,,,,▲,
FIPP.L,Financials,Small Cap,daily,0,1,-1,-0.6211040691575965,▼,,,,,
FORT.L,Materials,Small Cap,daily,2,0,2,1.430942179565167,▲,▲,,,▲,
FOXT.L,Real Estate,Micro Cap,daily,2,1,1,0.2653482714787013,▼,,▲,▲,,
FUM.L,Health Care,Micro Cap,daily,0,1,-1,-1.2620347901447306,▼,,,,▲,
GAMA.L,Communication Services,Mid Cap,daily,1,1,0,-0.039801341518697575,▼,,,▲,,
GBG.L,Information Technology,Mid Cap,daily,1,1,0,0.1486601972147162,▼,▲,,,,
GEMD.L,Materials,Micro Cap,daily,0,1,-1,-0.26779231302373396,,,,▼,,
GENL.L,Energy,Small Cap,daily,0,1,-1,-0.16942409713254342,▼,,,,±,
GMR.L,Consumer Discretionary,Micro Cap,daily,1,0,1,0.016344792183972796,▲,,,,,
GNS.L,Health Care,Mid Cap,daily,2,0,2,0.48229137861002047,▲,,,▲,▲,▲
GRG.L,Consumer Staples,Mid Cap,daily,0,1,-1,-0.03224961565351715,▼,,,,,
GROW.L,Financials,Small Cap,daily,0,1,-1,-0.5345990514304736,▼,,,,,
GSK.L,Health Care,Large Cap,daily,1,1,0,0.0821296938904586,▲,▼,,,▼,▼
GYM.L,Consumer Discretionary,Small Cap,daily,0,1,-1,-0.5992842508640677,▼,,,,▲,
HFD.L,Consumer Discretionary,Small Cap,daily,1,1,0,0.19010894913376294,▼,,,▲,▼,
HIK.L,Health Care,Mid Cap,daily,1,0,1,0.10429299977237953,▲,,,,,
HLMA.L,Industrials,Large Cap,daily,0,3,-3,-0.9825925549491242,▼,,▼,▼,,▲
HMSO.L,Real Estate,Mid Cap,daily,2,1,1,0.11526402682176629,▲,▲,,▼,▼,
HOC.L,Materials,Small Cap,daily,1,0,1,0.023798252545899047,▲,,,,±,▲
HSBA.L,Financials,Large Cap,daily,1,1,0,0.2638232920555285,▲,▼,,,,▼
HSD.L,Financials,Micro Cap,daily,1,0,1,0.10191400627065701,,,,▲,▼,
HTG.L,Energy,Small Cap,daily,3,1,2,0.8440738414753656,▲,▲,▲,▼,±,
HWDN.L,Consumer Discretionary,Mid Cap,daily,0,2,-2,-0.19432533058220436,▼,▼,,,,
IBST.L,Materials,Small Cap,daily,1,3,-2,0.004089157025370438,▲,▼,▼,▼,,
IGG.L,Financials,Mid Cap,daily,0,2,-2,-0.49653407211307116,▼,,,▼,▲,▲
IHG.L,Consumer Discretionary,Large Cap,daily,1,0,1,0.15954373271746214,▲,,,,,
IKA.L,Industrials,Small Cap,daily,2,0,2,0.1863894467354159,▲,▲,,,,
IMB.L,Consumer Staples,Large Cap,daily,1,2,-1,-0.16470377014542148,,▼,▼,▲,,
INCH.L,Consumer Discretionary,Mid Cap,daily,1,0,1,0.017833918329914045,▲,,,,,
INF.L,Communication Services,Large Cap,daily,2,2,0,0.23106423611422577,▲,▲,▼,▼,▲,
IPO.L,Financials,Small Cap,daily,0,1,-1,-0.1659770045481951,,▼,,,▼,▼
IQE.L,Information Technology,Small Cap,daily,2,0,2,0.8781198157511884,▲,▲,,,,
