symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAL.L,Materials,Large Cap,weekly,1,0,1,0.26697546707241143,▲,,,,,
ABF.L,Consumer Staples,Large Cap,weekly,0,2,-2,-0.4690859239918204,,▼,,▼,▲,
ADM.L,Financials,Large Cap,weekly,0,1,-1,-0.21283900042352902,,▼,,,,
AFC.L,Industrials,Small Cap,weekly,0,1,-1,-0.3996489393950294,▼,,,,,
AML.L,Consumer Discretionary,Mid Cap,weekly,2,1,1,0.26182401864291893,▲,,▲,▼,▼,
ANTO.L,Materials,Large Cap,weekly,0,2,-2,-0.2709920980193567,▼,▼,,,,
AUTO.L,Communication Services,Mid Cap,weekly,1,0,1,0.15484791402363107,▲,,,,,
AV.L,Financials,Large Cap,weekly,1,0,1,0.6642577199972132,▲,,,,,
BA.L,Industrials,Large Cap,weekly,1,0,1,0.028411534914642673,,▲,,,▼,
BATS.L,Consumer Staples,Large Cap,weekly,1,1,0,0.8945035421599778,▲,▼,,,,
BEZ.L,Financials,Mid Cap,weekly,0,1,-1,-0.518109812187459,,,,▼,,
BIRD.L,Information Technology,Micro Cap,weekly,0,1,-1,-0.06100896096069027,▼,,,,,
BLND.L,Real Estate,Mid Cap,weekly,1,0,1,1.5577763330372671,,▲,,,,
BNZL.L,Consumer Staples,Large Cap,weekly,0,1,-1,-0.8209947149946375,,▼,,,,
BOY.L,Industrials,Mid Cap,weekly,0,1,-1,-0.11467383727393568,▼,,,,,
BP.L,Energy,Large Cap,weekly,0,1,-1,-0.31471074222816076,,▼,,,,
BRBY.L,Consumer Discretionary,Large Cap,weekly,2,1,1,2.3088784279712957,▲,▲,,▼,,
BWY.L,Industrials,Mid Cap,weekly,0,1,-1,-0.22511920492043502,▼,,,,,
BYG.L,Real Estate,Mid Cap,weekly,1,0,1,0.945597755182703,▲,,,,,
CBG.L,Financials,Mid Cap,weekly,1,0,1,0.26864039574136955,▲,,,,,
CCP.L,Consumer Discretionary,Micro Cap,weekly,1,1,0,0.17193413186357792,,,▲,▼,±,▼
CCPA.L,Consumer Discretionary,Micro Cap,weekly,1,1,0,0.49341109153229995,▲,,,▼,,
CCPC.L,Consumer Discretionary,Micro Cap,weekly,1,0,1,1.0294542159363933,▲,,,,▲,
CHG.L,Industrials,Small Cap,weekly,1,0,1,0.7232066764895791,▲,,,,,
CPG.L,Consumer Discretionary,Large Cap,weekly,1,0,1,0.4055327858443535,,▲,,,▼,
CRDA.L,Materials,Large Cap,weekly,2,0,2,0.9438386304119635,▲,▲,,,,
CWR.L,Industrials,Mid Cap,weekly,0,1,-1,-0.8831645754717998,▼,,,,,
DGE.L,Consumer Staples,Large Cap,weekly,0,2,-2,-0.5463467662676037,,,▼,▼,,
DLN.L,Real Estate,Mid Cap,weekly,2,0,2,0.596407433588522,,,▲,▲,,
DRX.L,Utilities,Mid Cap,weekly,0,1,-1,-0.4180057863628462,,▼,,,,
ENQ.L,Energy,Small Cap,weekly,2,0,2,7.919246165366234,▲,▲,,,,
ESNT.L,Materials,Small Cap,weekly,1,0,1,0.4521362238756202,▲,,,,▼,
EZJ.L,Industrials,Mid Cap,weekly,1,0,1,0.5247862693015335,,,▲,±,,
FERG.L,Industrials,Large Cap,weekly,0,1,-1,-0.05433215916743959,▼,,,,,
FEVR.L,Consumer Staples,Mid Cap,weekly,2,0,2,2.54385481238684,▲,▲,,,,
GAW.L,Consumer Discretionary,Mid Cap,weekly,1,0,1,0.5272686946491851,▲,,,,,
GBG.L,Information Technology,Mid Cap,weekly,0,1,-1,-0.4853464964027861,▼,,,,▲,
GEMD.L,Materials,Micro Cap,weekly,0,1,-1,-0.9493351416534906,▼,,,,,
GENL.L,Energy,Small Cap,weekly,1,0,1,0.14201610028073272,▲,,,,,
GMR.L,Consumer Discretionary,Micro Cap,weekly,1,1,0,-0.0005306196682966224,▼,,,▲,,
GRG.L,Consumer Staples,Mid Cap,weekly,0,1,-1,-0.0683580209603055,▼,,,,,
GROW.L,Financials,Small Cap,weekly,2,0,2,0.7867389644633092,▲,,,▲,▲,
GYM.L,Consumer Discretionary,Small Cap,weekly,1,0,1,0.115020179417201,▲,,,,,
HBR.L,Energy,Mid Cap,weekly,0,2,-2,-0.8150174566675257,,,▼,▼,,
HLMA.L,Industrials,Large Cap,weekly,0,2,-2,-3.837060556313246,▼,,,▼,,
HMSO.L,Real Estate,Mid Cap,weekly,1,0,1,0.31981935376760184,▲,,,,,
HSBA.L,Financials,Large Cap,weekly,0,1,-1,-0.0795012538321475,▼,,,,,
HSD.L,Financials,Micro Cap,weekly,0,2,-2,-0.9952676032291918,▼,▼,,,,
HWDN.L,Consumer Discretionary,Mid Cap,weekly,1,0,1,0.29515727326579255,▲,,,,,
IBST.L,Materials,Small Cap,weekly,0,1,-1,-0.18144352199912736,▼,,,,,
IHG.L,Consumer Discretionary,Large Cap,weekly,2,0,2,1.0981199504493335,,±,▲,▲,▲,
IMI.L,Industrials,Mid Cap,weekly,1,0,1,0.08982196814304844,,▲,,,,
INCH.L,Consumer Discretionary,Mid Cap,weekly,0,1,-1,-0.05982043829163219,▼,,,,,
IPO.L,Financials,Small Cap,weekly,1,0,1,0.04895448844347132,,▲,,,,
