symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAL,Industrials,Mid Cap,daily,0,1,-1,-0.846602518431824,,▼,,,,
AAOI,Information Technology,Mid Cap,daily,0,2,-2,-1.6259575303914433,▼,▼,,,,
AAP,Consumer Discretionary,Mid Cap,daily,1,1,0,0.4357796250843289,▲,▼,,,,
AB,Financials,Mid Cap,daily,0,1,-1,-0.0057081043367640865,,▼,,,±,
ABCB,Financials,Mid Cap,daily,1,0,1,0.04104210138026542,▲,,,,▼,
ABG,Consumer Discretionary,Mid Cap,daily,1,1,0,-0.0018140392118438653,,,▲,▼,,
ABM,Industrials,Mid Cap,daily,3,1,2,0.6401882750227852,▲,▲,▼,▲,,
ACA,Industrials,Mid Cap,daily,1,1,0,-0.5729676242450266,▼,▲,,,±,
ACAD,Health Care,Mid Cap,daily,2,1,1,-0.21528235480471225,▼,,▲,▲,,
ACHC,Health Care,Mid Cap,daily,1,1,0,-0.7420189424908336,▼,▲,,,,
ACHR,Industrials,Mid Cap,daily,1,2,-1,0.04636379720621148,±,▲,▼,▼,,▼
ACI,Consumer Staples,Mid Cap,daily,0,1,-1,-0.6443475210036849,▼,,,,▲,
ACIW,Information Technology,Mid Cap,daily,2,1,1,1.113728755232828,▲,▲,,▼,,
ACLS,Information Technology,Mid Cap,daily,1,1,0,-0.17937367518582248,▼,▲,,,▲,
ACMR,Information Technology,Mid Cap,daily,2,1,1,0.19008891000358857,▲,,▼,▲,,
AD,Communication Services,Mid Cap,daily,1,2,-1,0.5851423950827914,▲,▼,,▼,,
ADAMI,Real Estate,Mid Cap,daily,0,1,-1,-0.007066755437528625,▼,,,,,
ADAMN,Real Estate,Mid Cap,daily,0,1,-1,-0.039311647868390365,,,,▼,,
ADC,Real Estate,Mid Cap,daily,1,1,0,0.06674815791833891,▲,▼,,,,
ADEA,Information Technology,Mid Cap,daily,1,1,0,-0.14105336221969716,▲,,,▼,,
ADMA,Health Care,Mid Cap,daily,1,1,0,0.3789449462292415,▲,,,▼,,
ADPT,Health Care,Mid Cap,daily,1,0,1,0.5499888298419249,,▲,,,,▼
ADT,Industrials,Mid Cap,daily,1,0,1,0.17297942610654188,▲,,,,,
AEO,Consumer Discretionary,Mid Cap,daily,1,0,1,0.344044590836293,▲,,,,,
AGCO,Industrials,Mid Cap,daily,2,2,0,-1.3516236915001447,▼,▼,▲,▲,▲,
AGX,Industrials,Mid Cap,daily,0,3,-3,-0.8000177062368821,▼,▼,,▼,▼,
AGYS,Information Technology,Mid Cap,daily,1,0,1,0.08110401730091729,,▲,,,▼,
AIR,Industrials,Mid Cap,daily,0,1,-1,-0.056275875953311516,▼,,,,,
AKR,Real Estate,Mid Cap,daily,1,1,0,-1.3133376741702756,▼,,▲,,±,
ALG,Industrials,Mid Cap,daily,2,1,1,0.04200174832835592,,▼,▲,▲,,
ALGM,Information Technology,Mid Cap,daily,1,1,0,-0.033700594008969964,▼,▲,,,▲,
ALHC,Health Care,Mid Cap,daily,3,0,3,0.7581806452058235,▲,▲,▲,±,,
ALK,Industrials,Mid Cap,daily,1,1,0,-1.51631827725,▼,▲,,,▲,
ALMS,Health Care,Mid Cap,daily,1,0,1,0.041768150067920076,▲,,,,▲,
AMBA,Information Technology,Mid Cap,daily,0,1,-1,-0.2936569031289359,▼,,,,,
AMR,Materials,Mid Cap,daily,0,1,-1,-0.19824185612058218,▼,,,,±,
AMRX,Health Care,Mid Cap,daily,1,1,0,0.008624814646162243,,▼,,▲,,
AMTM,Unknown,Mid Cap,daily,0,1,-1,-0.3658233060363222,▼,,,,▼,
AN,Consumer Discretionary,Mid Cap,daily,3,1,2,0.47520193458223875,▲,▼,▲,▲,±,
ANDE,Consumer Staples,Mid Cap,daily,1,2,-1,0.15402178055062793,,▲,▼,▼,▲,
ANDG,Real Estate,Mid Cap,daily,0,2,-2,-0.7818299766269545,▼,▼,,,,
APAM,Financials,Mid Cap,daily,1,3,-2,-0.6681687570884525,▼,▼,▼,▲,▲,▲
APGE,Health Care,Mid Cap,daily,2,0,2,0.029651663823575695,±,,▲,▲,,
APLE,Real Estate,Mid Cap,daily,0,2,-2,-0.10191590435278572,,,▼,▼,▲,
APPF,Information Technology,Mid Cap,daily,2,0,2,0.340406388757028,▲,▲,,,,
ARCB,Industrials,Mid Cap,daily,1,0,1,1.5658383529032767,,▲,,,▲,▲
ARE,Real Estate,Mid Cap,daily,1,0,1,0.6809023487442779,▲,,,,▲,
ARLP,Materials,Mid Cap,daily,0,1,-1,-0.11494384579247699,▼,,,,,
AROC,Energy,Mid Cap,daily,1,0,1,0.24202157074555772,▲,,,,▲,
ARR,Real Estate,Mid Cap,daily,3,1,2,-0.33231144532230195,▼,▲,▲,▲,,
ARW,Information Technology,Mid Cap,daily,1,1,0,-0.025902492059191373,▼,▲,,,▼,
ASB,Financials,Mid Cap,daily,2,0,2,0.21148922520063593,▲,▲,,,▲,
ASBA,Financials,Mid Cap,daily,1,1,0,-0.26437752386955915,▼,▲,,,,
ASH,Materials,Mid Cap,daily,1,0,1,0.46077916061322227,▲,,,,▲,
ASO,Consumer Discretionary,Mid Cap,daily,1,1,0,0.08890749674875323,,▼,,▲,,
ATEC,Health Care,Mid Cap,daily,1,1,0,0.354075861116678,▲,▼,,,,
ATKR,Industrials,Mid Cap,daily,1,2,-1,-1.0785273212287905,▼,▼,,▲,▼,
ATMU,Industrials,Mid Cap,daily,1,0,1,0.7177515075233917,▲,,,,,
ATR,Consumer Discretionary,Mid Cap,daily,0,2,-2,-0.7742674239655133,▼,,▼,±,,
ATRO,Industrials,Mid Cap,daily,1,1,0,-0.4361119471836187,▼,,,▲,▲,
AUB,Financials,Mid Cap,daily,1,0,1,0.07157984553219521,▲,,,,▼,▲
AUR,Information Technology,Mid Cap,daily,0,1,-1,-0.2523079944852305,,▼,,,,▼
AVA,Utilities,Mid Cap,daily,1,0,1,0.22112517010224103,▲,,,,,
AVNT,Materials,Mid Cap,daily,1,1,0,0.04769843675532964,▲,▼,,,±,
AVPT,Information Technology,Mid Cap,daily,0,1,-1,-0.318819056989239,▼,,,,,▼
AVT,Information Technology,Mid Cap,daily,0,2,-2,-1.132206147878068,▼,▼,,,,
AWI,Industrials,Mid Cap,daily,1,1,0,-0.6533917374218213,▼,▲,,,,▲
AWR,Utilities,Mid Cap,daily,1,1,0,-0.08668454861038977,▲,▼,,,▲,
AX,Financials,Mid Cap,daily,2,1,1,0.06383579616530065,▲,▲,,▼,,
AXSM,Health Care,Mid Cap,daily,2,0,2,0.24951515446849334,▲,,,▲,▲,
AYI,Industrials,Mid Cap,daily,0,2,-2,-2.162141657917925,▼,▼,,,,
AZZ,Industrials,Mid Cap,daily,1,0,1,0.8561865839043941,▲,,,,,
BAH,Industrials,Mid Cap,daily,0,1,-1,-0.42509664366664857,▼,,,,,
BANC,Financials,Mid Cap,daily,2,1,1,0.014173154214475264,▲,,▲,▼,,
BANF,Financials,Mid Cap,daily,3,0,3,0.34615125502893274,▲,,▲,▲,,
BANR,Financials,Mid Cap,daily,1,1,0,0.11647793764255907,▲,,,▼,,
BATRA,Communication Services,Mid Cap,daily,0,1,-1,-0.6776373190679638,▼,,,,,
BATRK,Communication Services,Mid Cap,daily,0,1,-1,-0.5417525578556232,▼,,,,▲,
BBT,Financials,Mid Cap,daily,1,0,1,0.16187999884801793,▲,,,,▼,
BBUC,Financials,Mid Cap,daily,3,0,3,0.6666835622689212,,▲,▲,▲,,
BBWI,Industrials,Mid Cap,daily,1,1,0,0.1813884423856238,▲,▼,,,±,
BC,Consumer Discretionary,Mid Cap,daily,0,2,-2,-1.7414494320559348,▼,▼,,,,
BCO,Industrials,Mid Cap,daily,0,2,-2,-0.679476936788622,▼,▼,,,,▲
BCPC,Materials,Mid Cap,daily,1,3,-2,0.0993900734642956,▲,▼,▼,▼,▲,
