symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
AAOI,Information Technology,Mid Cap,weekly,1,0,1,0.7017888749191205,▲,,,,,
AAON,Industrials,Mid Cap,weekly,1,0,1,1.910707495558538,,▲,,,▲,
AAP,Consumer Discretionary,Mid Cap,weekly,2,0,2,7.4783070646893535,▲,▲,,,▲,
ABCB,Financials,Mid Cap,weekly,0,2,-2,-0.5228448753646444,▼,▼,,,▼,
ABG,Consumer Discretionary,Mid Cap,weekly,1,0,1,0.6152290330099119,▲,,,,,
ACA,Industrials,Mid Cap,weekly,1,1,0,-0.21006507369012,▼,▲,,,,
ACHC,Health Care,Mid Cap,weekly,0,1,-1,-1.1028944308716033,▼,,,,,
ACHR,Industrials,Mid Cap,weekly,1,0,1,0.2408493539730226,,▲,,,▲,
ACI,Consumer Staples,Mid Cap,weekly,2,0,2,0.4852124958309211,,,▲,▲,,
ACLS,Information Technology,Mid Cap,weekly,1,0,1,0.322981834212592,,,,▲,,
ACMR,Information Technology,Mid Cap,weekly,1,0,1,0.029205346943897294,,▲,,,▲,
AD,Communication Services,Mid Cap,weekly,0,1,-1,-0.08590755049831372,▼,,,,,
ADAMI,Real Estate,Mid Cap,weekly,1,0,1,0.6075090271616069,▲,,,,▼,
ADAML,Real Estate,Mid Cap,weekly,0,1,-1,-0.1511038375314914,,▼,,,,
ADC,Real Estate,Mid Cap,weekly,1,0,1,0.10452617406453216,,▲,,,,
ADEA,Information Technology,Mid Cap,weekly,1,1,0,1.071760452392754,▲,▼,,,,
AGX,Industrials,Mid Cap,weekly,1,1,0,-1.26748500777136,▼,▲,,,,
AKR,Real Estate,Mid Cap,weekly,1,0,1,0.009240529733777515,,▲,,,,
ALG,Industrials,Mid Cap,weekly,1,1,0,-0.03487397805725262,,,▲,▼,,
ALK,Industrials,Mid Cap,weekly,1,0,1,1.4220441550574263,▲,,,,▼,
ALRM,Information Technology,Mid Cap,weekly,1,3,-2,-0.6149585777656247,▼,▼,▼,▲,,
AMBA,Information Technology,Mid Cap,weekly,1,2,-1,-0.24515267873401314,▼,▼,▲,±,▲,▼
AMG,Financials,Mid Cap,weekly,0,1,-1,-0.28950086706615397,▼,,,,,
