symbol,sector,cap,tf,up,down,net,score,PRICE,PARTIC,SHARPE,ASYM,VOLUME,VOLAT
ABAT,Materials,Small Cap,weekly,0,1,-1,-0.4059709912672205,▼,,,,▼,
ABR,Real Estate,Small Cap,weekly,0,1,-1,-0.2980752517684272,,,▼,,,
ABTC,Information Technology,Small Cap,weekly,0,1,-1,-0.6655368908053741,▼,,,,,
ABUS,Health Care,Small Cap,weekly,0,1,-1,-0.4096491062247197,▼,,,,,
ABX,Financials,Small Cap,weekly,1,0,1,0.26392458752198683,,,▲,,,
ACDC,Energy,Small Cap,weekly,0,1,-1,-0.9247649752886521,▼,,,,,
ACEL,Consumer Discretionary,Small Cap,weekly,1,0,1,0.12719351125787487,▲,,,,▲,
ACVA,Information Technology,Small Cap,weekly,2,0,2,0.4102629682354957,,,▲,▲,,
ADAM,Information Technology,Small Cap,weekly,0,1,-1,-0.10951972654740721,,,,▼,,
ADAMZ,Real Estate,Small Cap,weekly,1,0,1,0.19536488969476104,,▲,,,▲,
ADTN,Information Technology,Small Cap,weekly,0,1,-1,-1.0755520303114046,▼,,,,,
AESI,Energy,Small Cap,weekly,0,1,-1,-0.19186977857436732,▼,,,,,
AFGC,Financials,Small Cap,weekly,0,1,-1,-0.37976934131022605,,,,▼,,
AFGD,Financials,Small Cap,weekly,0,1,-1,-0.5864121604534411,▼,±,,,▼,
AGIO,Health Care,Small Cap,weekly,1,0,1,0.24267010945027337,,▲,,,,
AHRT,Real Estate,Small Cap,weekly,3,0,3,0.37248408164094343,▲,,▲,▲,,
AIV,Real Estate,Small Cap,weekly,0,2,-2,-4.615147249620745,▼,▼,,,,▲
AIZN,Financials,Small Cap,weekly,1,0,1,0.12597837976723392,▲,,,,,
ALDX,Health Care,Small Cap,weekly,2,0,2,0.4560235915799685,▲,▲,,,,
ALGT,Industrials,Small Cap,weekly,0,1,-1,-0.9858076093975651,▼,,,,,
ALIT,Information Technology,Small Cap,weekly,1,0,1,0.10856393166711205,,▲,,,,
ALKT,Information Technology,Small Cap,weekly,0,2,-2,-2.182147677844793,▼,▼,,,▲,
ALLO,Health Care,Small Cap,weekly,0,1,-1,-0.22902005278728346,,,▼,,,
ALNT,Industrials,Small Cap,weekly,2,0,2,0.8605898109507792,▲,▲,,,,
ALTI,Financials,Small Cap,weekly,1,0,1,0.6192009085990688,,▲,,,,
ALX,Real Estate,Small Cap,weekly,1,0,1,0.6514076090425324,▲,,,,,
AMCX,Financials,Small Cap,weekly,0,2,-2,-0.37418582666548666,,,▼,▼,,
AMPH,Health Care,Small Cap,weekly,1,0,1,0.5747874151314789,▲,,,,,
AMPL,Information Technology,Small Cap,weekly,3,0,3,0.8376257193944465,▲,▲,▲,,,
AMPX,Industrials,Small Cap,weekly,1,0,1,0.29119481607189535,▲,,,,,
AMRC,Industrials,Small Cap,weekly,0,2,-2,-3.453566829879198,▼,▼,,,,
AMSC,Industrials,Small Cap,weekly,0,1,-1,-1.2582856578739297,▼,,,,,
AMSF,Financials,Small Cap,weekly,2,0,2,1.211070436855259,▲,▲,,,,
ANAB,Health Care,Small Cap,weekly,0,1,-1,-0.7153311125446769,▼,,,,▼,
ANGI,Communication Services,Small Cap,weekly,1,0,1,0.15716161992228814,▲,,,,,
ANGO,Health Care,Small Cap,weekly,1,0,1,0.3463358119281229,▲,,,,,
ANIP,Health Care,Small Cap,weekly,0,1,-1,-0.13409829457503655,,,,▼,,
ANRO,Health Care,Small Cap,weekly,0,1,-1,-0.4425658530137901,,,▼,,,
APEI,Consumer Staples,Small Cap,weekly,0,2,-2,-0.18406277199141516,,,▼,▼,▼,
APOG,Industrials,Small Cap,weekly,1,0,1,0.5619398024752998,▲,,,,,
APPN,Information Technology,Small Cap,weekly,2,0,2,0.5506448490581817,▲,,,▲,,
APPS,Information Technology,Small Cap,weekly,3,0,3,1.1280296016610105,▲,,▲,▲,▲,
AQST,Health Care,Small Cap,weekly,1,0,1,0.1739649357475159,,▲,,,,
ARDT,Health Care,Small Cap,weekly,0,3,-3,-1.2524361210172246,▼,▼,,▼,,
ARDX,Health Care,Small Cap,weekly,0,1,-1,-0.2414125468472432,,▼,,,▲,▲
ARHS,Industrials,Small Cap,weekly,1,0,1,0.45592223834063184,▲,,,,,
AROW,Financials,Small Cap,weekly,1,0,1,0.23902908464749567,▲,,,,,
ARRY,Information Technology,Small Cap,weekly,1,1,0,-0.5620922271917568,▼,,,▲,,▼
ARTNA,Utilities,Small Cap,weekly,1,0,1,0.20433664630285348,▲,,,,,
ASA,Financials,Small Cap,weekly,1,0,1,0.2779861597983049,,▲,,,▼,
ASAN,Information Technology,Small Cap,weekly,2,0,2,0.5282202074982767,,,▲,▲,▲,
ASGN,Industrials,Small Cap,weekly,0,1,-1,-1.0109713611667033,▼,,,,,
ASLE,Industrials,Small Cap,weekly,0,1,-1,-0.31093238489589353,▼,,,,,
ASMB,Health Care,Small Cap,weekly,1,0,1,0.581363183681039,,▲,,,,
ASPI,Materials,Small Cap,weekly,2,0,2,0.30374058968196427,,,▲,▲,▲,
ATRC,Health Care,Small Cap,weekly,0,1,-1,-0.0894286232930895,▼,,,,,
AURA,Health Care,Small Cap,weekly,0,1,-1,-1.110702312531646,▼,,,,,
AVAH,Health Care,Small Cap,weekly,0,1,-1,-0.37964630268775795,▼,,,,,
AVBP,Health Care,Small Cap,weekly,1,1,0,0.03927770929966168,▲,▼,,,,▲
AVIR,Health Care,Small Cap,weekly,0,1,-1,-0.4384883845149012,,,▼,±,,
AVNW,Financials,Small Cap,weekly,1,0,1,0.24641598013244206,,▲,,,,
AVO,Consumer Staples,Small Cap,weekly,0,1,-1,-0.3950125874633634,▼,,,,,
AVTX,Health Care,Small Cap,weekly,0,1,-1,-0.544441320821975,▼,,,,,
AVXL,Health Care,Small Cap,weekly,0,1,-1,-0.7931702317198934,▼,,,,,
AXTI,Information Technology,Small Cap,weekly,0,1,-1,-1.2957161290462835,▼,,,,,
AZTA,Health Care,Small Cap,weekly,1,0,1,0.2958749489277596,▲,,,,,
BANFP,Financials,Small Cap,weekly,0,1,-1,-0.10220089956174622,▼,,,,▼,
BBAI,Information Technology,Small Cap,weekly,2,1,1,-0.013792566625295793,,▼,▲,▲,,
BBBY,Consumer Discretionary,Small Cap,weekly,1,2,-1,0.1473098780419432,▲,,▼,▼,,
BBCP,Industrials,Small Cap,weekly,1,0,1,2.549020243653574,▲,,,,,
BBDC,Financials,Small Cap,weekly,2,1,1,-0.29166008787892533,,▼,▲,▲,,
BBOT,Health Care,Small Cap,weekly,1,1,0,-0.7061023682020728,▼,▲,,,,
BBSI,Industrials,Small Cap,weekly,1,1,0,0.05145934970750826,,,▲,▼,,
BBW,Consumer Discretionary,Small Cap,weekly,0,2,-2,-0.7248805498210392,▼,,,▼,,
BCML,Financials,Small Cap,weekly,0,1,-1,-0.25365630222085284,,,▼,,,
BCSF,Financials,Small Cap,weekly,0,1,-1,-0.6070680229424227,▼,,,,▼,
BDJ,Financials,Small Cap,weekly,1,0,1,0.3942524042600134,▲,,,,,
