symbol,price,low200w,pct_above_low,pct_off_high,fcf5_avg,fcf_yield,buyback_yield,nd_ebitda,mktcap,ev,sector,quoteType,fcf_na,computed_cap,fin_ccy,quote_ccy,name,cap,pass_fcf,pass_bb,pass_solv,pass_all,artifact
ATYR,0.4873999953269958,0.4873999953269958,0.0,-0.9191708161909854,-52795000.0,5.815188154573528,-1.4249719845397737,0.7546777546777547,46613548.0,-9078812.0,Healthcare,EQUITY,False,Micro/Nano,USD,USD,"aTyr Pharma, Inc.",Micro Cap,True,False,True,False,True
BNC,2.559999942779541,2.559999942779541,0.0,-0.906295755074092,-3247869.0,-0.0387559769902402,0.0,0.08784767277712,91368144.0,83803048.0,Industrials,EQUITY,False,Micro/Nano,USD,USD,CEA Industries Inc.,Micro Cap,False,False,True,False,False
EVFM,0.0070000002160668,0.0070000002160668,0.0,-0.9999406150564916,-6435500.0,-0.1134824364350231,0.0,-16.45742958886371,1060240.0,56709216.0,Healthcare,EQUITY,False,Micro/Nano,USD,USD,"Evofem Biosciences, In",Micro Cap,False,False,True,False,False
EVY,15.170000076293944,15.170000076293944,0.0,0.0,,,,,,,,MUTUALFUND,True,Micro/Nano,USD,USD,"EVY,0P00002CZN,0",Micro Cap,False,False,True,False,False
HDRN,2.9800000190734863,2.9800000190734863,0.0,-0.7374449410646098,-3895362.0,-6.297376687160203,0.0,5.330019557542354,209491600.0,618569.0,Industrials,EQUITY,False,Micro/Nano,USD,USD,"Hadron Energy, Inc.",Micro Cap,False,False,False,False,True
IFMK,9.999999747378752e-05,9.999999747378752e-05,0.0,-0.9980000000803264,,,0.0,2444.314037882811,9627.0,93611456.0,Consumer Defensive,EQUITY,False,Micro/Nano,USD,USD,iFresh Inc.,Micro Cap,False,False,False,False,False
FMO,12.119999885559082,12.119999885559082,0.0,0.0,2801976.0,,,,0.0,0.0,,MUTUALFUND,True,Micro/Nano,USD,USD,"FMO,0P00002D6D,0",Micro Cap,False,False,True,False,False
FLD,0.9962999820709229,0.9962999820709229,0.0,-0.9122202688470826,-4567995.5,-0.0835867501402934,-0.0800102031315466,-0.7669153057099349,34024848.0,54649756.0,Financial Services,EQUITY,True,Micro/Nano,USD,USD,"Fold Holdings, Inc.",Micro Cap,False,False,True,False,False
LNZA,7.079999923706055,7.079999923706055,0.0,-0.9929970327164134,-94905000.0,-1.3457259895712157,-0.1839689752764277,-0.1394757981654804,81807272.0,70523272.0,Industrials,EQUITY,False,Micro/Nano,USD,USD,"LanzaTech Global, Inc.",Micro Cap,False,False,True,False,True
LFT,1.0700000524520874,1.0700000524520874,0.0,-0.5667114317505448,20513697.5,0.0191559564110756,0.0,,56110228.0,1070878272.0,Real Estate,EQUITY,True,Micro/Nano,USD,USD,"Lument Finance Trust, ",Micro Cap,False,False,True,False,False
