symbol,price,low200w,pct_above_low,pct_off_high,fcf5_avg,fcf_yield,buyback_yield,nd_ebitda,mktcap,ev,sector,quoteType,fcf_na,computed_cap,fin_ccy,quote_ccy,name,cap,pass_fcf,pass_bb,pass_solv,artifact,pass_all
BLKB,26.799999237060547,26.799999237060547,0.0,-0.6918832122012768,169526500.0,0.06997975473165209,0.1694506751707966,4.402608712500976,1281505664.0,2422507776.0,Technology,EQUITY,False,Small,USD,USD,"Blackbaud, Inc.",Mid Cap,False,True,True,False,False
BILL,32.189998626708984,32.189998626708984,0.0,-0.8153078210642737,207221500.0,0.06868169637834391,0.1301214852111023,-8.594137032165492,3304619520.0,3017128448.0,Technology,EQUITY,False,Mid,USD,USD,"BILL Holdings, Inc.",Mid Cap,False,True,True,False,False
EPAM,92.23999786376953,92.23999786376953,0.0,-0.7915715729113957,530620500.0,0.12530469921716617,0.13288158183039012,-1.024008302050296,4983075840.0,4234641664.0,Technology,EQUITY,False,Mid,USD,USD,"EPAM Systems, Inc.",Mid Cap,True,True,True,False,True
KVYO,13.90999984741211,13.90999984741211,0.0,-0.7040425564380401,129371000.0,0.0382145812098514,0.0,29.71914671417803,4252766208.0,3385383168.0,Technology,EQUITY,False,Mid,USD,USD,"Klaviyo, Inc. Series A",Mid Cap,False,False,False,False,False
DOX,55.904998779296875,55.904998779296875,0.0,-0.393092721002117,632038500.0,0.09183828573166783,0.0920795375021762,0.8326372734227413,5987649536.0,6882080768.0,Technology,EQUITY,False,Mid,USD,USD,Amdocs Limited,Mid Cap,True,True,True,False,True
DXC,8.8100004196167,8.8100004196167,0.0,-0.7052525727829959,888000000.0,0.20761681217649933,0.16753281716252577,1.7274605908860825,1486275968.0,4277110272.0,Technology,EQUITY,False,Small,USD,USD,DXC Technology Company,Mid Cap,True,True,True,False,True
DLB,52.279998779296875,52.279998779296875,0.0,-0.38785036752058033,316993500.0,0.07151762420269706,0.02385749053943049,-1.5022476634116875,4968292864.0,4432382976.0,Industrials,EQUITY,False,Mid,USD,USD,Dolby Laboratories,Mid Cap,True,False,True,False,False
NOG,20.360000610351562,20.360000610351562,0.0,-0.485844930176183,-348724500.0,-0.07412954315893855,0.0,1.7376774072462855,2261622528.0,4704258048.0,Energy,EQUITY,False,Mid,USD,USD,"Northern Oil and Gas, ",Mid Cap,False,False,True,False,False
PCOR,41.11000061035156,41.11000061035156,0.0,-0.5301714215959821,87252500.0,0.014805672631896563,0.02015704974852623,-20.873802453628105,6391709184.0,5893180416.0,Technology,EQUITY,False,Mid,USD,USD,"Procore Technologies, ",Mid Cap,False,False,True,False,False
WU,7.369999885559082,7.322988033294678,0.00641976363345953,-0.38170029269207506,383150000.0,0.0940710539620812,0.09945376229258676,1.9390272579185521,2358885120.0,4072985088.0,Financial Services,EQUITY,True,Mid,USD,USD,Western Union Company ,Mid Cap,True,True,True,False,False
