symbol,price,low200w,pct_above_low,pct_off_high,fcf5_avg,fcf_yield,buyback_yield,nd_ebitda,mktcap,ev,sector,quoteType,fcf_na,computed_cap,fin_ccy,quote_ccy,name,cap,pass_fcf,pass_bb,pass_solv,artifact,pass_all
ABR,5.210000038146973,5.210000038146973,0.0,-0.5867710139481436,416949000.0,0.03268962653763215,-0.06158228714563741,,1086448768.0,12754780160.0,Real Estate,EQUITY,True,Small,USD,USD,Arbor Realty Trust,Small Cap,False,False,True,False,False
AGNT,4.630000114440918,4.630000114440918,0.0,-0.797353963915876,191062500.0,0.2991564743315392,0.07386637647021414,11.572619611558503,760819776.0,638670784.0,Real Estate,EQUITY,True,Small,USD,USD,"AGNT, Inc.",Small Cap,True,True,False,False,False
AVXL,2.5,2.5,0.0,-0.8267498304138431,-29298500.0,-0.29318908305693425,-0.03970141634349593,,231679392.0,99930392.0,Healthcare,EQUITY,False,Micro/Nano,USD,USD,Anavex Life Sciences C,Small Cap,False,False,True,False,False
BMBL,2.7200000286102295,2.7200000286102295,0.0,-0.9037508844097468,141879500.0,0.1720584136055522,0.069520569168744,1.2342117199801583,412568544.0,824600768.0,Communication Services,EQUITY,False,Small,USD,USD,Bumble Inc.,Small Cap,True,True,True,False,True
DJTWW,3.640000104904175,3.640000104904175,0.0,-0.8740776329364592,-17010850.0,-0.014634522064005603,-1.1542806410415942,0.11721764962777219,1162378240.0,1162378240.0,,EQUITY,False,Small,USD,USD,Trump Media & Technolo,Small Cap,False,False,True,True,False
EMBC,3.0999999046325684,3.0999999046325684,0.0,-0.8946243493334132,111800000.0,0.08151565002486709,0.0,3.5738789286789046,183915792.0,1371515776.0,Healthcare,EQUITY,False,Micro/Nano,USD,USD,Embecta Corp.,Small Cap,True,False,True,False,False
CCOI,15.859999656677246,15.859999656677246,0.0,-0.7978642871110206,-155217500.0,-0.047335143306456766,0.021008981479340116,14.987238477906825,794231744.0,3279117568.0,Communication Services,EQUITY,False,Small,USD,USD,Cogent Communications ,Small Cap,False,False,False,False,False
EXPI,4.625,4.625,0.0,-0.7975728598274834,191062500.0,0.2035427514893859,0.0523526967879361,10.437247983870968,1073469056.0,938684864.0,Real Estate,EQUITY,True,Small,USD,USD,"eXp World Holdings, In",Small Cap,True,True,False,False,False
GOGO,3.6600000858306885,3.6600000858306885,0.0,-0.7947279808473527,51410000.0,0.039807352792362916,0.0,4.384668503056079,494973024.0,1291469952.0,Communication Services,EQUITY,False,Small,USD,USD,Gogo Inc.,Small Cap,False,False,True,False,False
GTM,2.809999942779541,2.809999942779541,0.0,-0.9430597765012477,388450000.0,0.1748469251067311,0.49640304254324047,4.21378902933172,828157696.0,2221657600.0,Technology,EQUITY,False,Small,USD,USD,ZoomInfo Technologies ,Small Cap,True,True,True,False,True
LAB,0.8877000212669373,0.8877000212669373,0.0,-0.7089508081491003,-87920500.0,1.1107352813504767,0.0,6.2408004691394225,347501632.0,-79155224.0,Healthcare,EQUITY,False,Small,USD,USD,Standard BioTools Inc.,Small Cap,True,False,False,True,False
