ticker,combined,ord_score,q_score,close,ov_sig,ov_sig_loose,ov_str,ov_shrink,ov_expand,ov_probed,ov_closed_back,spv_sig,spv_ratio,squeeze,released,bw_pctile,asym,above_ma50,q_stacked,q_ret13,q_ret26,q_compress,q_volratio,q_prox,q_brk,cause_bars,rs_up,rs_chop,rs_down,all_weather,rel_sq,rel_released,rel_bw_pct,rel_brk,rel_ov,rel_ov_loose,rel_ov_str,rel_spv,early_score,drawdown,risk_pct,rr,base_low,massive,brk_bars,brk_pos,near_edge,rising_lows,donch_pct,close_pos,one_tf,rr_dest,cib,vol_conf,probe_edge,rng_exp_v,rs_13hi,rs_26hi,climax,clx_retest,diss,diss_trig,diss_n,gap_test,rf_cum,rf_str,dp_sig,dp_vol,h_bull,mfi_x,cmf_x,cmf_now,cmf_impr,vol_spk_x,mfi_now,d_mfi_x,d_mfi_now,full_tcap,tcap_wm,m_mfi_now,ord_cont,ord_vel,ord_acc,ord_traj,ord_early,bars_infl
CTPE.L,8,4,1,472.0,False,False,,,,,,False,,True,False,0.32,1.07,False,False,-0.026,-0.303,1.2,0.85,0.8,False,3,0.781,1.284,0.626,True,False,True,0.46,False,False,False,NONE,False,29,0.202,0.068,3.7,439.77,33,13,0.389,False,False,0.59,0.389,4,9.8,0.54,1.0,True,False,False,False,True,True,False,,1,False,2,0,LOW_VOL_SELL,0.41,1,True,False,0.167,False,False,52.3,False,,False,False,,0.3,-0.61,-0.17,INFLECT_UP,True,1
HUW.L,15,12,3,212.0,True,True,MARGINAL,0.51,2.56,True,True,False,1.67,True,False,0.18,1.11,True,False,-0.057,0.179,0.6,0.97,0.76,False,11,-1.821,0.43,2.457,False,False,True,0.64,False,False,False,NONE,False,27,0.242,0.085,3.8,194.0,28,16,0.319,False,False,0.13,0.479,3,5.3,0.38,0.0,False,False,False,False,True,True,False,,2,False,-4,1,MIRAGE_BUY,0.36,1,True,False,0.052,False,False,50.0,False,,False,False,,32.7,-3.8,-1.41,ACCEL_BEAR,False,30
LRE.L,6,6,0,589.0,False,False,NONE,0.94,1.11,True,True,False,0.95,True,False,0.14,0.86,False,False,0.048,-0.045,0.86,0.96,0.84,False,2,-1.149,-0.725,1.424,False,False,True,0.61,False,False,False,NONE,False,26,0.306,0.068,6.4,548.67,25,20,0.395,False,False,0.09,0.395,3,4.1,0.46,0.0,False,False,False,False,True,True,False,,2,False,2,0,LOW_VOL_RALLY,0.43,1,True,False,0.033,False,False,47.4,False,,False,False,,2.3,-2.87,0.37,INFLECT_UP,True,0
FRAS.L,14,9,2,692.0,False,False,NONE,0.7,0.99,True,True,True,0.83,True,False,0.01,0.72,False,False,0.045,-0.147,0.74,0.52,0.82,False,3,0.807,1.291,1.583,True,False,False,0.21,False,False,False,NONE,True,26,0.309,0.136,3.3,598.0,26,13,0.656,False,False,0.04,0.409,2,3.4,0.46,0.0,True,False,False,False,True,True,False,,2,False,3,0,LOW_VOL_RALLY,0.23,1,False,False,-0.162,False,False,45.4,False,,False,False,,0.4,0.56,-0.17,INFLECT_UP,True,2
THR.L,7,7,0,0.7,False,False,,,,,,False,,True,False,0.04,1.32,False,False,0.4,-0.462,0.95,1.13,0.7,False,1,0.058,-2.653,-0.528,False,True,False,0.03,False,False,False,NONE,False,25,0.984,0.357,176.8,0.45,30,2,0.8,False,False,0.02,0.263,2,1.2,0.23,1.0,True,False,False,False,True,True,False,,1,False,4,2,NEUTRAL,0.2,1,True,True,0.032,True,True,51.6,False,,False,False,,4.3,-0.7,-0.21,INFLECT_UP,True,1
ENOG.L,11,6,2,848.0,False,False,,,,,,True,0.89,True,False,0.06,0.91,False,False,-0.037,-0.222,0.78,0.89,0.76,False,6,1.194,0.596,0.689,True,False,True,0.62,False,False,False,NONE,False,25,0.475,0.054,16.7,801.97,32,13,0.399,False,False,0.06,0.252,2,6.5,0.46,0.0,True,False,False,False,False,False,False,,1,False,-10,0,NEUTRAL,0.51,1,True,True,0.062,False,False,43.8,False,,False,False,,-0.1,2.32,0.74,ACCEL_BULL,True,11
PSDL.L,10,9,1,173.0,False,False,NONE,0.92,0.58,False,True,False,,True,False,0.01,1.32,False,False,0.003,0.146,0.89,1.04,0.94,False,19,-0.726,0.33,0.111,False,False,True,0.37,False,False,False,NONE,False,25,0.59,0.145,10.0,148.0,45,26,0.817,True,False,0.03,0.775,1,1.9,0.31,0.0,False,False,False,False,True,True,False,,2,False,5,1,MIRAGE_BUY,0.06,0,True,True,0.06,False,True,47.4,False,,False,False,,9.2,-0.46,-0.31,ACCEL_BEAR,False,6
ULVR.L,4,4,0,4274.5,False,False,,,,,,False,,True,False,0.29,1.14,False,False,-0.16,0.006,1.28,1.21,0.77,False,2,-0.42,-0.153,1.0,False,False,False,0.96,False,False,False,NONE,False,25,0.249,0.048,6.9,4068.0,38,47,0.284,False,False,0.22,0.185,1,8.9,0.38,1.0,True,False,False,False,True,True,False,,1,False,-2,1,MIRAGE_BUY,0.64,1,False,True,-0.019,False,False,40.1,False,,False,False,,0.5,-2.25,0.36,INFLECT_UP,True,0
CTEC.L,4,4,0,205.2,False,False,,,,,,False,,True,False,0.64,1.03,False,False,-0.21,-0.283,1.05,1.13,0.66,False,2,-0.027,-0.746,0.153,False,False,True,0.66,False,False,False,NONE,False,24,0.34,0.008,66.2,203.6,39,11,0.015,True,False,0.31,0.015,3,133.4,0.31,0.0,True,False,False,False,True,True,False,,1,False,-6,2,LOW_VOL_SELL,0.28,1,False,False,-0.177,False,False,33.9,False,,False,False,,-17.5,-2.94,0.18,INFLECT_UP,True,3
AUTG.L,17,14,3,11.5,False,True,STRONG,0.12,5.12,False,True,True,0.05,True,False,0.18,0.85,True,False,0.643,0.278,1.04,0.54,0.82,False,1,-0.249,-0.072,-4.359,False,True,False,0.2,False,False,True,STRONG,False,24,0.926,0.991,12.6,0.1,21,1,0.75,False,False,0.97,0.82,3,0.7,0.38,0.5,True,False,False,False,True,True,False,,2,False,-1,1,CONFIRMED_UP,1.4,1,False,False,-0.054,False,False,53.8,False,,False,False,,54.7,11.42,2.94,INFLECT_UP,True,1
