ticker,combined,ord_score,q_score,close,ov_sig,ov_sig_loose,ov_str,ov_shrink,ov_expand,ov_probed,ov_closed_back,spv_sig,spv_ratio,squeeze,released,bw_pctile,asym,above_ma50,q_stacked,q_ret13,q_ret26,q_compress,q_volratio,q_prox,q_brk,cause_bars,rs_up,rs_chop,rs_down,all_weather,rel_sq,rel_released,rel_bw_pct,rel_brk,rel_ov,rel_ov_loose,rel_ov_str,rel_spv,early_score,drawdown,risk_pct,rr,base_low,massive,brk_bars,brk_pos,near_edge,rising_lows,donch_pct,close_pos,one_tf,rr_dest,cib,vol_conf,probe_edge,rng_exp_v,rs_13hi,rs_26hi
SUPN,6,4,2,47.85,False,False,,,,,,False,,True,False,0.02,1.15,True,False,-0.006,-0.132,0.85,0.83,0.8,False,7,0.652,-0.222,-0.158,False,True,False,0.13,False,False,False,NONE,False,20,0.198,0.021,11.6,46.83,44,36,0.339,False,False,0.1,0.286,4,6.3,0.15,1.0,False,False,False,False
INGR,5,4,1,110.43,False,False,,,,,,False,,True,False,0.08,0.91,False,False,-0.058,-0.029,0.91,0.82,0.9,False,12,-0.493,-0.212,0.491,False,False,True,0.34,False,False,False,NONE,False,18,0.261,0.027,13.1,107.45,49,73,0.222,False,False,0.12,0.442,1,8.0,0.46,1.0,False,False,False,False
UGI,5,4,1,35.4,False,False,,,,,,False,,True,False,0.06,0.93,False,False,-0.108,0.08,1.11,0.82,0.87,False,12,-0.436,-0.103,-0.018,False,True,False,0.15,False,False,False,NONE,False,18,0.135,0.014,10.9,34.89,35,55,0.577,False,False,0.14,0.368,0,3.6,0.46,0.0,False,True,False,False
ELAN,4,3,1,22.51,False,False,,,,,,False,1.02,True,False,0.05,1.18,True,False,-0.065,0.016,0.97,0.9,0.81,False,2,0.226,-0.09,-0.97,False,True,False,0.11,False,False,False,NONE,False,18,0.188,0.04,5.9,21.62,34,29,0.37,False,False,0.03,0.287,2,4.6,0.31,0.67,False,False,False,False
PLMR,4,3,1,120.97,False,False,,,,,,False,,True,False,0.02,1.23,False,False,-0.021,0.061,1.02,0.9,0.87,False,3,-0.221,-0.19,0.663,False,True,False,0.03,False,False,False,NONE,False,17,0.312,0.051,8.8,114.75,42,43,0.271,False,False,0.0,0.33,3,6.4,0.46,0.0,False,False,False,False
ETD,3,3,0,20.82,False,False,,,,,,False,,True,False,0.16,0.95,False,False,-0.077,-0.11,1.01,1.1,0.84,False,9,0.399,-0.701,0.047,False,False,True,0.33,False,False,False,NONE,False,16,0.34,0.004,126.0,20.74,57,34,0.009,True,False,0.05,0.021,1,212.6,0.31,0.0,True,True,False,False
MSEX,2,2,0,50.93,False,False,,,,,,False,,True,False,0.05,0.94,False,False,-0.021,-0.102,1.32,1.34,0.9,False,3,-0.719,-0.559,0.074,False,True,False,0.31,False,False,False,NONE,False,16,0.252,0.025,13.4,49.65,31,53,0.395,False,False,0.01,0.578,3,4.1,0.31,0.0,False,False,False,False
TNL,3,3,0,64.4,False,False,,,,,,False,,True,False,0.12,0.94,True,False,-0.066,0.043,1.46,1.39,0.8,False,1,0.974,-0.344,-0.564,False,True,False,0.47,False,False,False,NONE,False,16,0.198,0.028,8.7,62.58,34,37,0.336,False,False,0.22,0.241,2,5.0,0.31,1.0,False,False,False,False
EYE,3,3,0,23.54,False,False,,,,,,False,,True,False,0.06,1.21,False,False,-0.107,-0.086,1.21,1.15,0.78,False,1,0.19,-1.514,0.352,False,True,False,0.29,False,False,False,NONE,False,16,0.216,0.063,4.3,22.05,39,46,0.306,False,False,0.11,0.192,3,7.3,0.31,0.0,False,False,False,False
CWT,2,2,0,42.36,False,False,,,,,,False,,True,False,0.1,0.87,False,False,-0.045,-0.032,1.37,1.32,0.88,False,1,-0.998,-0.273,0.33,False,False,True,0.43,False,False,False,NONE,False,15,0.216,0.011,24.9,41.89,54,159,0.124,True,False,0.03,0.194,1,15.1,0.38,0.25,False,True,False,False
EXPO,2,1,1,65.28,False,False,,,,,,False,,True,False,0.37,1.07,False,False,-0.088,-0.07,0.72,1.06,0.8,False,7,-0.535,-0.184,-0.299,False,True,False,0.43,False,False,False,NONE,False,15,0.423,0.031,23.6,63.25,45,63,0.081,True,False,0.42,0.111,2,23.6,0.46,1.0,True,False,False,False
DLB,1,1,0,57.46,False,False,,,,,,False,,True,False,0.46,1.32,False,False,-0.1,-0.124,1.37,0.91,0.83,False,1,-0.632,-0.358,-0.139,False,True,False,0.44,False,False,False,NONE,False,15,0.344,0.03,17.4,55.73,55,56,0.071,True,False,0.63,0.125,1,27.1,0.31,1.0,True,True,False,False
WEX,2,2,0,151.14,False,False,,,,,,False,,True,False,0.05,1.0,False,False,-0.018,0.036,1.32,1.3,0.81,False,1,0.247,-0.732,-0.163,False,True,False,0.24,False,False,False,NONE,False,15,0.305,0.044,10.0,144.49,31,47,0.384,False,False,0.45,0.329,1,5.4,0.54,0.67,True,False,False,False
SMG,4,3,1,61.72,False,False,,,,,,False,,True,False,0.08,0.87,True,False,-0.03,0.179,1.31,1.15,0.85,False,1,-0.495,0.735,-1.404,False,True,False,0.11,False,False,False,NONE,False,15,0.3,0.044,9.7,58.99,33,51,0.508,False,False,0.05,0.505,0,3.0,0.46,0.25,False,True,False,False
LOPE,4,3,1,163.41,False,False,,,,,,False,,True,False,0.09,0.86,False,False,-0.06,-0.132,1.1,0.89,0.9,False,9,-0.087,-0.492,0.796,False,True,False,0.18,False,False,False,NONE,False,15,0.267,0.075,4.9,151.17,51,26,0.197,True,False,0.17,0.356,1,9.2,0.31,0.0,False,True,False,False
NMIH,5,2,0,37.21,False,False,,,,,,False,,True,False,0.16,0.73,False,False,-0.039,0.021,1.22,1.1,0.88,False,1,0.012,0.072,0.004,True,True,False,0.14,False,False,False,NONE,False,15,0.139,0.037,4.3,35.83,40,105,0.549,False,False,0.06,0.319,0,2.8,0.31,1.0,False,True,False,False
AFG,7,5,2,131.64,False,False,NONE,0.76,0.9,True,True,False,1.18,True,False,0.03,1.07,True,False,0.029,0.04,1.16,0.86,0.97,False,24,-0.139,-0.154,0.218,False,True,False,0.18,False,False,False,NONE,False,15,0.082,0.07,1.3,122.46,43,116,0.731,False,False,0.01,0.564,0,2.0,0.46,1.0,False,True,False,False
CNX,5,2,0,37.88,False,False,,,,,,False,1.01,False,False,0.29,1.17,True,False,-0.024,0.125,0.97,0.91,0.87,False,6,0.313,0.02,0.645,True,False,False,0.45,False,False,False,NONE,False,14,0.132,0.015,10.1,37.31,26,31,0.601,False,False,0.3,0.449,0,3.1,0.54,0.5,False,False,False,False
CPK,5,5,0,126.94,False,False,,,,,,False,,True,False,0.11,0.85,True,False,-0.008,0.008,1.05,0.98,0.92,False,15,-0.475,-0.01,0.015,False,False,True,0.58,False,False,False,NONE,False,14,0.087,0.038,2.5,122.15,34,106,0.729,False,False,0.07,0.407,1,2.0,0.38,0.0,False,False,False,False
UVV,5,5,0,54.25,False,False,,,,,,False,,True,False,0.08,0.94,True,False,-0.026,0.104,0.99,1.01,0.93,False,12,-0.658,-0.113,0.61,False,True,False,0.12,False,False,False,NONE,False,14,0.144,0.079,2.1,49.97,38,90,0.528,False,False,0.18,0.579,2,3.0,0.54,1.0,False,False,False,False
WINA,0,0,0,373.23,False,False,,,,,,False,,True,False,0.39,1.0,False,False,-0.17,-0.048,1.07,0.91,0.77,False,1,0.051,-0.164,0.511,False,True,False,0.61,False,False,False,NONE,False,13,0.272,0.041,9.2,358.01,41,30,0.098,True,False,0.62,0.117,3,19.4,0.31,0.0,True,False,False,False
SIG,2,2,0,85.7,False,False,,,,,,False,,True,False,0.08,0.93,False,False,-0.068,-0.13,0.93,0.91,0.86,False,1,-0.075,0.529,-0.083,False,True,False,0.08,False,False,False,NONE,False,13,0.219,0.085,3.3,78.38,35,37,0.313,False,False,0.04,0.257,1,8.1,0.46,0.0,False,False,False,False
MGEE,5,3,2,80.6,False,False,NONE,0.69,1.14,False,True,False,,True,False,0.15,0.93,False,False,0.015,-0.016,1.09,1.12,0.97,False,6,-0.449,-0.191,0.222,False,True,False,0.11,False,False,False,NONE,False,13,0.239,0.105,3.0,72.17,42,73,0.274,False,False,0.25,0.726,2,6.3,0.46,0.0,True,False,False,False
LAUR,6,3,0,31.24,False,False,,,,,,False,,True,False,0.14,0.9,True,False,-0.089,0.076,1.25,0.98,0.82,False,1,0.632,0.493,0.431,True,False,True,0.29,False,False,False,NONE,False,13,0.176,0.081,2.6,28.7,27,24,0.484,False,False,0.43,0.484,1,7.7,0.31,0.0,False,False,False,False
AWR,2,2,0,75.21,False,False,,,,,,False,,True,False,0.32,1.08,True,False,0.038,0.069,1.37,1.32,0.93,False,6,-0.858,-0.201,0.376,False,False,True,0.53,False,False,False,NONE,False,13,0.107,0.045,2.6,71.79,33,168,0.439,False,False,0.32,0.526,1,3.6,0.54,0.25,False,True,False,False
SHAK,4,3,1,98.36,False,False,,,,,,False,,True,False,0.12,1.22,False,False,0.111,0.019,0.96,0.79,0.92,False,3,-0.008,-0.23,0.128,False,True,False,0.04,False,False,False,NONE,False,13,0.32,0.188,2.5,79.91,44,37,0.64,False,True,0.05,0.706,5,2.1,0.46,1.0,False,False,False,False
REYN,4,4,0,20.77,False,False,,,,,,False,,False,True,0.78,0.68,False,False,-0.095,-0.134,0.9,1.1,0.83,False,8,-0.326,-0.59,0.089,False,False,True,0.74,False,False,False,NONE,False,12,0.327,0.016,30.5,20.44,49,82,0.05,True,False,0.65,0.071,2,39.1,0.38,1.0,True,False,False,False
BMRN,6,4,2,54.06,False,False,,,,,,True,0.9,False,False,0.47,0.87,False,False,-0.044,0.009,0.73,0.73,0.82,False,7,-0.633,-0.259,-0.02,False,False,True,0.48,False,False,False,NONE,False,12,0.43,0.03,25.5,52.46,34,57,0.147,True,False,0.48,0.213,3,12.6,0.38,0.5,False,False,False,False
GOGO,3,2,1,4.47,False,False,,,,,,False,,True,False,0.15,0.96,False,False,-0.026,-0.509,1.09,0.71,0.82,False,1,-0.738,-1.32,1.287,False,True,False,0.21,False,False,False,NONE,True,12,0.734,0.132,20.9,3.88,49,20,0.189,True,False,0.05,0.121,2,9.6,0.38,1.0,True,False,False,False
EPAC,2,1,1,34.94,False,False,,,,,,False,,False,False,0.74,0.95,False,False,-0.134,-0.149,0.83,0.99,0.79,False,8,-0.321,-0.133,0.356,False,False,True,0.71,False,False,False,NONE,False,12,0.326,0.037,13.2,33.66,41,71,0.082,True,False,0.56,0.124,0,23.5,0.23,0.0,True,False,False,False
USPH,4,3,1,71.83,False,False,,,,,,False,,False,True,0.2,1.12,False,False,-0.138,-0.157,0.92,0.83,0.79,False,2,0.361,-1.124,-0.145,False,False,True,0.5,False,False,False,NONE,False,12,0.306,0.04,11.2,68.99,40,53,0.289,False,False,0.26,0.243,2,8.3,0.23,1.0,False,False,False,False
AGO,2,2,0,80.86,False,False,,,,,,False,,False,False,0.22,0.86,False,False,-0.043,0.008,1.02,1.1,0.88,False,9,-0.057,0.187,0.033,False,False,True,0.38,False,False,False,NONE,False,12,0.152,0.021,8.5,79.16,27,125,0.515,False,False,0.11,0.145,1,3.6,0.23,0.0,False,False,False,False
MSA,2,2,0,165.79,False,False,,,,,,False,,False,False,0.83,1.22,False,False,-0.062,0.062,0.92,1.11,0.8,False,6,-0.015,-0.533,0.048,False,False,False,0.94,False,False,False,NONE,False,12,0.204,0.044,5.9,158.56,27,53,0.379,False,False,0.77,0.268,1,6.5,0.38,0.5,False,False,False,False
CNH,4,4,0,10.48,False,False,,,,,,True,0.81,False,False,0.82,1.44,False,False,-0.026,-0.001,1.1,1.16,0.79,False,2,-0.396,-0.124,-0.176,False,False,False,0.81,False,False,False,NONE,False,12,0.266,0.064,5.7,9.81,22,16,0.298,False,False,0.69,0.343,3,10.2,0.38,0.67,False,False,False,False
CNS,4,3,1,69.29,False,False,,,,,,False,,True,False,0.12,1.04,True,False,0.09,0.034,0.93,1.05,0.96,False,2,0.424,-0.179,-0.763,False,True,False,0.05,False,False,False,NONE,False,12,0.343,0.132,4.0,60.17,43,59,0.439,False,True,0.02,0.82,5,3.6,0.31,0.5,False,False,False,False
EVTC,3,2,1,29.2,False,False,,,,,,False,,True,False,0.23,1.08,False,False,-0.025,0.027,0.97,0.71,0.93,False,2,-0.368,-0.633,-0.004,False,True,False,0.17,False,False,False,NONE,False,12,0.24,0.147,2.2,24.91,23,35,0.361,False,True,0.48,0.645,2,4.5,0.31,0.0,False,False,False,False
PB,4,2,2,69.33,False,False,,,,,,False,,True,False,0.25,0.94,True,False,0.014,0.072,0.83,0.88,0.91,False,9,-0.103,-0.084,-0.196,False,True,False,0.11,False,False,False,NONE,False,12,0.16,0.088,2.2,63.2,26,94,0.514,False,False,0.37,0.467,2,4.1,0.31,1.0,False,False,False,False
ASO,4,3,1,53.83,False,False,,,,,,False,,True,False,0.02,0.98,True,False,-0.019,0.13,1.01,0.89,0.86,False,2,0.378,-0.081,-0.009,False,True,False,0.04,False,False,False,NONE,False,12,0.152,0.082,2.2,49.44,24,22,0.553,False,False,0.0,0.602,2,4.4,0.23,0.5,False,False,False,False
MP,4,3,1,66.63,False,False,,,,,,False,,True,False,0.21,1.06,True,False,0.134,0.056,1.1,0.87,0.91,False,1,1.445,0.15,-0.471,False,True,False,0.12,False,False,False,NONE,False,12,0.335,0.333,1.5,44.43,31,3,0.866,True,False,0.36,0.779,1,1.1,0.31,1.0,True,False,True,False
NBTB,5,4,1,44.21,False,False,,,,,,False,,True,False,0.14,0.98,True,False,0.004,0.112,1.08,1.08,0.95,False,6,0.13,-0.48,0.262,False,True,False,0.12,False,False,False,NONE,False,12,0.121,0.096,1.4,39.96,38,96,0.621,False,False,0.11,0.703,2,2.5,0.38,1.0,False,False,False,False
GGG,1,1,0,79.19,False,False,,,,,,False,1.81,False,False,0.55,0.95,False,False,-0.09,-0.025,1.2,1.23,0.83,False,7,-0.279,-0.267,0.021,False,False,False,0.95,False,False,False,NONE,False,11,0.17,0.004,53.9,78.89,21,157,0.445,False,False,0.43,0.05,3,3.9,0.31,1.0,False,False,False,False
ATR,1,1,0,119.02,False,False,,,,,,False,,False,False,0.78,0.95,False,False,-0.044,0.03,1.15,0.97,0.81,False,7,-0.378,-0.293,0.036,False,False,False,0.86,False,False,False,NONE,False,11,0.321,0.009,50.1,117.9,22,26,0.367,False,False,0.65,0.286,2,6.5,0.46,0.5,False,False,False,False
VVV,0,0,0,32.61,False,False,,,,,,False,,False,False,0.81,1.18,False,False,-0.003,-0.012,0.99,0.98,0.83,False,3,-0.435,-0.046,0.051,False,False,False,0.92,False,False,False,NONE,False,11,0.324,0.029,16.8,31.68,25,32,0.32,False,False,0.8,0.376,3,5.2,0.23,0.67,False,False,False,False
SSTK,4,2,2,16.69,False,False,,,,,,False,,True,False,0.12,0.88,False,False,-0.142,-0.308,0.81,0.84,0.82,False,1,0.1,-1.35,-1.038,False,True,False,0.16,False,False,False,NONE,False,11,0.597,0.089,16.7,15.21,20,12,0.424,False,False,0.2,0.296,1,3.7,0.15,0.0,False,False,False,False
HCI,2,1,1,152.3,False,False,,,,,,False,,False,False,0.32,0.94,False,False,-0.038,-0.25,0.75,1.34,0.78,False,6,-0.412,-0.476,1.334,False,False,False,0.33,False,False,False,NONE,False,11,0.273,0.027,13.8,148.15,35,37,0.187,True,False,0.1,0.07,2,30.7,0.38,0.0,False,False,False,False
SKY,1,0,1,76.9,False,False,,,,,,False,,False,False,0.54,1.13,False,False,-0.019,0.127,0.85,0.79,0.78,False,1,0.69,0.454,-0.875,False,False,True,0.63,False,False,False,NONE,False,11,0.34,0.065,7.9,71.91,19,25,0.359,False,False,0.14,0.359,1,11.4,0.38,0.0,False,False,False,False
CENT,4,2,2,36.73,False,False,,,,,,False,,False,False,0.84,1.3,True,False,0.086,0.198,1.1,0.77,0.92,False,4,-0.04,-0.251,-0.248,False,False,False,0.83,False,False,False,NONE,False,11,0.226,0.044,6.6,35.1,25,40,0.638,False,False,0.3,0.667,2,2.1,0.62,0.75,False,False,False,False
ELS,4,3,1,62.82,False,False,,,,,,False,,False,False,0.57,0.97,True,False,0.003,0.047,0.9,0.82,0.92,False,15,-0.502,-0.145,-0.183,False,False,False,0.74,False,False,False,NONE,False,11,0.133,0.028,5.5,61.08,16,199,0.545,False,False,0.33,0.452,1,2.7,0.31,0.6,False,False,False,False
BRC,2,2,0,82.16,False,False,,,,,,False,,False,False,0.7,0.93,True,False,-0.047,0.089,0.92,1.14,0.83,False,8,-0.13,0.053,0.059,False,False,False,0.84,False,False,False,NONE,False,11,0.17,0.039,5.3,78.98,17,37,0.441,False,False,0.79,0.374,1,4.0,0.38,0.67,False,False,False,False
ABR,4,3,1,7.93,False,False,,,,,,False,,True,False,0.09,1.25,False,False,0.068,-0.157,0.89,0.63,0.92,False,3,0.246,-0.534,-0.474,False,True,False,0.12,False,False,False,NONE,False,11,0.4,0.135,4.9,6.86,51,26,0.25,False,True,0.12,0.418,4,7.0,0.38,1.0,False,False,False,False
HOMB,1,1,0,26.74,False,False,,,,,,False,,False,False,0.28,0.89,False,False,-0.068,0.016,0.98,1.13,0.87,False,9,0.081,-0.067,-0.134,False,False,True,0.46,False,False,False,NONE,False,11,0.159,0.04,4.8,25.68,20,94,0.477,False,False,0.21,0.215,3,4.6,0.23,0.0,False,False,False,False
VCEL,2,2,0,35.57,False,False,,,,,,False,,True,False,0.19,1.07,False,False,-0.011,0.015,1.06,1.07,0.85,False,1,0.532,-0.523,-0.657,False,True,False,0.08,False,False,True,GOOD,False,11,0.435,0.186,4.1,28.95,16,16,0.521,False,True,0.31,0.471,0,2.8,0.38,0.0,True,False,False,False
FCN,1,1,0,173.82,False,False,,,,,,False,,True,False,0.4,0.97,True,False,-0.005,0.053,1.13,0.97,0.92,False,5,-0.514,-0.624,0.788,False,True,False,0.35,False,False,False,NONE,False,11,0.286,0.118,3.4,153.36,34,79,0.298,False,False,0.5,0.569,0,5.7,0.54,0.25,False,True,False,False
ORI,3,1,2,39.26,False,False,,,,,,False,,True,False,0.43,0.65,True,False,0.01,0.068,0.8,0.83,0.89,False,5,-0.157,0.278,0.3,False,True,False,0.57,False,False,False,NONE,False,11,0.106,0.046,2.6,37.46,18,67,0.663,False,False,0.46,0.401,1,2.4,0.46,0.0,False,False,False,False
EIG,2,1,1,41.92,False,False,NONE,0.87,0.83,False,True,False,,True,False,0.54,1.04,False,False,-0.032,0.117,0.93,0.86,0.91,False,6,-0.357,-0.341,0.327,False,True,False,0.26,False,False,False,NONE,False,11,0.198,0.101,2.5,37.7,21,60,0.442,False,False,0.65,0.615,0,3.5,0.38,0.0,False,False,False,False
LKFN,6,3,3,61.38,False,False,,,,,,False,,True,False,0.07,0.96,True,False,0.039,0.095,1.06,0.75,0.97,False,5,0.152,-0.581,-0.003,False,True,False,0.03,False,False,False,NONE,False,11,0.179,0.122,1.8,53.89,42,65,0.645,False,True,0.06,0.8,6,2.1,0.46,0.5,False,False,False,False
EHC,4,3,1,107.48,False,False,,,,,,False,,True,False,0.24,1.46,False,False,0.139,-0.052,1.14,0.97,0.93,False,4,-0.135,-0.059,0.279,False,True,False,0.36,False,False,False,NONE,False,11,0.157,0.118,1.6,94.79,37,68,0.473,False,False,0.3,0.568,0,3.3,0.23,0.0,False,True,False,False
EXEL,3,3,0,43.68,False,False,,,,,,False,,True,False,0.01,0.91,True,False,0.056,0.13,0.89,0.94,0.92,False,4,0.137,-0.209,0.787,False,True,False,0.06,False,False,False,NONE,False,11,0.12,0.091,1.5,39.71,34,43,0.662,False,False,0.06,0.67,1,2.0,0.23,0.5,False,False,False,False
AHR,10,4,3,50.15,False,False,NONE,0.82,0.97,False,True,False,,True,False,0.09,1.16,True,True,0.075,0.118,0.98,0.86,0.92,False,6,0.773,1.045,1.069,True,False,False,0.34,False,False,False,NONE,False,11,0.078,0.074,1.1,46.44,34,39,0.768,False,False,0.1,0.584,1,1.9,0.38,0.33,False,False,False,False
GIII,6,3,3,31.54,False,False,,,,,,False,,True,False,0.13,0.82,True,False,0.079,0.183,0.87,0.87,0.97,False,3,0.499,-0.567,0.069,False,True,False,0.0,False,False,False,NONE,True,11,0.122,0.223,0.6,24.52,44,37,0.716,False,True,0.12,0.697,7,2.0,0.62,0.0,False,False,False,False
CRI,1,1,0,33.71,False,False,,,,,,False,,True,False,0.64,0.83,True,False,-0.019,0.09,1.08,0.99,0.76,False,1,-0.478,0.109,-1.029,False,True,False,0.67,False,False,False,NONE,False,10,0.499,0.067,14.9,31.46,27,17,0.213,False,False,0.65,0.376,1,10.5,0.38,0.5,False,True,False,False
MAT,3,1,2,14.93,False,False,,,,,,False,,False,False,1.0,0.68,False,False,-0.285,-0.188,0.64,0.99,0.66,False,6,0.325,-0.753,-0.429,False,False,False,1.0,False,False,False,NONE,False,10,0.336,0.056,9.1,14.1,33,11,0.099,True,False,0.99,0.099,4,19.2,0.23,1.0,True,False,False,False
ITRI,2,2,0,85.4,False,False,,,,,,False,,True,False,0.18,0.66,False,False,-0.138,-0.149,1.21,1.04,0.8,False,1,0.115,-0.891,0.343,False,True,False,0.26,False,False,False,NONE,False,10,0.399,0.08,8.2,78.53,53,26,0.108,True,False,0.3,0.233,2,17.5,0.31,0.5,True,True,False,False
WWW,3,2,1,17.33,False,False,,,,,,False,,True,False,0.02,0.93,False,False,-0.016,-0.228,1.07,0.68,0.81,False,1,0.373,-0.143,-0.741,False,True,False,0.02,False,False,False,NONE,False,10,0.463,0.116,7.5,15.33,26,23,0.428,False,False,0.07,0.436,1,4.9,0.23,1.0,False,False,False,False
