ticker,combined,ord_score,q_score,close,ov_sig,ov_sig_loose,ov_str,ov_shrink,ov_expand,ov_probed,ov_closed_back,spv_sig,spv_ratio,squeeze,released,bw_pctile,asym,above_ma50,q_stacked,q_ret13,q_ret26,q_compress,q_volratio,q_prox,q_brk,cause_bars,rs_up,rs_chop,rs_down,all_weather,rel_sq,rel_released,rel_bw_pct,rel_brk,rel_ov,rel_ov_loose,rel_ov_str,rel_spv,early_score,drawdown,risk_pct,rr,base_low,massive,brk_bars,brk_pos,near_edge,rising_lows,donch_pct,close_pos,one_tf,rr_dest,cib,vol_conf,probe_edge,rng_exp_v,rs_13hi,rs_26hi,tf,mode,univ,source,climax,clx_retest,diss,diss_trig,diss_n,gap_test,rf_cum,rf_str,dp_sig,dp_vol,h_bull,mfi_x,cmf_x,cmf_now,cmf_impr,vol_spk_x,mfi_now,d_mfi_x,d_mfi_now,full_tcap,tcap_wm,m_mfi_now,ord_cont,ord_vel,ord_acc,ord_traj,ord_early,bars_infl,ua_score
BHMG.L,15,11,4,426.0,True,True,MARGINAL,0.54,1.13,True,True,True,0.37,False,False,0.79,1.1,True,True,-0.009,0.056,0.56,0.85,0.91,False,10,-0.357,0.039,0.139,False,False,False,0.42,False,False,False,NONE,True,26,0.088,0.039,2.4,409.18,18,110,0.71,False,True,0.63,0.461,3,1.9,0.31,0.0,False,False,False,False,weekly,early,uk,ord_scan_weekly_early_uk.csv,True,True,False,,2.0,False,-6.0,0.0,LOW_VOL_SELL,0.38,1.0,False,False,0.072,False,False,48.0,True,56.5,False,False,56.4,-5.5,1.14,0.63,ACCEL_BULL,True,17.0,77.0
PEN,10,6,4,323.9,False,False,,,,,,False,,False,False,0.02,2.15,True,False,-0.05,0.217,0.49,0.58,0.89,False,16,-0.511,0.828,-0.361,False,False,False,0.08,False,False,False,NONE,False,12,0.106,0.002,53.1,323.18,30,26,0.727,False,False,0.07,0.613,2,2.9,0.23,0.0,False,False,False,False,weekly,early,smid,ord_scan_weekly_early_smid.csv,False,False,False,,2.0,False,-8.0,2.0,LOW_VOL_SELL,0.42,1.0,False,False,0.097,False,False,60.6,True,44.2,False,False,63.5,22.3,2.28,0.16,STRONG_UP,False,40.0,71.0
MCW,10,8,2,7.05,False,False,,,,,,False,,False,True,0.29,1.26,False,False,0.028,-0.09,0.61,1.26,0.82,False,3,-3.241,-0.756,-3.094,False,False,False,0.37,False,False,False,NONE,False,24,0.712,0.347,7.1,4.61,42,6,0.956,True,True,0.18,0.613,7,1.0,0.38,0.0,True,False,False,False,monthly,early,smid,ord_scan_monthly_early_smid.csv,True,True,False,,1.0,False,5.0,1.0,MIRAGE_BUY,0.15,3.0,True,True,-0.01,True,True,53.3,True,47.3,False,False,53.3,3.8,3.08,0.69,INFLECT_UP,True,1.0,71.0
ES,10,8,2,69.04,False,True,MARGINAL,0.52,1.12,False,True,False,,False,False,0.16,1.06,True,False,0.036,-0.034,0.82,0.75,0.91,False,8,-0.482,-0.31,0.125,False,False,False,0.47,False,False,False,NONE,False,24,0.087,0.039,2.4,66.32,27,56,0.744,False,False,0.22,0.514,2,2.0,0.46,1.0,False,False,False,False,weekly,early,sp500,ord_scan_weekly_early_sp500.csv,True,True,False,,2.0,False,-2.0,0.0,LOW_VOL_SELL,0.39,0.0,True,True,0.053,False,False,51.5,True,45.6,False,False,49.7,8.8,2.54,0.64,INFLECT_UP,True,1.0,69.0
CYTK,14,10,4,73.17,False,False,NONE,1.07,1.98,True,True,True,0.86,True,False,0.08,1.18,True,True,0.174,0.216,1.16,1.11,0.91,True,1,1.615,-0.203,0.035,False,True,False,0.04,False,False,False,NONE,False,22,0.088,0.201,0.5,58.43,47,28,0.729,False,False,0.17,0.677,1,2.1,0.46,1.0,True,True,False,False,weekly,early,smid,ord_scan_weekly_early_smid.csv,True,True,False,,1.0,False,0.0,1.0,NEUTRAL,2.07,1.0,True,False,-0.085,False,True,69.4,True,71.1,True,False,41.5,26.5,1.66,0.43,STRONG_UP,False,31.0,68.0
GGG,8,5,0,79.19,False,False,,,,,,False,,True,False,0.02,0.99,True,False,-0.013,-0.128,1.16,1.06,0.83,False,13,0.531,0.345,1.166,True,False,False,0.55,False,False,False,NONE,False,19,0.17,0.011,19.0,78.34,36,37,0.449,False,False,0.05,0.34,3,3.9,0.31,1.0,True,False,False,False,monthly,unknown,unknown,ord_scan_monthly.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
XPP.L,10,5,5,1898.0,False,False,,,,,,False,,False,False,0.67,1.2,True,False,1.711,0.741,1.41,1.36,0.99,True,1,4.181,-0.338,0.254,False,False,False,0.66,True,False,False,NONE,False,28,0.672,0.565,3.6,825.0,41,1,0.961,True,False,0.64,0.979,2,0.7,0.46,0.75,True,False,True,False,monthly,early,uk,ord_scan_monthly_early_uk.csv,True,True,False,,1.0,False,8.0,2.0,CONFIRMED_UP,1.42,0.0,True,True,0.062,True,True,65.4,True,81.1,True,True,65.4,12.1,6.64,1.25,INFLECT_UP,True,1.0,68.0
MSI,4,2,2,431.88,False,False,,,,,,False,,False,False,0.82,1.09,True,False,0.026,0.112,0.75,0.74,0.88,False,9,-0.416,0.275,0.374,False,False,False,0.91,False,False,False,NONE,False,22,0.136,0.018,8.7,424.05,16,101,0.548,False,False,0.79,0.567,1,2.8,0.54,0.67,False,False,False,False,weekly,early,sp500,ord_scan_weekly_early_sp500.csv,False,False,False,,2.0,False,-2.0,1.0,LOW_VOL_SELL,0.46,3.0,False,False,0.199,True,False,65.0,False,59.4,False,False,29.8,2.4,0.82,0.28,INFLECT_UP,True,1.0,67.0
AUGM.L,15,6,9,110.5,False,False,,,,,,True,0.61,False,False,0.71,1.35,True,True,0.222,0.253,0.38,0.51,1.0,False,10,-0.623,0.754,0.028,False,False,False,0.71,False,False,True,GOOD,False,14,0.109,0.027,4.5,107.5,63,54,0.985,True,True,0.2,0.984,6,1.1,0.23,0.25,True,False,False,False,weekly,early,uk,ord_scan_weekly_early_uk.csv,False,False,False,,2.0,False,5.0,4.0,NEUTRAL,0.22,1.0,False,False,-0.119,False,False,79.8,True,65.6,False,False,59.9,21.1,1.07,0.13,STRONG_UP,False,25.0,67.0
RSG,2,2,0,201.3,False,False,,,,,,False,,False,False,0.26,1.07,True,False,-0.186,0.078,0.97,0.97,0.79,False,11,-0.38,-0.073,1.427,False,False,False,0.87,False,False,False,NONE,False,24,0.213,0.005,52.4,200.26,21,24,0.308,False,False,0.01,0.308,2,6.2,0.23,0.5,False,False,False,False,monthly,early,sp500,ord_scan_monthly_early_sp500.csv,False,False,False,,1.0,False,-6.0,2.0,LOW_VOL_SELL,0.18,1.0,True,False,0.082,False,False,46.7,False,25.4,False,False,46.7,5.7,0.41,0.01,INFLECT_UP,True,3.0,67.0
ICE,12,8,1,154.51,False,False,NONE,0.97,0.97,False,True,False,,True,False,0.08,0.84,True,False,-0.069,0.155,1.16,0.97,0.82,False,6,0.581,1.402,0.218,True,False,False,0.83,False,False,False,NONE,False,28,0.177,0.079,2.7,142.28,24,23,0.43,False,False,0.03,0.499,3,4.4,0.54,0.0,False,False,False,False,monthly,early,sp500,ord_scan_monthly_early_sp500.csv,True,True,False,,2.0,False,-2.0,0.0,LOW_VOL_SELL,0.19,1.0,True,False,0.117,False,False,52.7,False,28.5,False,False,52.7,16.6,2.44,0.21,INFLECT_UP,True,3.0,66.0
PSDL.L,10,9,1,172.5,False,False,NONE,0.92,0.58,False,True,False,,True,False,0.01,1.33,False,False,0.0,0.142,0.88,1.03,0.94,False,19,-0.766,0.341,0.111,False,False,True,0.38,False,False,False,NONE,False,25,0.591,0.142,10.2,148.0,45,26,0.808,True,False,0.03,0.765,1,1.9,0.31,0.0,False,False,False,False,monthly,early,uk,ord_scan_monthly_early_uk.csv,True,True,False,,2.0,False,5.0,1.0,MIRAGE_BUY,0.05,0.0,True,True,0.061,False,True,47.3,True,47.0,False,False,47.3,26.1,4.53,0.46,STRONG_UP,False,6.0,66.0
GTLS,13,3,7,207.56,False,False,,,,,,False,,False,False,0.04,1.11,True,True,0.538,0.26,0.06,1.02,0.94,False,10,2.766,0.527,1.159,True,False,True,0.04,False,False,False,NONE,False,14,0.144,0.051,3.3,196.98,61,11,0.986,True,True,0.08,0.895,2,1.5,0.62,0.67,True,False,False,False,monthly,early,smid,ord_scan_monthly_early_smid.csv,False,False,False,,1.0,False,10.0,0.0,LOW_VOL_SELL,0.1,1.0,False,False,0.361,False,False,72.0,True,35.9,False,False,72.0,23.2,0.38,0.26,STRONG_UP,False,11.0,65.0
MA,7,4,0,493.76,False,False,,,,,,False,,True,False,0.02,0.89,True,False,-0.092,0.039,1.06,1.11,0.82,False,4,1.676,0.77,1.682,True,False,True,0.7,False,False,False,NONE,False,20,0.176,0.029,7.5,479.68,34,28,0.442,False,False,0.01,0.399,2,4.2,0.38,0.33,False,False,False,False,monthly,early,sp500,ord_scan_monthly_early_sp500.csv,True,False,False,,2.0,False,-2.0,0.0,LOW_VOL_SELL,0.23,0.0,False,False,0.087,False,False,41.6,False,53.0,False,False,41.6,13.3,1.25,0.09,STRONG_UP,False,54.0,64.0
V,12,8,1,318.89,False,False,,,,,,False,1.38,True,False,0.02,0.97,True,False,-0.07,0.16,1.12,1.01,0.85,False,11,0.132,0.424,1.307,True,False,False,0.84,False,False,False,NONE,False,28,0.146,0.078,2.2,293.89,27,21,0.554,False,False,0.04,0.561,1,3.3,0.38,0.5,False,False,False,False,monthly,early,sp500,ord_scan_monthly_early_sp500.csv,True,True,False,,1.0,False,-4.0,0.0,LOW_VOL_SELL,0.16,1.0,True,False,0.174,False,False,38.3,False,55.2,False,False,38.3,13.9,3.91,1.42,INFLECT_UP,True,1.0,64.0
PPET.L,6,4,2,602.0,False,False,,,,,,False,,True,False,0.18,0.82,True,False,-0.018,0.012,1.09,0.86,0.94,False,7,0.04,2.554,-0.475,False,False,False,0.21,False,False,False,NONE,False,25,0.224,0.095,3.0,544.75,33,75,0.384,False,True,0.1,0.601,5,4.2,0.38,0.0,False,False,False,False,weekly,early,uk,ord_scan_weekly_early_uk.csv,False,False,False,,2.0,False,6.0,5.0,LOW_VOL_SELL,0.38,2.0,True,True,0.063,True,False,56.4,True,55.9,False,False,51.6,8.3,1.01,-0.13,INFLECT_UP,True,3.0,64.0
INOV.L,12,7,2,15.05,False,False,,,,,,False,,True,False,0.02,0.96,True,False,0.031,0.029,0.88,0.86,0.95,False,5,59.549,137.792,136.702,True,True,False,0.11,False,False,False,NONE,False,23,0.283,0.156,2.5,12.7,41,49,0.746,False,True,0.15,0.734,5,2.1,0.15,0.0,False,False,False,False,weekly,early,uk,ord_scan_weekly_early_uk.csv,True,True,False,,1.0,False,4.0,4.0,LOW_VOL_SELL,0.4,2.0,False,False,-0.297,False,False,40.4,False,77.0,False,False,58.4,16.1,-1.06,-0.1,DETERIORATING,False,35.0,64.0
