ticker,error,name,isin,catalyst,nav_quality,last_close,chg_13w_pct,chg_26w_pct,base_start,base_length_weeks,base_range_pct,base_low,base_high,base_quantile_range_pct,poc,poc_distance_pct,vol_z_last,vol_z_8w_max,vol_z_8w_bars_over_1p5,directional_vol_8w,daily_vol_z_max_30d,daily_vol_z_max_30d_date,daily_vol_spike_directional,has_daily_spike,recent_selloff,selloff_max_drop_pct,mfi,mfi_rising,mfi_low_8w,phase,in_base,nav_discount_est,discount_source,recovery_rate,expected_total_return,catalyst_prob_base,catalyst_prob_signal_adj,signal_score,news_score,rns_score,rns_tr1,rns_pdmr,rns_winddown,rns_tender,rns_buyback,expected_duration_months,expected_upside,expected_irr,phase_score,setup_score,composite_score,gate_market_cap,gate_daily_value,gate_gearing,gate_ongoing_charge,investable,investability_reasons,discount_3y_avg,discount_52w_high,discount_52w_low,nav_tr_1y,nav_tr_3y,nav_penalty_applied,catalyst_age_months,in_setup_sleeve,in_fundamentals_sleeve
003550.KS,,,,STRUCTURAL_DISCOUNT,,106500.0,0.2119293965779352,0.29849582327654733,2026-02-02,19.0,0.64730224609375,84458.984375,146600.0,0.1594686279296875,93123.64805364885,0.1436407639297484,0.40924444046003117,2.627612236540725,2.0,-0.7227408046515279,29.25776277770149,2026-05-29,22.93727047032347,True,True,-0.16166439290586632,71.70767374335097,False,60.85647597316035,POST_RERATING,True,0.55,override,0.85,0.6769594923109539,0.2,0.2,,,,,,,,,36.0,0.13539189846219077,0.043234474766821185,0.05,0.0018132901985360053,7.83966493335291e-05,True,True,True,True,True,,,,,,,1.0,,False,False
005380.KS,,,,STRUCTURAL_DISCOUNT,,607000.0,0.17840724040975853,1.0295554005200738,2026-02-02,19.0,0.4850155543933586,463748.0,720345.8125,0.2489694394830552,508462.8276218595,0.19379425009102524,-0.5555134436324394,2.5769446252168255,1.0,1.7643054167552088,1.761461404564004,2026-05-08,-0.05337761832012011,False,True,-0.1328571428571429,65.7515579689939,True,55.72892770487651,POST_RERATING,True,0.45,override,0.85,0.36704730504478666,0.2,0.2,,,,,,,,,36.0,0.07340946100895733,0.023894333747279006,0.05,0.004048722886760621,9.674153590650518e-05,True,True,True,True,True,,,,,,,1.0,,False,False
005490.KS,,,,STRUCTURAL_DISCOUNT,,377000.0,0.12371659576838367,0.19260053842988167,2025-12-22,25.0,0.6214895722558144,294348.90625,522653.625,0.18146344600576408,340951.1958188025,0.10573010044626889,-0.6116625155412238,0.890347907911674,0.0,-0.13493371776612684,1.863190633853145,2026-05-12,-0.867029304862356,False,True,-0.10952377877413555,55.55334473391742,False,55.55334473391742,RECENT_SELLOFF,True,0.4,override,0.85,0.41666666666666674,0.2,0.2,,,,,,,,,36.0,0.08333333333333336,0.027040024624839676,0.3,0.06019437482807797,0.0016276573776280577,True,True,True,True,True,,,,,,,1.0,,False,False
028260.KS,no base,,,STRUCTURAL_DISCOUNT,,432000.0,,,,,,,,,,,,,,,,,,False,False,,,,,NO_BASE,False,0.5,override,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,False,False
3IN.L,,3i Infrastructure,JE00BF5FX167,STRUCTURAL_DISCOUNT,INFRA_DCF,368.43408203125,0.06349205929732182,-0.009408644058395477,2022-06-20,208.0,0.28404960848063854,285.1885681152344,378.9322204589844,0.08029015801329353,325.4581862396468,0.1320473646342958,-0.4011754387451477,3.6813907610694425,1.0,-1.8970124205574268,5.549890361152654,2026-05-12,-2.134573215827959,True,False,,55.80659396441285,True,40.562458745292496,BASE_ABSORBING,True,0.0812,aic_live,0.85,-0.0748802786242927,0.2,0.14767659162590338,0.029525352407320765,0.0,0.029525352407320765,0.0,1.0,0.0,0.0,0.0,36.0,-0.011058064327233535,-0.0036996922852959857,1.0,0.0,0.0,True,True,True,True,True,,0.10460000000000001,0.049699999999999994,0.1959,8.4,33.25,1.0,,False,False
8001.T,,,,STRUCTURAL_DISCOUNT,,1876.5,-0.08414692314997507,-0.028612181248016566,2025-04-14,61.0,0.5078315011971478,1322.248046875,2245.78662109375,0.2411816154077988,1490.0659427976564,0.25934023864527683,0.5973991261966092,1.7761338769450323,2.0,1.3148350989410913,6.431363745978278,2026-05-01,2.045222953701905,True,False,,50.47653195912344,False,50.47653195912344,BASE_ABSORBING,True,0.1,override,0.85,-0.05555555555555558,0.2,0.2,,,,,,,,,36.0,-0.011111111111111117,-0.003717506432648343,1.0,0.0,0.0,True,True,True,True,True,,,,,,,1.0,,False,False
8002.T,,,,STRUCTURAL_DISCOUNT,,4899.0,-0.1149210771740431,0.08092531321095242,2025-10-13,35.0,0.46835931181722584,3562.0263671875,5972.6806640625,0.26793615843515306,5832.413914764296,0.16003903845051748,-0.03470017694038173,1.1586781315549772,0.0,-1.0984877300314608,7.7050346366766895,2026-05-07,-2.760627383194322,True,True,-0.09989754098360659,38.48587074212362,False,38.48587074212362,BASE_ABSORBING,True,0.15,override,0.85,0.0,0.2,0.2,,,,,,,,,36.0,0.0,0.0,1.0,0.27104614006659583,0.0,True,True,True,True,True,,,,,,,1.0,,True,False
8053.T,,,,STRUCTURAL_DISCOUNT,,6259.0,0.13849778956086545,0.1751963629365938,2025-12-01,28.0,0.44036800769683837,4834.568359375,7510.0,0.15354834110460738,6130.960571255846,0.02088407310013525,0.4572858649366882,1.893007825320666,2.0,2.2826786535542825,12.55583499691077,2026-05-07,7.318641789643177,True,True,-0.08520900321543412,52.96689532256963,True,51.51647495414699,BASE_ABSORBING,True,0.1,override,0.85,-0.05555555555555558,0.2,0.2,,,,,,,,,36.0,-0.011111111111111117,-0.003717506432648343,1.0,0.46522551357227554,0.0,True,True,True,True,True,,,,,,,1.0,,True,False
9101.T,,,,STRUCTURAL_DISCOUNT,,5630.0,0.018084441150381547,0.16023357541426675,2023-11-27,133.0,0.578041223373236,3416.338623046875,6163.0,0.1288009222907939,4809.325327152703,0.17064237019148937,-0.5635832036785021,1.6728942425223081,1.0,1.139905235375759,1.29879405723873,2026-05-25,1.189421926102837,False,False,,60.120442111575066,False,55.577536729537385,BASE_QUIET,True,0.2708521565629839,yahoo_live,0.85,0.16574437907313522,0.2,0.2,,,,,,,,,36.0,0.03314887581462705,0.010929731032772505,0.55,0.0,0.0,True,True,True,True,True,,,,,,,1.0,,False,False
9984.T,no base,,,STRUCTURAL_DISCOUNT,,6472.0,,,,,,,,,,,,,,,,,,False,False,,,,,NO_BASE,False,0.5,override,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,False,False
