ticker,price_3y_pct,fcf_ps_3y_growth_pct,rev_yoy_pct,ebitda_yoy_pct,fcf_yoy_pct,market_cap,trailingPE,priceToBook,priceToSales,enterpriseToEbitda,gap_score
PTC,-19.0,6936.4,,,252.7,13254289408,11.033654,3.4336755,4.4212503,11.06,6917.4
MIDD,17.8,6412.5,,,205.4,7788648960,23.59726,3.3816254,2.35272,13.107,6394.7
IDXX,20.4,1534.9,,,388.4,44339347456,41.391018,28.62257,9.97265,29.824,1514.5
MORN,-26.7,1250.0,,,54.5,5844145152,15.713701,5.736897,2.3298297,12.414,1223.3
CACC,17.1,693.4,,,53.9,5733688320,13.666168,3.7734745,4.494543,,676.3
BIO,-23.8,674.4,,,65.6,7652211200,47.656666,1.1196911,2.9546359,16.784,650.6
MCO,29.4,491.7,,,64.6,78721433600,32.28295,26.293467,9.998912,23.037,462.3
ALL-PH,10.7,456.0,,,177.2,30268821504,3.3741612,0.17524749,0.44399363,0.623,445.3
CNC,-5.6,446.1,,,432.7,30087051264,,1.4040788,0.1687137,7.933,440.5
UNH,-13.1,430.5,,,93.0,364129550336,30.170052,3.7195497,0.80969316,19.769,417.4
QLYS,-15.7,389.3,,,87.5,3919653120,19.982046,6.9096103,5.7232575,14.625,373.6
ADSK,-9.2,347.9,,,115.8,41897549824,28.967882,13.128886,5.581131,19.48,338.7
ELV,-11.0,325.6,,,67.4,84367589376,16.468843,1.923553,0.42096233,9.518,314.6
BMI,-9.8,316.4,,,12.6,3844614912,29.735891,5.568566,4.2873764,18.093,306.59999999999997
DRI,27.3,329.9,,,52.6,24937705472,22.943098,11.869276,1.9537839,15.861,302.59999999999997
ITW,8.0,300.0,,,22.2,75978694656,24.54368,23.531141,4.683971,17.933,292.0
VRSN,10.7,295.5,,,68.1,24082241536,29.274338,-10.892329,14.307415,22.319,284.8
GTN-A,-23.3,285.9,,,32.7,708895360,,0.31911942,0.23008613,10.902,262.59999999999997
POST,0.8,239.2,,,59.4,4006969856,14.833893,1.2544163,0.47426498,7.778,238.39999999999998
LOW,-0.7,216.6,,,13.6,124589113344,18.782755,-13.447107,1.4088372,13.287,215.9
SCI,11.1,203.9,,,15.4,10019453952,19.160952,6.3318515,2.3131492,11.527,192.8
CNA,17.4,196.3,,,58.4,12272658432,10.14877,1.1303666,0.7993655,7.595,178.9
PG,1.1,168.7,,,19.2,350174740480,21.953285,6.515316,4.0381327,15.206,167.6
DHR,-16.2,180.0,,,14.6,125041836032,34.172146,2.36133,5.0464864,17.939,163.8
UHS,-3.6,165.4,,,19.9,8545916928,5.8968253,1.1448196,0.48118114,5.262,161.8
A,6.4,158.4,,,162.0,36670959616,26.02004,5.145031,5.0706525,19.06,152.0
IIIN,-7.1,155.1,,,103.1,565313216,13.40553,1.5491533,0.81940496,7.399,148.0
HTLD,-11.5,153.3,,,43.7,1118951168,,1.4934326,1.4673903,13.4,141.8
MCD,-6.3,145.8,,,16.1,197954027520,22.987623,-153.92818,7.212491,17.372,139.5
IEX,8.2,143.6,,,43.7,16648206336,33.273666,4.1267014,4.716072,18.786,135.4
CCI,-28.3,133.3,,,130.9,40223416320,38.886078,-20.926432,9.547452,25.658,105.00000000000001
MA,29.9,122.1,,,52.9,432770547712,28.311562,64.65021,12.751423,21.224,92.19999999999999
BSX,-15.0,103.6,,,295.3,69724921856,19.627615,2.695667,3.3824062,14.462,88.6
WDFC,10.3,90.1,,,75.6,3057201920,38.575554,11.378706,4.803296,27.512,79.8
YUM,8.8,80.2,,,45.1,41891672064,24.514517,-5.7476177,4.9365625,18.681,71.4
ALGT,-12.2,71.3,,,101.6,2461710080,,1.5271617,0.9324882,7.655,59.099999999999994
JKHY,-25.0,83.6,,,17.6,8968740864,17.629889,4.210614,3.5651245,13.002,58.599999999999994
GGG,-9.6,54.8,,,201.6,12618560512,24.846405,4.599516,5.6120806,16.646,45.199999999999996
JBTM,12.1,56.5,,,37.3,6903150592,40.793846,1.539319,1.7790709,13.526,44.4
VEEV,-24.5,63.7,,,21.2,24902557696,27.180853,3.4799783,7.502542,18.838,39.2
ITRI,13.4,52.3,,,160.6,3583062528,12.908945,2.2285035,1.5266402,12.474,38.9
J,26.2,61.7,,,5699.4,14284243968,35.57941,4.3420672,1.0842282,17.479,35.5
PFS,26.4,57.0,,,32.0,2960726784,9.668085,1.0341845,3.3416326,,30.6
MASI,14.3,36.6,,,15.2,9423817728,44.432095,11.944905,6.046723,26.61,22.3
KMB,-24.9,37.4,,,244.7,34043801600,19.837523,18.953983,2.0562818,12.324,12.5
ST,14.4,22.4,,,48.2,7363224576,153.42424,2.5726626,1.9751139,12.547,7.999999999999998
PEG,29.8,23.9,,,92.4,39810895872,17.674778,2.2993238,3.1116848,13.41,-5.900000000000002
