marketCap,currentPrice,sharesOutstanding,totalCash,totalDebt,bookValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,trailingEps,freeCashflow,operatingCashflow,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,dividendYield,payoutRatio,beta,heldPercentInsiders,heldPercentInstitutions,sector,industry,country,longName,shortName,currency,_fetched_at,_ticker,ticker,cache_key,region,marketCap_M,is_financial,ev_sales,ev_ebitda,rev_g_pct,earn_g_pct,earn_g_q_pct,ebitda_g_ltm_pct,ebitda_g_yr_pct,ev_ebitda_over_ebg_ltm,ev_ebitda_over_ebg_yr,ev_ebitda_g,ev_ebitda_over_earng,ev_sales_g,ev_ebitda_g_ltm,ev_sales_g_ltm,_bv_tilt,ev_ebitda_g_bv,ev_sales_g_bv,ev_ebitda_g_ltm_bv,ev_sales_g_ltm_bv
1691889024.0,11.16,151602967.0,194060000.0,434564000.0,9.331,30.16216,25.363636,1.1960132,2.3884425,15.147,2.727,1931853696.0,0.37,208513120.0,217112992.0,708364992.0,127541000.0,30.729,3.58,0.518,0.03777,0.033800002,0.25345,0.24306,0.08027001,0.362,5.004,5.001,0.18004999,18.1,4.2122,0.703,0.92468,0.0276,Real Estate,Real Estate - Development,Spain,Metrovacesa S.A.,"METROVACESA, S.A.",EUR,1781966584,MVC.MC,MVC.MC,MVC_MC,ES,1691.889024,False,2.7272010196033283,15.147,36.199999999999996,500.4,500.1,,75.52177983369128,,0.20056465874289048,0.20056465874289048,,0.07533704474042344,,0.07533704474042344,1.0178517324030658,0.20414508536028078,0.07668194150316728,,0.07668194150316728
5940121600.0,2.42,2454595640.0,9384699904.0,174666498048.0,-21.054,,,-0.11494253,0.17539763,116.258,5.012,169749004288.0,-5.37,,,33866600448.0,1460099968.0,,,,,,0.29434,-0.16591999,-0.34719002,-0.501,,,0.043109998,,,-0.505,0.29573,0.07746,Industrials,Conglomerates,India,Jaiprakash Associates Limited,JAIPRAKASH ASSOCIATES LTD,INR,1781980648,JPASSOCIAT.NS,JPASSOCIAT.NS,JPASSOCIAT_NS,IN,5940.1216,False,5.012283426483228,116.258,-50.1,,,-138.62760728045703,-671.9192852741836,,,,,,,,1.0,,,,
192428081152.0,28752.0,669268539.0,237634994176.0,19765999616.0,108.036,18.220531,14.429643,2.6613352,2.1130385,-1.317,-0.26,-23710048256.0,15.78,-16798874624.0,7086000128.0,91066998784.0,18005999616.0,26.915,5.261,5.239,0.15679,0.03266,0.43919998,0.22922,0.11878,0.088,0.281,0.281,0.19771999,1.09,0.1823,0.598,0.17377001,0.44265997,Financial Services,Insurance - Life,South Africa,Discovery Limited,Discovery Ltd,ZAc,1781966149,DSY.JO,DSY.JO,DSY_JO,ZA,192428.081152,True,-0.2603582829587715,-1.317,8.799999999999999,28.1,28.1,,,,,,,,,,1.0907502377821074,,,,
4246488064.0,10.93,388516736.0,555933696.0,5237210112.0,8.686,15.394367,,1.2583468,0.1982113,13.817,0.417,8942961664.0,0.71,193263648.0,519761632.0,21424046080.0,647256704.0,154.504,1.107,0.766,0.08276,0.027579999,0.069759995,0.02668,0.012949999,0.034,-0.056,-0.047,0.03021,3.2,0.493,0.019,0.42651,0.0046,Healthcare,Pharmaceutical Retailers,China,"Luyan Pharma Co.,Ltd.",LUYAN PHARMA CO LTD,CNY,1781982560,002788.SZ,002788.SZ,002788_SZ,CN,4246.488064,False,0.417426360455114,13.817,3.4000000000000004,-5.6000000000000005,-4.7,-25.15513950527941,-12.530530455394958,,,,,0.12277245895738646,,0.12277245895738646,1.0228792849707582,,0.12558140503243323,,0.12558140503243323
48610488320.0,1622.0,29969474.0,19616999424.0,0.0,1280.269,19.598839,17.019936,1.2669212,2.8592722,7.889,1.741,29592877056.0,82.76,1291000064.0,1986000000.0,17000999936.0,3751000064.0,,14.709,11.137,0.06384,0.05073,0.39356998,0.19856001,0.14852001,0.066,0.112,0.073,0.22062999,,,,,,Consumer Cyclical,Apparel Manufacturing,Japan,"Nagaileben Co., Ltd.",NAGAILEBEN CO,JPY,1781805942,7447.T,7447.T,7447_T,JP,48610.48832,False,1.7406550234021314,7.889,6.6000000000000005,11.200000000000001,7.3,,-9.55845924322016,,,,0.704375,0.26373560960638354,,0.26373560960638354,1.0235492261486636,,0.26994637912045993,,0.26994637912045993
3399241472.0,6.95,489099490.0,339652192.0,209509200.0,2.138,86.875,22.419353,3.2507014,1.9301919,30.55,1.856,3269338368.0,0.08,41476304.0,195780624.0,1761089920.0,107015288.0,20.027,1.896,1.368,0.03562,0.02536,0.15919,0.04597,0.0208,-0.149,-0.732,-0.732,0.06077,,0.0,0.302,0.35592,0.031070001,Technology,Electronic Components,China,"Wuxi Hodgen Technology Co., Ltd.",WUXI HODGEN TECHNOLOGY CO LTD,CNY,1781982995,300279.SZ,300279.SZ,300279_SZ,CN,3399.241472,False,1.8564289969550063,30.55,-14.899999999999999,-73.2,-73.2,1464.5895658729862,-1.9023731512917523,,,,,,,,1.105897883111714,,,,
65596477440.0,395.17,165995582.0,886000000.0,9589000192.0,15.307,31.89427,21.338371,25.816294,5.527172,21.734,6.399,75938594816.0,12.39,1815124992.0,2777999872.0,11868000256.0,3494000128.0,374.132,1.071,0.779,0.99289,0.11216,0.51508,0.19823,0.1761,0.074,-0.138,-0.149,0.29441,,,,,,Technology,Communication Equipment,United States,"Motorola Solutions, Inc.","Motorola Solutions, Inc.",USD,1781861579,MSI,MSI,MSI,US,65596.47744,False,6.398600829903654,21.734,7.3999999999999995,-13.8,-14.899999999999999,,,,,,,0.8646757878248182,,0.8646757878248182,1.1850836957560207,,1.0247131782661845,,1.0247131782661845
1863631232.0,32.65,57079054.0,51268000.0,96119000.0,14.694,41.329113,20.195835,2.2219954,1.7435266,15.676,1.789,1911859072.0,0.79,7362375.0,55463000.0,1068886016.0,121963000.0,11.414,2.511,1.413,0.054279998,0.04358,0.14191,0.081499994,0.042179998,0.093,0.523,0.522,0.1141,,,,,,Industrials,Aerospace & Defense,Canada,Magellan Aerospace Corporation,MAGELLAN AERO,CAD,1781512488,MAL.TO,MAL.TO,MAL_TO,CA,1863.631232,False,1.788646321357269,15.676,9.3,52.300000000000004,52.2,23.806033060880402,8.119799987551092,0.6584885419553502,1.9305894263447043,0.6584885419553502,0.29973231357552577,0.19232756143626548,0.6584885419553502,0.19232756143626548,1.075853329896126,0.7084370905611084,0.20691624740200795,0.7084370905611084,0.20691624740200795
24465362944.0,21.75,18224000.0,8213456896.0,31345160192.0,25.55,,,0.85127205,1.0013535,-23.005,2.098,51246870528.0,-3.97,-2293371904.0,-2940751872.0,24432293888.0,-2227683072.0,98.231,1.042,0.603,-0.15135999,-0.03867,-0.06396,-0.11893,-0.20452999,0.319,,,-0.09118,,0.0,0.365,,,Basic Materials,Chemicals,Taiwan,Grand Pacific Petrochemical Corporation,GRAND PACIFIC PETROCHEMICAL,TWD,1781967298,1312A.TW,1312A.TW,1312A_TW,TW,24465.362944,False,2.0975054931627195,-23.005,31.900000000000002,,,-4.661661199945333,-145.56746109383636,,,,,0.06575252329663697,,0.06575252329663697,0.9839323507314875,,0.06469603481378691,,0.06469603481378691
2999090432.0,30.84,97246772.0,837406016.0,1265296000.0,28.122,20.697987,11.3452015,1.0966504,4.760355,,6.0,3779852800.0,1.49,,228840000.0,630014016.0,,,,,0.05493,0.0078799995,0.0,0.38515,0.23064,0.241,-0.21,0.014,0.0,,,,,,Financial Services,Banks - Regional,United States,Seacoast Banking Corporation of Florida,Seacoast Banking Corporation of,USD,1781862175,SBCF,SBCF,SBCF,US,2999.090432,True,5.9996327499016875,,24.099999999999998,-21.0,1.4000000000000001,,,,,,,,,,1.009219505550377,,,,
