marketCap,currentPrice,sharesOutstanding,totalCash,totalDebt,bookValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,trailingEps,freeCashflow,operatingCashflow,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,sector,industry,country,longName,shortName,currency,_fetched_at,_ticker,ticker,region,_source,forwardEps,dividendYield,regularMarketPrice,fiftyTwoWeekChange,fiftyTwoWeekHigh,fiftyTwoWeekLow,twoHundredDayAverage,fiftyDayAverage,net_cash_pct,fcfYield_pct,sector_key,_pb,_pet,_pef,_evbd,_evrv,_de,_cr,_nc,_fy,_gm,_om,_rg,_eg,n_valid,composite
944199360.0,390.0,2421024.0,5181615104.0,642910976.0,849.278,2.1982977,,0.45921358,0.70155007,-2.856,-2.652,-3568598528.0,177.41,1274583808.0,312400000.0,1345875968.0,1249529984.0,30.862,1.445,1.445,0.23101,0.13542,1.0,1.27707,0.32138002,,,,0.92841005,Financial Services,Asset Management,Canada,Senvest Capital Inc.,SENVEST CAPITAL,CAD,1781512549,SEC.TO,SEC.TO,CA,,,,,,,,,,480.6934128826353,134.99096292545676,Financial Services,97.22222222222223,96.96969696969697,,,,55.55555555555556,28.57142857142857,100.0,100.0,86.8421052631579,100.0,,,8,83.14512607275765
5680129024.0,60.85,93346413.0,130000000.0,101100000.0,35.266064,6.9862227,5.6599383,1.7254548,3.3913243,6.074,3.507,5873393664.0,8.71,406800000.0,708700032.0,1674899968.0,966899968.0,4.014,1.372,0.713,0.27278998,0.18469,0.63668996,0.55572,0.34145,2.172,3.8,4.321,0.57729,Basic Materials,Gold,Canada,Torex Gold Resources Inc.,TOREX GOLD RESOURCES INC,CAD,1781806230,TXG.TO,TXG.TO,CA,,,,,,,,,,0.5087912594571373,7.161809146960672,Basic Materials,73.13432835820896,95.1219512195122,87.5,83.6734693877551,72.72727272727273,74.19354838709677,22.388059701492537,47.82608695652174,89.23076923076924,72.46376811594203,78.26086956521739,92.45283018867924,83.33333333333334,13,74.7927913209078
3780908032.0,12.48,302957387.0,675820992.0,209399008.0,8.12459,8.2649,5.392064,1.5360775,3.4544833,5.005,3.09,3381707264.0,1.51,369310112.0,550329984.0,1094493056.0,675673984.0,11.379,3.173,2.619,0.21956,0.1446,0.54673,0.53027,0.31062,0.756,0.816,0.897,0.61734,Basic Materials,Gold,Canada,Fortuna Mining Corp.,FORTUNA MINING CORP,CAD,1781512446,FVI.TO,FVI.TO,CA,,,,,,,,,,12.336242512444164,9.767762370158598,Basic Materials,77.61194029850746,92.6829268292683,89.58333333333333,93.87755102040816,74.54545454545455,58.064516129032256,70.1492537313433,91.30434782608695,96.92307692307692,57.971014492753625,75.36231884057972,62.264150943396224,30.555555555555557,13,74.68426465144589
401410880.0,14.1,4194536.0,4754000.0,111556000.0,6.685,12.155173,,2.1091998,1.4726621,8.067,1.864,508212864.0,1.16,33110250.0,34932000.0,272575008.0,62997000.0,58.619,2.554,0.892,0.17722,0.08224,0.48333,0.20205,0.12158,0.213,0.989,0.968,0.23111999,Consumer Defensive,Beverages - Wineries & Distilleries,Canada,Corby Spirit and Wine Limited,CORBY SPIRIT AND WINE LTD CLASS,CAD,1781512412,CSW-B.TO,CSW-B.TO,CA,,,,,,,,,,-26.606653013490817,8.2484685019001,Consumer Defensive,44.44444444444444,81.25,,72.22222222222223,27.777777777777786,75.0,80.55555555555556,61.111111111111114,83.33333333333334,97.22222222222221,91.66666666666666,78.125,96.15384615384616,12,74.07184829059828
482119392.0,5.65,85330861.0,79106000.0,8234000.0,4.092996,,5.218025,1.3804069,3.1620398,5.143,2.697,411247360.0,-0.18,52678876.0,33645000.0,152471008.0,79960000.0,3.291,1.286,1.021,-0.03901,0.10602,0.63945,0.47429,-0.06244,0.634,,,0.52443004,Basic Materials,Gold,Canada,Jaguar Mining Inc.,JAGUAR MINING INC,CAD,1781512476,JAG.TO,JAG.TO,CA,,,,,,,,,,14.70009320844742,10.926520873070377,Basic Materials,82.08955223880596,,93.75,89.79591836734694,78.18181818181819,75.80645161290323,14.925373134328357,92.7536231884058,100.0,73.91304347826086,65.21739130434783,46.22641509433962,,11,73.87814423641426
633534912.0,10.14,62478784.0,1202727168.0,599143168.0,9.464,3.5086505,,1.0714287,2.721776,,0.146,34072768.0,2.89,107581824.0,94843888.0,232765264.0,,101.331,86.484,86.484,0.31985,0.12031,1.0,0.97327006,0.73714995,0.102,-0.014,0.113,0.0,Financial Services,Asset Management,Canada,North American Financial 15 Split Corp.,NORTH AMERICAN FINANCIAL 15 SPL,CAD,1781512438,FFN.TO,FFN.TO,CA,yahoo_html,,0.122200005,11.64,0.6533524,11.87,6.86,8.9129,9.7394,95.2724133378146,16.981198977713166,Financial Services,72.22222222222223,93.93939393939394,,,96.55172413793103,18.51851851851852,92.85714285714286,80.0,85.71428571428571,86.8421052631579,94.73684210526315,50.0,35.714285714285715,11,73.37241095201827
1436281088.0,6.84,209982610.0,1424000.0,53605000.0,3.35,12.666666,9.661017,2.0417912,1.2303406,6.031,1.279,1492661760.0,0.54,152097744.0,264427008.0,1167384960.0,247488000.0,7.601,2.227,1.95,0.18371001,0.12071,0.27453,0.12925,0.09474,0.275,-0.174,-0.05,0.21200001,Energy,Oil & Gas Equipment & Services,Canada,Trican Well Service Ltd.,TRICAN WELL,CAD,1781806219,TCW.TO,TCW.TO,CA,,,,,,,,,,-3.6330632239028686,10.589692036660724,Energy,60.97560975609756,84.375,84.21052631578948,77.41935483870968,87.87878787878788,85.0,85.36585365853658,74.28571428571429,94.87179487179486,26.82926829268293,43.90243902439025,94.87179487179486,51.61290322580645,13,73.19992669385422
3744423424.0,25.25,148294000.0,430630016.0,3190000.0,6.231,9.421641,6.0225587,4.052319,3.647758,5.294,3.523,3616537344.0,2.68,320900736.0,538430976.0,1026499968.0,683169984.0,0.313,6.031,5.403,0.49008998,0.36105,0.73156,0.59212,0.39543,0.598,0.902,0.903,0.66553,Basic Materials,Gold,Canada,Wesdome Gold Mines Ltd.,WESDOME GOLD MINES LTD.,CAD,1781806232,WDO.TO,WDO.TO,CA,,,,,,,,,,11.415376083279197,8.5700974399203,Basic Materials,26.86567164179104,87.8048780487805,85.41666666666667,87.75510204081633,70.9090909090909,88.70967741935485,83.5820895522388,89.85507246376811,93.84615384615384,82.6086956521739,81.15942028985508,39.62264150943396,33.33333333333333,13,73.18988410565056
5928251392.0,22.67,261502044.0,994316032.0,7062671872.0,15.241,,15.27628,1.4874352,2.3210235,7.85,4.91,12541685760.0,-0.57,1067743488.0,1574784000.0,2554153984.0,1597731968.0,155.884,1.158,1.044,-0.0126,0.040149998,0.70151,0.46168998,-0.05539,0.164,0.319,0.326,0.62554,Utilities,Utilities - Renewable,Canada,Northland Power Inc.,NORTHLAND POWER INC.,CAD,1781512511,NPI.TO,NPI.TO,CA,,,,,,,,,,-102.36333513435459,18.011103399577287,Utilities,66.66666666666667,,55.55555555555556,88.88888888888889,44.44444444444444,44.44444444444444,55.55555555555556,44.44444444444444,100.0,88.88888888888889,100.0,77.77777777777779,100.0,12,72.22222222222223
5174715904.0,25.26,204858115.0,58646000.0,1093006976.0,14.571,10.935065,11.429864,1.7335804,4.3819175,5.711,5.258,6209076736.0,2.31,254056992.0,911697984.0,1180925056.0,1087213952.0,36.616,1.373,0.747,0.17051001,0.078260005,0.77796,0.59388,0.4027,0.37,0.439,0.499,0.92065,Energy,Oil & Gas E&P,Canada,Peyto Exploration & Development Corp.,PEYTO EXPLORATION AND DVLPMNT C,CAD,1781512521,PEY.TO,PEY.TO,CA,,,,,,,,,,-19.988749048048224,4.909583380289857,Energy,73.17073170731707,93.75,71.05263157894737,83.87096774193549,21.212121212121218,50.0,60.97560975609756,37.142857142857146,69.23076923076923,92.6829268292683,95.1219512195122,97.43589743589743,87.09677419354838,13,71.74947984986703
