marketCap,currentPrice,sharesOutstanding,totalCash,totalDebt,bookValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,trailingEps,freeCashflow,operatingCashflow,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,sector,industry,country,longName,shortName,currency,_fetched_at,_ticker,ticker,region,net_cash_pct,fcfYield_pct,sector_key,_pb,_pet,_pef,_evbd,_evrv,_de,_cr,_nc,_fy,_gm,_om,_rg,_eg,n_valid,composite
131663437824,9760.0,13490106,105240002560,3000000000,12954.605,11.52071,,0.7534,1.200137,2.292,0.268,29423433728,847.17,6829499904.0,12757999616.0,109707001856.0,12837000192.0,1.717,5.317,4.916,0.07244,0.03853,0.30039,0.09932999,0.11168,0.081,2.682,2.682,0.117010005,Basic Materials,Specialty Chemicals,Japan,"Sk Kaken Co.,Ltd.",SK KAKEN CO LTD,JPY,1781478087,4628.T,4628.T,JP,77.65253911770743,5.187089154643886,Basic Materials,71.73913043478261,80.0,,95.55555555555556,95.65217391304348,95.65217391304348,100.0,100.0,76.31578947368422,69.56521739130434,65.21739130434783,65.55555555555556,88.88888888888889,12,83.67848970251717
131074990080,2241.0,58489508,95824003072,0,2300.344,8.605991,,0.9742021,0.94688886,1.688,0.255,35250987008,260.4,14089749504.0,17244000256.0,138427006976.0,20888999936.0,,3.506,2.229,0.118540004,0.0712,0.18505,0.18534,0.10998,0.066,0.225,0.225,0.1509,Industrials,Engineering & Construction,Japan,Shinnihon Corporation,SHINNIHON CORP,JPY,1781477298,1879.T,1879.T,JP,73.10624476379132,10.749380561005951,Industrials,77.33333333333334,91.78082191780823,,98.63013698630137,93.24324324324324,,92.0,97.33333333333334,89.65517241379311,50.66666666666667,93.33333333333333,61.267605633802816,47.61904761904761,11,81.16933586187848
31988486144,1076.0,29729075,18057000960,2743000064,1186.951,4.9505405,,0.9065243,1.012967,1.764,0.528,16674514944,217.35,4706874880.0,4057999872.0,31579000832.0,9452999680.0,7.773,4.03,3.613,0.19840999,0.12998,0.41847,0.42883,0.20459999,-0.083,0.817,0.815,0.29934,Technology,Communication Equipment,Japan,"FTGroup Co., Ltd.",FTGROUP CO LTD,JPY,1781477956,2763.T,2763.T,JP,47.87347806039396,14.714278315051981,Technology,97.87234042553192,94.87179487179488,,97.67441860465117,85.1063829787234,71.7948717948718,85.1063829787234,100.0,96.875,36.17021276595745,95.74468085106383,8.88888888888889,83.33333333333334,12,79.45319229112836
265761865728,3943.0,67400929,76591996928,2567000064,4328.401,8.944491,9.603254,0.91095996,1.556247,4.555,1.124,191885279232,440.83,25158500352.0,27221000192.0,170771005440.0,42126999552.0,0.88,4.348,2.915,0.11027,0.07043,0.66353,0.07251,0.17403999,0.121,-0.032,-0.032,0.24669,Healthcare,Drug Manufacturers - Specialty & Generic,Japan,"Nippon Shinyaku Co., Ltd.",NIPPON SHINYAKU CO,JPY,1781478069,4516.T,4516.T,JP,27.853882144160803,9.466557695583397,Healthcare,74.50980392156863,92.6829268292683,81.3953488372093,88.63636363636364,60.41666666666667,88.88888888888889,80.3921568627451,80.3921568627451,87.5,68.62745098039215,66.66666666666666,69.56521739130434,32.0,13,74.7441267341399
35062030336,2914.0,12032269,34973999104,11653999616,3145.067,7.4350014,14.006248,0.92653036,1.35605,2.383,0.724,18721490944,391.93,1249250048.0,2692999936.0,25856000000.0,7855000064.0,25.684,8.198,7.487,0.13014,0.079569995,0.54258,0.46811,0.2186,0.249,2.075,2.076,0.3038,Communication Services,Electronic Gaming & Multimedia,Japan,Akatsuki Inc.,AKATSUKI INC,JPY,1781478023,3932.T,3932.T,JP,66.510693375495,3.562971214240638,Communication Services,82.14285714285714,96.15384615384616,46.42857142857143,91.66666666666667,65.38461538461539,27.777777777777786,92.85714285714286,85.71428571428571,40.909090909090914,53.57142857142857,96.42857142857143,92.85714285714286,90.9090909090909,13,74.06162213854522
114588188672,5180.0,22121273,34524999680,3356000000,7198.23,7.3260074,17.203587,0.71962136,0.89620745,4.535,0.678,86739197952,707.07,11978874880.0,20206000128.0,127858999296.0,19125000192.0,2.065,3.071,2.241,0.10943,0.03364,0.2594,0.07835,0.1223,0.003,4.538,4.538,0.14958,Basic Materials,Specialty Chemicals,Japan,"Sanyo Chemical Industries, Ltd.",SANYO CHEMICAL INDUSTRIES,JPY,1781478064,4471.T,4471.T,JP,27.200883477806688,10.45384783442962,Basic Materials,76.08695652173913,93.33333333333333,43.24324324324324,86.66666666666667,78.26086956521739,91.30434782608695,84.78260869565217,93.47826086956522,94.73684210526315,50.0,43.47826086956522,24.444444444444443,94.44444444444444,13,73.4046368142478
12713550848,253.0,50251187,4944000000,94000000,525.895,13.772454,55.0,0.48108461,0.5661538,0.886,0.272,6109116416,18.37,,,22456000512.0,6894000128.0,0.413,2.648,1.718,0.20142001,0.14034,0.69198,0.21345,0.18605,0.159,-0.344,-0.331,0.307,Healthcare,Drug Manufacturers - Specialty & Generic,Japan,"Taiko Pharmaceutical Co.,Ltd.",TAIKO PHARMACEUTICAL CO LTD,JPY,1781478082,4574.T,4574.T,JP,38.14827232757688,,Healthcare,96.07843137254902,65.85365853658536,2.3255813953488484,97.72727272727273,89.58333333333333,97.77777777777777,62.745098039215684,92.15686274509804,,72.54901960784314,94.11764705882352,82.6086956521739,8.0,12,71.79361485383511
243729252352,3795.0,64223780,114901000192,0,1848.023,16.155123,,2.053546,4.731229,5.067,2.501,128828243968,234.91,14492499968.0,19626000384.0,51514998784.0,25425999872.0,,7.16,6.775,0.13492,0.1092,0.80122,0.38318002,0.29296,0.122,0.155,0.155,0.49356,Technology,Software - Infrastructure,Japan,JustSystems Corporation,JUSTSYSTEMS CORPORATION,JPY,1781478091,4686.T,4686.T,JP,47.14288460789969,5.946147139970528,Technology,65.95744680851064,58.97435897435898,,81.3953488372093,34.04255319148936,,97.87234042553192,97.87234042553192,75.0,87.2340425531915,91.48936170212765,57.77777777777777,38.88888888888889,11,71.50040541678345
44102664192,1530.0,28825273,13178999808,1860000000,1887.892,10.040029,7.2749753,0.8104277,0.32709345,4.045,0.243,32783667200,152.39,3354500096.0,6409999872.0,134831996928.0,8104999936.0,3.418,2.521,1.344,0.09217,0.05199,0.17275,0.07079,0.03576,0.066,-0.181,-0.18,0.060110003,Industrials,Industrial Distribution,Japan,"Sanyo Trading Co., Ltd.",SANYO TRADING CO LIMITED,JPY,1781477985,3176.T,3176.T,JP,25.66511573705157,7.606116676752805,Industrials,88.0,86.3013698630137,88.13559322033899,93.15068493150685,94.5945945945946,79.45205479452055,82.66666666666667,80.0,75.86206896551724,41.333333333333336,37.333333333333336,61.267605633802816,19.047619047619047,13,71.31884033724978
69907865600,2892.0,24172845,20843999232,3672999936,2780.274,11.820485,22.076336,1.0401853,0.58109826,4.029,0.438,52735696896,244.66,4118374912.0,9280000000.0,120303001600.0,13089000448.0,5.465,1.958,1.354,0.09189,0.04743,0.25236,0.095699996,0.04915,0.064,0.322,0.322,0.1088,Consumer Defensive,Confectioners,Japan,Bourbon Corporation,BOURBON CORP,JPY,1781477301,2208.T,2208.T,JP,24.56232807084873,5.891146692368763,Consumer Defensive,69.0909090909091,75.0,31.25,96.36363636363636,81.81818181818181,84.31372549019608,56.36363636363636,89.0909090909091,90.69767441860465,34.54545454545455,85.45454545454545,64.81481481481481,67.5,13,71.25411441929909
