ticker,name,sector,exchange,pct_above_200w_low,norm_fcf_yield_5y_pct,ttm_fcf_yield_pct,buyback_yield_ttm_pct,net_buyback_yield_ttm_pct,net_debt_5y_ebitda,market_cap_usd_m,transience_score,capital_reset_score,composite
DAVA,,,NYSE,6.4,52.77,14.73,49.92,49.92,1.55,149.0,0.5,0.5,0.749468085106383
RC,,,NYSE,3.9,109.06,356.84,19.6,19.6,,256.0,0.5,0.5,0.7324468085106383
GTM,,,NASDAQ,9.3,41.07,41.24,44.98,44.98,4.19,905.0,0.5,0.5,0.725
DXC,,,NYSE,10.1,57.9,53.36,16.22,16.22,1.51,1535.0,0.5,0.5,0.7090425531914893
SAMG,,,NASDAQ,0.0,24.33,11.49,37.29,37.29,-0.77,76.0,0.5,0.5,0.700531914893617
VRRM,,,NASDAQ,0.0,24.3,16.72,29.35,29.15,3.17,626.0,0.5,0.5,0.6888297872340425
EFOR,,,NYSE,6.8,43.63,37.84,20.67,19.05,2.36,768.0,0.5,0.5,0.6888297872340425
BCIC,,,NASDAQ,6.0,58.32,96.88,12.51,12.51,,90.0,0.5,0.5,0.6888297872340425
NMFC,,,NASDAQ,1.3,29.36,100.73,16.16,16.16,,672.0,0.5,0.5,0.6654255319148935
BRSL,,,NYSE,2.2,26.46,-25.75,15.26,15.26,2.45,1973.0,0.5,0.5,0.653723404255319
HCKT,,,NASDAQ,10.6,15.71,8.56,25.31,25.11,1.27,260.0,0.5,0.5,0.626063829787234
SMPL,,,NASDAQ,6.1,16.04,12.11,24.47,24.26,0.96,980.0,0.5,0.5,0.6218085106382979
IT,Gartner,Information Technology,NYSE,10.0,12.26,13.4,25.18,24.84,1.12,9386.0,0.5,0.5,0.5824468085106382
FISV,Fiserv,Financials,NASDAQ,5.8,15.07,15.29,14.03,13.84,3.47,26999.0,0.5,0.5,0.5664893617021276
FVRR,,,NYSE,15.0,18.2,24.03,10.05,9.09,-41.4,403.0,0.5,0.5,0.5622340425531914
NUS,,,NYSE,4.6,22.14,16.34,7.88,7.87,0.55,254.0,0.5,0.5,0.5590425531914893
GPMT,,,NYSE,8.2,45.23,6.41,5.21,5.21,,66.0,0.5,0.5,0.5409574468085107
OTEX,,,NASDAQ,12.9,13.46,14.34,10.83,9.79,3.63,5647.0,0.5,0.5,0.5377659574468084
GIB,,,NYSE,11.2,12.76,15.44,12.4,12.11,1.26,14266.0,0.5,0.5,0.5367021276595745
MAT,,,NASDAQ,7.3,11.88,8.05,15.4,15.13,1.66,4155.0,0.5,0.5,0.5335106382978724
AGNT,,,NASDAQ,1.3,22.98,11.95,6.81,6.78,-8.89,753.0,0.5,0.5,0.5281914893617021
CMCSA,Comcast,Communication Services,NASDAQ,7.5,16.88,20.85,7.55,7.55,2.39,84983.0,0.5,0.5,0.5281914893617021
ABR,,,NYSE,2.6,54.43,21.43,3.45,-0.7,,996.0,0.5,0.5,0.5111702127659574
DOX,,,NASDAQ,3.4,11.15,12.15,9.95,9.72,0.57,5587.0,0.5,0.5,0.500531914893617
ACI,,,NYSE,12.3,8.8,7.13,19.97,19.97,3.58,7401.0,0.5,0.5,0.4952127659574468
LIGHT.AS,,,STOXX600,10.7,20.94,19.1,5.78,5.78,1.25,1953.0,0.5,0.5,0.4941489361702127
MMS,,,NYSE,10.4,9.99,12.14,9.66,9.66,2.25,3063.0,0.5,0.5,0.46968085106382973
CTSH,Cognizant,Information Technology,NASDAQ,11.8,10.24,11.66,7.62,7.35,-0.21,21176.0,0.5,0.5,0.43457446808510636
SAM,,,NYSE,8.5,9.38,10.25,9.47,9.34,-0.82,1862.0,0.5,0.5,0.4335106382978724
JBI,,,NYSE,12.3,17.77,14.32,3.58,3.58,1.66,737.0,0.5,0.5,0.4335106382978723
GSBD,,,NYSE,8.1,16.51,20.35,4.17,4.17,,994.0,0.5,0.5,0.43138297872340425
GIB-A.TO,,,TSX60,9.7,9.11,11.03,8.86,8.64,1.26,19977.0,0.5,0.5,0.4164893617021277
CINT,,,NYSE,0.0,9.61,9.35,7.6,7.29,1.05,415.0,0.5,0.5,0.40372340425531916
HGBL,,,NASDAQ,5.1,14.22,-1.83,4.04,4.04,-1.34,43.0,0.5,0.5,0.40053191489361695
LULU,Lululemon Athletica,Consumer Discretionary,NASDAQ,4.1,8.47,9.69,8.37,8.31,-0.0,13210.0,0.5,0.5,0.3984042553191489
SGA,,,NASDAQ,5.1,12.48,2.4,4.41,4.41,-2.51,58.0,0.5,0.5,0.3920212765957447
PBH,,,NYSE,6.8,10.05,10.42,6.61,6.43,3.65,2365.0,0.5,0.5,0.39095744680851063
OTEX.TO,,,TSX60,14.5,9.6,10.23,7.73,6.98,3.63,7916.0,0.5,0.5,0.38670212765957446
ACN,Accenture,Information Technology,NYSE,13.5,10.62,14.32,6.45,4.9,-0.31,87857.0,0.5,0.5,0.3824468085106383
MKTX,,,NASDAQ,1.1,7.24,5.41,9.44,9.44,-0.55,4044.0,0.5,0.5,0.3813829787234042
G,,,NYSE,9.3,9.91,12.44,5.54,5.39,0.71,5236.0,0.5,0.5,0.3675531914893617
BAH,,,NYSE,4.8,8.25,12.16,7.65,7.07,2.92,7821.0,0.5,0.5,0.36010638297872344
ACM,,,NYSE,4.1,7.29,4.67,7.94,7.46,1.76,8777.0,0.5,0.5,0.350531914893617
PET.TO,,,TSXCOMP,9.9,8.09,10.66,7.8,6.46,3.42,1320.0,0.5,0.5,0.3324468085106383
OPCH,,,NASDAQ,11.4,7.81,6.23,6.66,6.66,2.6,3414.0,0.5,0.5,0.3313829787234043
POOL,,,NASDAQ,14.7,7.43,4.27,4.83,4.74,1.82,7331.0,0.5,0.5,0.28776595744680855
DLB,,,NYSE,0.0,7.13,5.56,5.29,4.58,-1.88,4642.0,0.5,0.5,0.26329787234042556
