ticker,name,date,sector,era,setup_score,sector_load,fuel,convergence,n_slow,n_fast,peak_window,position_by,loaded_rulers,slow_substrate,fast_trigger,eclipse_trigger
LOUD,Loudeye Technologies Inc,2000-03-15,tech_software,pre-2010,36.99,2.36,3.36,11.0,3,4,2027-01-18,2026-12-07,Uranus(mod-dom+ang4)0.4; Mercury(conjVenus0.19+station)2.0,Pluto>Jupiter/Uranus>Mercury/Uranus>Venus,Jup>Uranus,2027-02-06:conjUranus/2027-02-20:oppVenus/2027-02-20:oppMercury
GMXR,GMX Resources Inc,2001-02-12,mining_materials,pre-2010,36.75,2.67,3.67,10.0,1,6,2027-07-07,2027-05-26,Saturn(sqSun+sqMercury0.44)1.7; Mars(domicile)1.0,Neptune>Venus,Jup>Jupiter/Jup>Mars/Jup>Saturn/Jup>Sun,2027-08-17:conjSun/2027-08-17:sqSaturn
FEI,First Tr MLP & Energy Income,2012-11-27,oil_gas,2010-16,36.0,5.34,4.0,9.0,4,2,2027-07-17,2027-06-05,Saturn(ang4+conjVenus0.62)1.4; Neptune(mod-dom)0.4; Pluto(ang0+conjMars0.18)2.3; FULLSTACKx1.3,Neptune>Pluto/Pluto>Saturn/Pluto>Venus/Uranus>Sun,Jup>Neptune/Jup>Sun,
AIMT,Aimmune Therapeutics Inc,2015-08-06,pharma_biotech,2010-16,36.0,3.15,4.0,9.0,1,4,2027-07-27,2027-06-15,Neptune(mod-dom)0.4; Mercury(conjVenus0.09)1.8; Jupiter(conjMercury1.16)0.2; FULLSTACKx1.3,Uranus>Neptune,Jup>Jupiter/Jup>Mercury/Jup>Neptune/Jup>Venus,
LSBC,Large Scale Biology Corp,2000-08-10,pharma_biotech,pre-2010,33.82,2.07,3.07,11.0,5,2,2027-12-14,2027-11-02,Neptune(oppMercury1.37)0.2; Mercury(conjMars0.05)1.9,Pluto>Mercury/Pluto>Neptune/Uranus>Jupiter/Uranus>Pluto/Uranus>Venus,,2028-01-26:conjNeptune/2028-01-26:oppMercury
LION,Lion Bioscience AG,2000-08-10,pharma_biotech,pre-2010,33.82,2.07,3.07,11.0,5,2,2027-12-14,2027-11-02,Neptune(oppMercury1.37)0.2; Mercury(conjMars0.05)1.9,Pluto>Mercury/Pluto>Neptune/Uranus>Jupiter/Uranus>Pluto/Uranus>Venus,,2028-01-26:conjNeptune/2028-01-26:oppMercury
GAGA,Le Gaga Holdings Ltd,2010-10-28,unclassified,2010-16,32.85,2.29,3.29,10.0,2,3,2027-12-14,2027-11-02,Sun(conjVenus0.78)0.7; Jupiter(domicile)0.5; Venus(conjSun)0.5; FULLSTACKx1.3,Pluto>Sun/Pluto>Venus,Jup>Jupiter,2028-01-26:sqSun/2028-01-26:sqVenus
RTTR,Ritter Pharmaceuticals Inc,2015-06-24,pharma_biotech,2010-16,32.12,2.57,3.57,9.0,3,2,2027-10-05,2027-08-24,Neptune(mod-dom+sqMercury0.73)0.9; Mercury(domicile)0.7; Jupiter(ang1)0.4; FULLSTACKx1.3,Neptune>Sun/Uranus>Mercury/Uranus>Neptune,Jup>Mercury/Jup>Neptune,
ORH,Odyssey Re Holdings Corp,2001-06-13,unclassified,pre-2010,32.0,6.14,4.0,8.0,1,3,2027-12-14,2027-11-02,Sun(oppMars0.23)2.5; Jupiter(conjSun+oppMars0.47)0.8; Venus(domicile+ang4)1.5; FULLSTACKx1.3,Pluto>Venus,Jup>Jupiter/Jup>Sun,2028-01-26:sqVenus
KH,China Kanghui Holdings,2010-08-10,unclassified,2010-16,32.0,3.55,4.0,8.0,2,2,2027-01-28,2026-12-17,Sun(domicile)1.0; Jupiter(oppVenus0.62)0.4; Venus(domicile+ang6)1.3; FULLSTACKx1.3,Neptune>Jupiter/Neptune>Venus,Jup>Sun,2027-02-06:oppSun
NVEE.,NV5 Holdings Inc,2013-03-27,unclassified,2010-16,32.0,3.68,4.0,8.0,3,1,2027-08-06,2027-06-25,Sun(exalt+oppMoon+conjVenus0.29)1.9; Jupiter(ang6+sqMercury1.43)0.3; Venus(conjSun)0.7; FULLSTACKx1.3,Neptune>Sun/Neptune>Venus/Uranus>Jupiter,Jup>Jupiter,
LOGC,Logicbio Therapeutics Inc,2018-10-19,pharma_biotech,2017+,32.0,3.46,4.0,8.0,1,4,2027-08-16,2027-07-05,Neptune(mod-dom)0.4; Mercury(sqMars0.15)1.7; Jupiter(ang3+sqMoon)0.5; FULLSTACKx1.3,Pluto>Venus,Jup>Jupiter/Jup>Neptune,2027-07-18:sqSun/2027-08-17:sqJupiter
ALVR,Allovir Inc,2020-07-30,unclassified,2017+,32.0,3.69,4.0,8.0,1,3,2027-12-14,2027-11-02,Sun(domicile)1.0; Jupiter(oppMercury0.06)1.4; Venus(ang5)0.4; FULLSTACKx1.3,Pluto>Sun,Jup>Venus,2028-01-12:oppJupiter/2028-01-26:oppSun
LI,Li Auto Inc,2020-07-30,unclassified,2017+,32.0,3.69,4.0,8.0,1,3,2027-12-14,2027-11-02,Sun(domicile)1.0; Jupiter(oppMercury0.06)1.4; Venus(ang5)0.4; FULLSTACKx1.3,Pluto>Sun,Jup>Venus,2028-01-12:oppJupiter/2028-01-26:oppSun
KOSN,Kosan Biosciences Inc,2000-10-05,pharma_biotech,pre-2010,31.6,1.34,2.34,13.5,4,3,2027-08-06,2027-06-25,Mercury(ang4)0.3; Pluto(sqMars0.94)0.2; Jupiter(sqMars0.48)0.5; FULLSTACKx1.3,Pluto>Mercury/Pluto>Neptune/Uranus>Jupiter/Uranus>Pluto,Jup>Jupiter/Jup>Pluto,2027-08-02:sqMercury
GLV,Clough Global Allocation Fnd,2004-07-28,unclassified,pre-2010,31.57,2.95,3.95,8.0,1,3,2028-03-03,2028-01-21,Sun(domicile)1.0; Jupiter(ang0)0.5; Venus(ang6+oppMoon)0.8; FULLSTACKx1.3,Pluto>Sun,Jup>Jupiter/Jup>Venus,2028-01-26:oppSun
MNKD,MannKind Corp,2004-07-28,unclassified,pre-2010,31.57,2.95,3.95,8.0,1,3,2028-03-03,2028-01-21,Sun(domicile)1.0; Jupiter(ang0)0.5; Venus(ang6+oppMoon)0.8; FULLSTACKx1.3,Pluto>Sun,Jup>Jupiter/Jup>Venus,2028-01-26:oppSun
EPL,Energy Partners Ltd,2000-11-01,oil_gas,pre-2010,31.52,2.32,3.32,9.5,2,5,2027-08-26,2027-07-15,Neptune(sqMercury0.00)1.9; Pluto(ang3)0.4,Pluto>Neptune/Uranus>Jupiter,Jup>Jupiter/Jup>Pluto/Jup>Saturn/Jup>Venus,2027-08-02:sqSun
ADCT,ADC Therapeutics SA,2020-05-15,pharma_biotech,2017+,31.52,2.32,3.32,9.5,1,5,2027-07-17,2027-06-05,Neptune(mod-dom+sqVenus1.18)0.7; Mercury(domicile+sqMoon)0.9; Jupiter(station)0.2; FULLSTACKx1.3,Uranus>Mercury,Jup>Mercury/Jup>Sun,2027-07-18:conjJupiter/2027-07-18:conjPluto/2027-08-17:sqSun
PRTHV,Parthus Technologies PLC,2000-05-19,tech_software,pre-2010,31.21,2.9,3.9,8.0,1,5,2027-07-07,2027-05-26,Uranus(mod-dom+sqVenus1.88)0.2; Mercury(domicile+oppMoon+conjMars0.06)2.7,Uranus>Mercury,Jup>Jupiter/Jup>Sun/Jup>Uranus/Jup>Venus,2027-08-17:sqVenus
CSAV,coolsavings.com inc,2000-05-19,tech_software,pre-2010,31.21,2.9,3.9,8.0,1,5,2027-07-07,2027-05-26,Uranus(mod-dom+sqVenus1.88)0.2; Mercury(domicile+oppMoon+conjMars0.06)2.7,Uranus>Mercury,Jup>Jupiter/Jup>Sun/Jup>Uranus/Jup>Venus,2027-08-17:sqVenus
G,Genpact Ltd,2007-08-01,unclassified,pre-2010,30.28,2.79,3.79,8.0,1,3,2027-07-27,2027-06-15,Sun(domicile)1.0; Jupiter(domicile+sqMoon)0.6; Venus(station)0.5; FULLSTACKx1.3,Uranus>Jupiter,Jup>Jupiter/Jup>Venus,2027-08-02:conjSun
MMYT,MakeMyTrip Ltd,2010-08-11,unclassified,2010-16,30.0,3.06,4.0,7.5,2,2,2027-01-18,2026-12-07,Sun(domicile)1.0; Jupiter(oppVenus1.69)0.1; Venus(domicile+ang6)1.3; FULLSTACKx1.3,Neptune>Jupiter/Neptune>Venus,Jup>Sun,2027-02-06:oppSun
RP,RealPage Inc,2010-08-11,unclassified,2010-16,30.0,3.06,4.0,7.5,2,2,2027-01-18,2026-12-07,Sun(domicile)1.0; Jupiter(oppVenus1.69)0.1; Venus(domicile+ang6)1.3; FULLSTACKx1.3,Neptune>Jupiter/Neptune>Venus,Jup>Sun,2027-02-06:oppSun
RTIX,Regeneration Technologies Inc,2000-08-10,tech_software,pre-2010,29.63,2.29,3.29,9.0,2,4,2027-03-09,2027-01-26,Uranus(mod-dom+oppSun)0.4; Mercury(conjMars0.05)1.9,Pluto>Mercury/Uranus>Venus,Jup>Sun/Jup>Uranus,2027-02-06:oppSun/2027-02-06:conjUranus
VINA,Vina Technologies Inc,2000-08-10,tech_software,pre-2010,29.63,2.29,3.29,9.0,2,4,2027-03-09,2027-01-26,Uranus(mod-dom+oppSun)0.4; Mercury(conjMars0.05)1.9,Pluto>Mercury/Uranus>Venus,Jup>Sun/Jup>Uranus,2027-02-06:oppSun/2027-02-06:conjUranus
BOI,Brookfield Mortgage Opport,2013-03-25,unclassified,2010-16,29.48,2.69,3.69,8.0,3,1,2027-08-06,2027-06-25,Sun(exalt+conjVenus0.80)1.3; Jupiter(sqMoon)0.2; Venus(conjSun)0.5; FULLSTACKx1.3,Neptune>Sun/Neptune>Venus/Uranus>Jupiter,Jup>Jupiter,
