country_name,src,country_rank,symbol,name,sector,industry,market_cap_bucket,market_cap,verdict,entry_today_asymmetry,entry_today_inflection,asymmetry_score,inflection_asymmetry_score,yartseva_score,inflection_score,inflection_flag,berezin_score,intrinsic_discount,cluster_n,confirm_overall,ev_ebitda,ev_ebit,p_e,p_s,pb,p_tb,fcf_yield,roce,net_debt_ebitda,ebitda_margin,gross_margin,insider_ownership_pct,momentum_12m,thesis
United States,US,1,DDEJF,Dundee Corporation,Consumer Staples,Household Products,Micro Cap,258739280.0,UNRESEARCHED,1.163700926871588,1.2288372929347051,0.6705480749468234,0.7080809700954704,0.6858653583061494,0.7162552288733465,1.0,0.5354032210584533,0.7135245575365426,6,0.929,0.2884945285215367,2.072199699958191,1.6551725,28.64378168936123,0.4323772123172869,,0.0448482348717983,0.3341716183009114,-1.632315277682668,32.332558396988816,0.8884091663899036,0.24588,0.2050209154933862,
United States,US,2,CTTMF,Catena Media plc,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap,14751776.0,UNRESEARCHED,1.0678946070141822,0.7962418644654308,0.5933242253599923,0.4423934574911413,0.8883194558461358,0.3374344331568384,1.0,0.6863510558330482,0.7522361194441325,5,0.833,-0.2749939879759519,,,0.3002539333618286,0.1271946058735277,,0.5353931621521368,0.0766389116922716,3.4203406813627253,-0.0812521625857401,0.7092874152775234,0.31282,-0.6858891960439722,
United States,US,3,BVNRY,Bavarian Nordic A/S,Health Care,Biotechnology,Mid Cap,2166362368.0,UNRESEARCHED,1.0626067305946543,0.9348258483707106,0.5782893771943698,0.5087487610180739,0.9802493055314812,0.4313755030623754,1.0,0.4705595664632723,0.7640040387949032,4,1.0,0.0166390627933765,,12.233334,0.3637759212897746,0.1707373301148241,,0.6033593545140459,0.1460339572001152,-0.9250618816401116,0.3908219204995423,0.477257480885228,0.0,-0.2289293077256944,
United States,US,4,BYDIF,BYD Electronic (International) Company Limited,Information Technology,Communications Equipment,Large Cap,7030319616.0,UNRESEARCHED,0.9612797992446298,0.7199249350564916,0.5231454689766694,0.391795883023941,0.8070877142157463,0.2192914485064424,1.0,0.5157952236356743,0.7500657371244098,3,1.0,0.0204236224122801,,13.608696,0.0391710569649202,0.20412083566697,,,0.1329941372200374,-0.6521364578626783,0.0582417216152736,0.0599332548848321,0.66149,-0.382642996358074,
United States,US,5,KMNCF,Kingsmen Creatives Ltd.,Industrials,Professional Services,Nano Cap,84244016.0,UNRESEARCHED,0.9407655271047188,0.7904748148027722,0.5559871534383433,0.4671661848616757,0.7665285980271691,0.3117774918260192,1.0,0.5432332685048519,0.6312762653088171,3,1.0,0.322385683167471,,7.0,0.2261317213537192,0.6575809916323218,,0.3269193624387517,0.4453866500700171,-3.275786955964635,0.062846267823398,0.2474982820821164,0.60728,0.0769230828012472,
United States,US,6,YHEKF,YEAHKA LTD.,Information Technology,Software,Mid Cap,279734208.0,UNRESEARCHED,0.9389074927436993,0.7395657953836905,0.523719627345559,0.4125274595732717,0.8029125520211975,0.3272671248114948,1.0,0.5466033138073768,0.7439728621312367,4,1.0,2.651652121127221,,24.066668,0.0844983153754836,0.0936119757809888,,0.7196366916984283,0.1381134350182231,-7.797722444024188,0.0517512301655626,0.2380742660540759,0.55152,-0.5487500049360096,
United States,US,7,WEBJF,Web Travel Group Ltd.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap,336648032.0,UNRESEARCHED,0.9292267521127099,0.8637197645655793,0.5880636093429967,0.5466073389046271,0.925,0.4979659715739964,1.0,0.4379997639157097,0.5312346279924312,4,1.0,0.9604917610062892,,9.3,0.8544366294416244,0.5784330446735395,,0.2827879296796246,0.2627856365614798,-1.6855345911949686,0.3228426395939086,1.0,0.055760004,0.0,
United States,US,8,XIACF,Xiaomi Corporation,Information Technology,"Electronic Equipment, Instruments & Components",Large Cap,83134275584.0,UNRESEARCHED,0.912157360957107,0.8788034505491401,0.5349290686385528,0.5153688732230751,0.9940577249306768,0.379435822124603,0.0,0.5584318961045323,0.6709942564264287,2,1.0,0.004463968841723,,14.043478,0.1817990288092511,0.3292789451270621,,0.2570927797212138,0.1802008771755683,0.1484449932233043,0.1356661997028573,0.2226302446456308,0.20488001,-0.5298398729433708,
United States,US,9,RMGOF,Remgro Limited,Financials,Capital Markets,Mid Cap,5533171712.0,UNRESEARCHED,0.909749207472306,0.8782936057646323,0.5390533546774657,0.5096503975757635,0.7176598785058652,0.4329058795818896,1.0,0.6535214513530111,0.7166601328189248,3,0.875,0.5587699736172183,,22.857143,0.1044211385759308,0.0463197471202785,,0.5430881520417923,0.0277953659096122,-2.4255959268687803,0.0815452263677367,0.2656589103398818,0.03186,0.3579169102236922,
United States,US,10,IMPUF,Impala Platinum Holdings Limited,Materials,Metals & Mining,Large Cap,9201633280.0,UNRESEARCHED,0.906168462733715,0.776131258736727,0.5390006939610418,0.4616528871485168,0.5603092680129325,0.3552056470209353,1.0,0.4393098455440895,0.7013129491605288,5,0.667,,,18.294643,0.1076730745737722,0.0948201650814587,,0.0553162666356553,0.0281725020342221,,0.07898,0.0285868077089598,0.00081,0.0622083358547116,
