symbol,ts_week,ts_n,ts_r4,ts_r13,ts_r26,ts_r39,ts_r52,ts_r104,ts_r156,ts_r260,ts_ma10,ts_ma30,ts_ma40,ts_ma30_slope4,ts_ma30_slope13,ts_above_ma30,ts_dist_hi52,ts_dist_lo52,ts_dist_hi260,ts_wks_since_hi52,ts_mrs,ts_mrs_13ago,ts_rs_at_hi,ts_vol_spike,ts_vol_spike4,ts_tight5,ts_dvol26_usd,ts_maxdd_5y,ts_uw_share_5y,ts_maxdd_10y,ts_uw_share_10y,ts_beta_1y,ts_vol_1y,ts_beta_2y,ts_vol_2y,ts_beta_3y,ts_vol_3y,ts_dbeta_3y,ts_down_capture_3y,ts_weinstein_stage,ts_multi_year_high,ts_bench,ts_rs_raw,ts_rs_pct_mkt,ts_rs_pct_glob,ts_mkt_breadth30,ts_beta_1y_rk,ts_beta_3y_rk
000002.SZ,2026-09-25,653,0.189873,0.249169,-0.0738916,-0.232653,-0.461318,-0.454282,-0.729691,-0.804675,3.238,3.53533,3.863,-0.0545552,-0.172634,1,0.529577,1.30556,0.181994,51,0.0735051,-0.26839,0,4.90569,4.90569,0.18617,3.23493e+08,-0.846272,0.757692,-0.90043,0.828846,0.533144,0.335415,0.791654,0.358252,0.695801,0.371046,0.424538,0.944151,1,0,peer,-0.0539048,51.0569,36.6571,0.246612,0.111111,0.150678
000006.SZ,2026-09-25,653,-0.0360963,0.0055788,-0.197998,-0.262781,-0.097622,0.631222,0.534043,0.657471,6.949,8.095,8.463,-0.0338943,-0.131376,0,0.465161,1.29211,0.465161,47,-0.0250771,0.0326248,0,0.791748,0.816902,0.0873787,1.31634e+08,-0.569088,0.661538,-0.5962,0.790385,1.38641,0.547917,1.16882,0.545379,0.962039,0.488594,1.19882,0.63452,4,0,peer,-0.109449,33.9295,26.635,0.246612,0.809756,0.398916
000007.SZ,2026-09-25,653,-0.0761905,-0.0805687,-0.120846,-0.00936167,0.630252,1.13578,1.44025,1.8184,11.041,12.422,12.2748,-0.0062665,-0.015039,0,0.6543,1.72444,0.6543,20,0.229377,0.473942,0,0.506443,1.39246,0.138316,7.84732e+07,-0.605923,0.45,-0.860465,0.836538,1.24373,0.598226,1.03459,0.499369,0.8886,0.4834,0.865379,0.626295,4,0,peer,0.0677815,77.6152,63.5224,0.246612,0.697561,0.311111
000009.SZ,2026-09-25,661,-0.0633609,0.103896,-0.249448,-0.313131,-0.341085,-0.0760869,-0.344894,-0.69697,7.215,7.65,8.19575,-0.0418337,-0.142665,0,0.533752,1.15254,0.292222,50,-0.0519177,-0.163769,0,0.404172,0.673474,0.0676471,1.23055e+08,-0.717432,0.957692,-0.776501,0.840385,1.28865,0.418788,1.08292,0.387883,0.865376,0.352558,0.707475,0.897479,4,0,peer,-0.139174,26.2873,22.5453,0.246612,0.734417,0.282927
000010.SZ,2026-09-25,653,-0.0625,-0.157303,-0.643705,-0.591281,-0.676026,-0.142857,-0.486301,-0.590164,1.571,2.48167,2.7735,-0.0989955,-0.264255,0,0.303644,1.07143,0.285714,27,-0.442707,-0.436032,0,0.423515,1.0401,0.146667,3.20968e+07,-0.697479,0.669231,-0.838746,0.955769,0.994698,0.589417,1.17217,0.642645,1.22063,0.635329,1.37008,0.98966,4,0,peer,-0.445124,0.216802,4.45462,0.246612,0.468835,0.745257
000014.SZ,2026-09-25,660,-0.0707423,0.146552,-0.306389,-0.231214,-0.423306,0.161572,-0.166144,0.913669,10.231,11.3733,11.931,-0.034986,-0.128569,0,0.415301,1.28039,0.415301,47,-0.00585684,-0.154662,0,0.707504,1.23649,0.108083,5.13423e+07,-0.626434,0.5,-0.704595,0.930769,0.777506,0.462725,0.966792,0.489564,0.784081,0.46022,0.661161,0.672612,4,0,peer,-0.133561,27.5339,23.3082,0.246612,0.258537,0.21355
000016.SZ,2026-09-25,653,0.00408163,0.0649351,-0.240741,-0.526923,-0.559928,-0.0610686,-0.438356,-0.673307,2.46,2.84767,3.31125,-0.071514,-0.261944,0,0.398703,1.14953,0.297461,46,-0.185915,-0.374635,0,0,3.98652,0.00406504,6.53186e+07,-0.724734,0.911538,-0.816,0.807692,0.927674,0.474127,0.767651,0.657893,0.97826,0.661845,0.705813,1.09486,4,0,peer,-0.239544,6.12466,12.1462,0.246612,0.4,0.423848
000017.SZ,2026-09-25,653,-0.342358,0.491089,0.0976676,-0.105701,0.122206,0.431559,0.640523,1.07438,7.466,6.587,6.90975,0.00770016,-0.0478462,1,0.63598,1.5462,0.506048,3,0.279187,-0.0426902,0,3.8141,6.98362,0.524568,3.8222e+07,-0.605469,0.742308,-0.848201,0.930769,0.600517,0.756023,0.834357,0.612657,0.762983,0.692405,0.426985,0.620205,2,0,peer,0.21927,88.9431,79.8779,0.246612,0.150678,0.199458
000019.SZ,2026-09-25,660,-0.0737705,0.191564,-0.111402,-0.021645,0.0303952,0.204263,-0.0230547,0.141414,6.615,6.76867,6.8085,0.00152898,-0.0289786,1,0.801418,1.22162,0.793911,2,0.189736,0.0662253,0,1.16976,4.07595,0.0811209,6.17263e+07,-0.329657,0.330769,-0.687798,0.955769,0.464282,0.315415,0.524556,0.272687,0.574793,0.262799,0.580264,0.497863,1,0,peer,0.0560952,76.0976,61.6257,0.246612,0.0878049,0.0867209
000020.SZ,2026-09-25,653,0.0175841,0.226728,-0.207266,-0.0666199,-0.0234776,-0.00299625,0.092775,0.451472,11.884,13.254,13.615,-0.0213394,-0.0994292,1,0.518706,1.45464,0.518706,26,0.153621,-0.0314427,0,1.6892,2.18627,0.0773855,5.20411e+07,-0.582512,0.565385,-0.700377,0.928846,0.207882,0.71768,0.601698,0.553247,0.87433,0.631958,1.05235,0.533043,1,0,peer,0.0312185,72.3035,57.1352,0.246612,0.0227642,0.295935
