ticker,filing_date,company,accession,role,score,distress_pts,grant_pts,talent_pts,talent_hits,grant_value_usd,base_salary_usd,stock_hurdles,reasons
JTAI,2026-05-21,Jet.AI Inc. ,0001493152-26-024854,,43.0,43.0,0.0,0.0,,,,,DD 99%; P/B 0.13
CP,2026-03-25,CANADIAN PACIFIC KANSAS CITY LTD/CN ,0001193125-26-124134,Chief Operating Officer,40.0,10.0,18.0,12.0,field: PG&E restructure,1397800.0,,"77.12,1.37,73.63,104.08",in special_situations (RESTRUCT_8K); 4 stock-price tranches; hurdles up to $104.08; PG&E restructure
BYND,2026-04-02,"BEYOND MEAT, INC. ",0001655210-26-000018,,35.0,35.0,0.0,0.0,,,,,DD 91%; in special_situations (RESTRUCT_8K)
CMTL,2026-06-15,COMTECH TELECOMMUNICATIONS CORP /DE/ ,0001104659-26-073803,,35.0,35.0,0.0,0.0,,,,,DD 61%; P/B 0.68; in special_situations (ACTIVIST_13D)
FISV,2026-06-15,FISERV INC ,0001193125-26-270336,,35.0,35.0,0.0,0.0,,,,,DD 73%; P/B 0.97
BTCS,2026-01-05,BTCS Inc. ,0001493152-26-000391,,35.0,35.0,0.0,0.0,,,,,DD 87%; P/B 0.78
HRTX,2026-04-06,"HERON THERAPEUTICS, INC. /DE/ ",0001193125-26-142947,,35.0,35.0,0.0,0.0,,,,,DD 82%; in special_situations (NOL_SHELL)
WW,2025-12-23,"WW INTERNATIONAL, INC. ",0001193125-25-330852,,33.0,33.0,0.0,0.0,,,,,DD 59%; P/B 0.60; PSU.chapter11_emergence
BGS,2026-05-05,"B&G Foods, Inc. ",0001104659-26-055718,,28.0,28.0,0.0,0.0,,,,,P/B 0.78; in special_situations (RESTRUCT_8K)
VSNT,2026-01-05,"Versant Media Group, Inc. ",0000950103-26-000080,,28.0,28.0,0.0,0.0,,,,,P/B 0.54; in special_situations (RUSSELL_BOUNDARY)
KSS,2026-06-15,KOHLS Corp ,0001193125-26-271291,,26.0,26.0,0.0,0.0,,,,,P/B 0.48
UEIC,2025-12-30,UNIVERSAL ELECTRONICS INC ,0000101984-25-000249,,26.0,26.0,0.0,0.0,,,,,P/B 0.36
ARQ,2026-05-27,"Arq, Inc. ",0001515156-26-000069,,25.0,25.0,0.0,0.0,,,,,DD 64%; P/B 0.73
WVE,2026-04-15,Wave Life Sciences Ltd. ,0001193125-26-157003,,25.0,25.0,0.0,0.0,,,,,DD 72%
BYRN,2026-06-18,Byrna Technologies Inc. ,0001437749-26-021173,,25.0,25.0,0.0,0.0,,,,,DD 83%
GOGO,2026-06-02,Gogo Inc. ,0001193125-26-253430,,25.0,25.0,0.0,0.0,,,,,DD 80%
CGC,2026-01-08,Canopy Growth Corp ,0001104659-26-002134,,25.0,25.0,0.0,0.0,,,,,DD 59%; P/B 0.83
ATEC,2026-02-24,"Alphatec Holdings, Inc. ",0001193125-26-067062,,25.0,25.0,0.0,0.0,,,,,DD 62%; in special_situations (RESTRUCT_8K)
RPD,2026-06-01,"Rapid7, Inc. ",0001193125-26-249850,,25.0,25.0,0.0,0.0,,,,,DD 74%
ZSQR,2026-04-30,Z Squared Inc. ,0001683168-26-003388,,25.0,25.0,0.0,0.0,,,,,DD 52%; in special_situations (RESTRUCT_8K)
EVTV,2026-05-20,"Envirotech Vehicles, Inc. ",0001437749-26-017874,,25.0,25.0,0.0,0.0,,,,,DD 71%
CCOI,2026-05-04,"COGENT COMMUNICATIONS HOLDINGS, INC. ",0001104659-26-054817,,25.0,25.0,0.0,0.0,,,,,DD 74%
CBZ,2026-04-29,"CBIZ, Inc. ",0000944148-26-000067,,25.0,25.0,0.0,0.0,,,,,DD 60%; P/B 0.87
RM,2026-05-19,Regional Management Corp. ,0001193125-26-230932,,20.0,20.0,0.0,0.0,,,,,P/B 0.92; in special_situations (RUSSELL_BOUNDARY)
SM,2026-05-22,SM Energy Co ,0000893538-26-000069,,20.0,20.0,0.0,0.0,,,,,P/B 0.95; in special_situations (RESTRUCT_8K)
LW,2026-02-04,"Lamb Weston Holdings, Inc. ",0001104659-26-010076,,18.0,18.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
ALXO,2026-01-21,ALX ONCOLOGY HOLDINGS INC ,0001193125-26-018094,,18.0,18.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
LBTYK,2026-04-01,Liberty Global Ltd. ,0001570585-26-000064,,18.0,18.0,0.0,0.0,,,,,P/B 0.38
CDE,2026-03-23,"Coeur Mining, Inc. ",0001140361-26-010650,,18.0,18.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
ACDC,2026-04-13,ProFrac Holding Corp. ,0001104659-26-042680,,18.0,18.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
BILL,2026-06-17,"BILL Holdings, Inc. ",0001628280-26-043873,,18.0,18.0,0.0,0.0,,,,,P/B 0.85
CCO,2026-02-09,"Clear Channel Outdoor Holdings, Inc. ",0001193125-26-043066,,18.0,18.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D); PSU.asset_sale_named
RYN,2026-02-02,RAYONIER INC ,0001193125-26-032194,,18.0,18.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY); PSU.asset_sale_named
EL,2026-05-01,ESTEE LAUDER COMPANIES INC ,0001001250-26-000017,,18.0,18.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
AZTA,2026-04-07,"Azenta, Inc. ",0001437749-26-011542,,18.0,18.0,0.0,0.0,,,,,P/B 0.69
PATH,2026-03-11,"UiPath, Inc. ",0001734722-26-000007,,18.0,18.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
WDAY,2026-03-06,"Workday, Inc. ",0001327811-26-000016,,15.0,15.0,0.0,0.0,,,,,DD 53%
SKLZ,2025-12-23,Skillz Inc. ,0001801661-25-000104,,15.0,15.0,0.0,0.0,,,,,DD 56%
PD,2026-05-11,"PagerDuty, Inc. ",0001140361-26-020610,,15.0,15.0,0.0,0.0,,,,,DD 53%
ADBE,2026-01-27,ADOBE INC. ,0000796343-26-000019,,15.0,15.0,0.0,0.0,,,,,DD 50%
GRPN,2025-12-31,"Groupon, Inc. ",0001628280-25-059158,,15.0,15.0,0.0,0.0,,,,,DD 62%
MIST,2026-06-15,Milestone Pharmaceuticals Inc. ,0001104659-26-074025,,15.0,15.0,0.0,0.0,,,,,DD 58%
ALKS,2026-05-01,Alkermes plc. ,0001193125-26-201657,,10.0,10.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
CCRN,2026-01-02,CROSS COUNTRY HEALTHCARE INC ,0001628280-26-000149,,10.0,10.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
IQV,2026-04-23,IQVIA HOLDINGS INC. ,0001193125-26-173771,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
MVIS,2026-02-24,"MICROVISION, INC. ",0001493152-26-007835,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
ADTX,2026-03-13,"Aditxt, Inc. ",0001213900-26-027281,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
VACHW,2026-05-29,Voyager Acquisition Corp./Cayman Islands ,0001829126-26-005814,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
OGN,2026-04-27,Organon & Co. ,0001193125-26-178718,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
HLX,2026-04-24,HELIX ENERGY SOLUTIONS GROUP INC ,0001140361-26-016767,,10.0,10.0,0.0,0.0,,,,,P/B 0.82
BACK,2026-03-19,"IMAC Holdings, Inc. ",0001493152-26-011609,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
NVRI,2026-05-11,Enviri II Corp ,0002104052-26-000055,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
JOBY-WT,2026-02-02,"Joby Aviation, Inc. ",0001628280-26-004597,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
BBBY-WT,2026-06-17,"BED BATH & BEYOND, INC. ",0001140361-26-025607,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
CIK0001831363,2026-03-25,"Terns Pharmaceuticals, Inc. ",0001193125-26-122785,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
ESAB,2026-06-12,ESAB Corp ,0001213900-26-067998,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
XOMAP,2026-01-15,XOMA Royalty Corp ,0001193125-26-014142,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
SSP,2026-02-26,E.W. SCRIPPS Co ,0000832428-26-000006,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
MGM,2026-01-16,MGM Resorts International ,0000789570-26-000010,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
MED,2026-01-05,MEDIFAST INC ,0001628280-26-000235,,10.0,10.0,0.0,0.0,,,,,P/B 0.57
ENTG,2026-05-11,ENTEGRIS INC ,0001101302-26-000116,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
FITBP,2026-02-24,FIFTH THIRD BANCORP ,0000035527-26-000126,,10.0,10.0,0.0,0.0,,,,,in special_situations (DELISTING)
AZZ,2026-03-05,AZZ INC ,0000008947-26-000046,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
DINO,2026-05-12,HF Sinclair Corp ,0001193125-26-218135,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
WCC,2026-02-10,WESCO INTERNATIONAL INC ,0000929008-26-000005,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
GIII,2026-05-04,G III APPAREL GROUP LTD /DE/ ,0001104659-26-054873,,10.0,10.0,0.0,0.0,,,,,P/B 0.80
TACT,2026-05-12,TRANSACT TECHNOLOGIES INC ,0001214659-26-006001,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
GXO,2026-03-06,"GXO Logistics, Inc. ",0001104659-26-024439,,10.0,10.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
LODE,2026-06-17,Comstock Inc. ,0001437749-26-021003,,10.0,10.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
SDEV,2026-04-01,Stablecoin Development Corp ,0001437749-26-010902,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
NINE,2026-05-15,"Nine Energy Service, Inc. ",0001213900-26-057673,,10.0,10.0,0.0,0.0,,,,,in special_situations (NOL_SHELL)
SHC,2026-05-05,Sotera Health Co ,0001822479-26-000028,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
CIK0001053352,2025-12-23,HERITAGE COMMERCE CORP ,0001104659-25-124217,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
CIK0001830188,2026-02-23,"United Homes Group, Inc. ",0001104659-26-018344,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
CBL,2026-02-17,CBL & ASSOCIATES PROPERTIES INC ,0001193125-26-054978,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
TXNM,2026-03-03,TXNM ENERGY INC ,0001108426-26-000012,,10.0,10.0,0.0,0.0,,,,,in special_situations (RUSSELL_BOUNDARY)
CIK0000859737,2026-04-07,HOLOGIC INC ,0001193125-26-144632,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
CIK0000351834,2026-02-06,SunOpta Inc. ,0001062993-26-000660,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
FNGR,2026-05-14,"FingerMotion, Inc. ",0001520138-26-000163,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
GORO,2026-01-26,GOLD RESOURCE CORP ,0001104659-26-006591,,10.0,10.0,0.0,0.0,,,,,P/B 0.57
CIK0001129155,2026-02-05,MARINE PRODUCTS CORP ,0001104659-26-010931,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
MCFT,2026-02-05,"MasterCraft Boat Holdings, Inc. ",0001193125-26-039497,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
VREOD,2026-05-05,Vireo Growth Inc. ,0001104659-26-055624,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
CIK0001133470,2026-01-15,CALAVO GROWERS INC ,0001193125-26-013320,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
AVO,2026-01-15,"Mission Produce, Inc. ",0001193125-26-013366,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
CIK0001561680,2026-02-13,"Tri Pointe Homes, Inc. ",0001193125-26-049867,,10.0,10.0,0.0,0.0,,,,,in special_situations (GOING_DARK)
USFD,2026-05-14,US Foods Holding Corp. ,0001665918-26-000035,,10.0,10.0,0.0,0.0,,,,,in special_situations (RESTRUCT_8K)
NVTS,2026-05-22,Navitas Semiconductor Corp ,0001104659-26-065737,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
CTOR,2026-04-29,"CITIUS ONCOLOGY, INC. ",0001213900-26-049347,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
FDX,2026-05-13,FEDEX CORP ,0001104659-26-060233,,10.0,10.0,0.0,0.0,,,,,in special_situations (DELISTING)
CIK0002075109,2026-05-29,"Matternet, Inc. ",0001213900-26-062961,,10.0,10.0,0.0,0.0,,,,,in special_situations (FORM_10_SPINOFF)
BZFDW,2026-05-11,"BuzzFeed, Inc. ",0001828972-26-000054,,10.0,10.0,0.0,0.0,,,,,in special_situations (ACTIVIST_13D)
