symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes
ZOO.L,,,,,GBp,11313499.0,13479812.0,11.5,49570000.0,-333000.0,1485000.0,-772000.0,-0.006717772846479726,-0.01557393584829534,-4.45945945945946,-0.3837953091684435,-6.711711711711712,0.2719348799677224,-40.47991591591592,,0.6148306613770991,-0.06823706794865143,-2424000.0,-0.21425732216001434,0.2951341578763564,0.24770375135795664,-2235000.0,-0.19755161511040925,0,2025-09-30,,0,0.22823278192455115,,7.618517845117845,18021000.0,0.3635464998991325,1.5928759086821858,0.3029183196565404,0.14116,22.0,0.9130434782608696,0.09523809523809523,1,0.6652456306096679,0.521213318076489,,0,,0.22006448595830563,0.9735944810086432,1.1243718592964824,0.9542192966850501,0.3036762806620979,0.39947442862043386,,,,,0.22006448595830563,0.9735944810086432,1.1243718592964824,0.9542192966850501,0.7699315367006057,2.8606311272771947,2.8847845455784844,3.8763667946902935,1,1,1,1,0,1,0,0,-0.7079119783506623,0.3241166691822188,1,0,16091000.0,,0.047977130072711455,0.027121681055546507,0.0,0.5721660572166057,1,0.09523809523809523,-0.1248263907202104,-0.878356385770548,-0.8589812014469549,-0.10231130580131985,0.4911188209347583,0.5746001179686551,"growth-flip; first-positive: CFO; ROCE improving from <=0; FCF break-even ETA 0.0y; accelerating sales; under-priced vs fundamentals; Berezin classic (P/S 0.23, P/B 0.61, GP/mcap 1.6x)"
LWDB.L,,,,,GBp,1554713600.0,1724856600.0,1168.0,366003000.0,,51820000.0,51328000.0,,0.1402392876561121,,,,4.712684322259654,,,1.2933582347191315,0.03301444073043421,,,0.028156311233142876,0.025378921354969452,-174381000.0,-0.11216278033459025,0,2025-12-31,,0,4.247816547951793,5.078261,30.00219220378232,,,,0.1814828525674355,,,,0.1995665227593103,0,0.3786260782664304,0.8186090155772902,,0,,1.1740341665082683,,0.10542258628781091,0.10775871371533398,,-0.13498761787515573,,,,,1.1740341665082683,,0.10542258628781091,0.10775871371533398,0.8336626726507353,,0.04560164217495145,0.03776517963072286,0,0,0,0,0,0,0,0,,,0,0,4993000.0,,0.0,,0.0,0.0,0,0.1995665227593103,-0.974467643748958,,0.09180780904397633,-0.4482301422677534,0.44362999232424505,0.5156979846816022,accelerating sales; under-priced vs fundamentals
LIO.L,,,,,GBp,177347216.0,139113264.0,297.5,169790000.0,33577000.0,20627000.0,20035000.0,0.19775605159314447,0.11799870428175982,0.6143193257289216,0.34755188268920095,-1.4151651428060874,0.8193254255256494,4.14311177293981,6.217630463931349,1.5849714995576132,0.11297047933360285,43291000.0,0.24410307066788126,0.27269669685708514,0.3476447795804719,47517000.0,0.26793203226827084,0,2025-09-30,4.096630154073595,0,1.044509193709877,14.874999,8.597819169050274,157702000.0,0.928806172330526,0.8892273786807006,0.007551857578222051,0.109919995,360.5,0.21176470588235285,-0.27063033275740306,0,0.2909375486223256,0.43791254931673024,14.198338169647442,1,5.845809810681966,-0.14199374396757777,1.4767278896511027,-0.26870169467489186,-0.2860960661345496,0.12924794856568966,-0.02381817285643381,,,,,-0.14199374396757777,1.4767278896511027,-0.26870169467489186,-0.2860960661345496,0.04478272836114883,2.277536000141846,,,0,1,0,0,0,0,0,1,-0.008143788770478765,0.35569567145967973,1,1,,,,0.0,,0.0,0,-0.27063033275740306,-0.12863658878982528,-1.7473582224085058,0.015465733377146518,-0.14992500099552244,0.6201763592737283,0.48629181003111904,growth-flip; first-positive: NI/ROCE; ROCE improving from <=0; under-priced vs fundamentals; cheap+grow (EV/EBIT 6.2x)
EUA.L,,,,,GBp,76736792.0,71150816.0,2.6,6636001.0,-8133317.0,3948109.0,2204373.0,-1.2256352884817228,0.33218394632550535,-0.48542421253223006,-0.40301625051497975,0.1782448661474771,10.721941723637475,-8.748068715383896,,3.4033184318463867,0.028726415876233136,3523173.0,0.04591243532828425,0.02997880078176841,0.03233240501416034,1449722.0,0.018892137164138945,0,2025-06-30,21.780591529283406,0,11.563710132050915,,19.436340789983255,-65130.0,-0.009814645898938231,-0.0008487454101547534,0.03773144663755911,0.30817,,,-0.3246753327177799,0,0.27449044044638493,0.885384488107745,,0,,2.206940928698251,-0.4901867342089053,1.21132280276867,1.832886104339494,1.4119804411842163,1.6112235266203159,,,,,2.206940928698251,-0.4901867342089053,1.21132280276867,1.832886104339494,-14.105437234865857,-0.5978132089649664,-0.05093349571659722,1.0065820954686648,0,0,0,0,0,0,1,0,-0.3210454151669097,-0.08197083534807004,0,0,4851041.0,,0.0,,0.0,,0,-0.3246753327177799,-2.531616261416031,0.16551140149112542,-2.1575614370572738,-0.7894178027294236,1.3282710249279008,0.36402646394095944,first-positive: FCF; under-priced vs fundamentals
STAF.L,,,,,GBp,44859800.0,50234604.0,41.0,1106700000.0,15900000.0,5900000.0,900000.0,0.01436703713743562,0.000813228517213337,0.3710691823899371,0.31630170316301703,0.15723270440251572,0.04539134724857685,3.159409056603774,3.8642003076923075,1.1621709844559585,0.020062505851564206,-4500000.0,-0.10031252925782104,0.18725005461459926,0.16721541191008493,-2500000.0,-0.055729182921011686,0,2025-12-31,,0,0.04053474292942984,10.25,7.60335593220339,78300000.0,0.07075088099756031,1.745438009086086,0.2823834196891192,0.3163,60.000004,0.46341473170731695,-0.05529957238475703,0,0.5653458692212872,-0.1320588115037633,,0,39.46814474763353,0.11461375767952463,0.012738853503184714,-0.7230046948356808,-0.9467455621301775,-0.0014452299589487096,-0.0162076195037354,,,,,0.11461375767952463,0.012738853503184714,-0.7230046948356808,-0.9467455621301775,-0.024947816979031548,-0.3890468607825296,-1.4270046948356807,-1.6712353580485448,0,0,0,0,0,0,0,1,0.3235294117647059,-0.007227708601688865,0,0,,,,0.0,,0.0,0,-0.05529957238475703,-0.16991333006428166,-0.06803842588794175,0.8914459897454204,-0.15244144340907678,-0.12526319759603005,0.35452390717795207,first-positive: NI
ABDP.L,,,,,GBp,238515264.0,200360000.0,1042.0,114700000.0,25700000.0,24700000.0,21600000.0,0.22406277244986922,0.18831734960767219,0.9610894941634242,0.17221584385763491,-1.5291828793774318,1.746817785527463,7.796108949416342,13.357333333333333,1.8869878481012659,0.09056024188036871,30600000.0,0.12829367599718902,0.1798627026235101,0.2141145937312837,39300000.0,0.16476932897678195,0,2026-02-28,7.7946164705882355,0,2.07947047951177,,9.656488421052632,71100000.0,0.6198779424585876,0.29809412952288034,0.028481012658227847,0.12824,2022.2219,0.9407119961612285,-0.4079080582998099,0,0.27451671247450693,0.09336213270974644,143.07013931290484,0,90.89354685888297,0.030548068283917342,0.13716814159292035,0.05106382978723404,0.09644670050761421,0.021007965621477498,0.011318248080268767,,,,,0.030548068283917342,0.13716814159292035,0.05106382978723404,0.09644670050761421,-0.07398019989911876,0.16733593114791326,-0.16372035217192854,-0.13897284044309444,0,1,0,0,0,0,0,0,0.11976630963972736,0.05244953421790756,0,0,1900000.0,,0.0,0.0,0.0,0.0,0,-0.4079080582998099,-0.43845612658372723,-0.5450761998927303,-0.5043547588074241,-0.42545917078264034,0.47833656401663044,0.333037287896712,growth-flip; under-priced vs fundamentals
CER.L,,,,,GBp,366305120.0,337911840.0,1240.0,45358000.0,24315000.0,13228000.0,10949000.0,0.5360686097270603,0.2413907138762732,0.5440263212009048,0.6821437468858994,-1.1707999177462471,7.449884033687552,13.89725848241826,15.426242410408582,6.046634532849125,0.02989038209457733,39540000.0,0.1079427991615296,0.08863375974651952,0.09608127374287921,28468000.0,0.07771663142464402,0,2026-03-31,9.264165907941326,0,8.075865778914414,26.95652,27.691648019352886,36968000.0,0.8150271175977777,0.10092133028334412,0.06601188511059755,0.21234,1983.75,0.5997983870967742,-0.34732229482706556,0,0.25134967842437933,0.0870294966108573,177.25303501852144,0,150.62233443022663,0.03673058901510823,0.10583045297434965,0.1803337199964308,0.12911209652469835,0.03349723992979847,0.01975006566251808,,,,,0.03673058901510823,0.10583045297434965,0.1803337199964308,0.12911209652469835,-0.08022115977222902,-0.06188064633526266,0.03089782256053336,-0.035692708280106455,0,0,0,0,0,0,0,0,0.9229622034767209,-0.24081845659082146,0,0,1252000.0,,0.0,0.0,0.0,0.0,0,-0.34732229482706556,-0.3840528838421738,-0.45315274780141523,-0.4764343913517639,-0.37044617754263737,0.42102155013449755,0.32404411239976216,under-priced vs fundamentals
IPX.L,,,,,GBp,119189208.0,64817204.0,98.1,141873000.0,33403000.0,23820000.0,23339000.0,0.23544296659688596,0.16450628378902257,0.7131096009340478,0.545491399779927,-1.6277579858096578,0.4568677902067342,1.940460557434961,2.2938459142867256,1.122594331892289,0.19581470832493492,67416000.0,0.5656216794392995,0.49654663365159707,0.9130754853294814,54372000.0,0.4561822409290613,0,2026-03-31,1.7679661801352795,0,0.8401119874817619,9.809999,5.003745088161209,87753000.0,0.6185320674124041,0.7362495436667387,0.045312838480593,0.2209,186.0,0.8960244648318043,-0.4981083083997524,0,0.35313568010754265,-0.17627914902829964,,0,,-0.1660073010293158,-0.3810935502399437,-0.5295836953945809,-0.5290948710705783,-0.08182261569253341,-0.1268412322738298,,,,,-0.1660073010293158,-0.3810935502399437,-0.5295836953945809,-0.5290948710705783,-0.11973192497881319,-0.316855392253953,-0.8394967748647797,-0.8391498509817645,0,0,0,0,0,0,0,0,1.4442819965496068,-0.8987905967696798,0,0,,,,,,,0,-0.4981083083997524,-0.3321010073704366,-0.11701475815980872,0.03098656267082589,-0.3982061327159296,0.1393764009531398,0.26435538296389116,under-priced vs fundamentals
EAH.L,,,,,GBp,61717900.0,56399200.0,92.0,79596000.0,7292000.0,10448000.0,5444000.0,0.09161264385144982,0.0683953967536057,1.4328030718595721,0.06267209890418657,-1.8613549094898518,0.7085682697622996,7.734393856280856,12.64272584622282,0.728209030948757,0.08820779708966119,39505000.0,0.6400898280725689,0.3019383355558112,0.33041248812039886,13573000.0,0.21991999079683527,0,2025-09-30,1.5622807239589924,0,0.7753894668073773,23.0,5.907149693721286,35914000.0,0.4512035780692497,0.5819057356131689,0.05972649935695492,0.117790006,179.16699,0.9474672826086956,0.4603174603174603,0,0.44889850767281836,0.1314174582459615,96.20278777999677,0,2123.7449674786562,-0.10988347386549172,0.11617939690800551,0.10948285016459594,0.13582307531817234,0.018554559711081678,0.014795611465868906,,,,,-0.10988347386549172,0.11617939690800551,0.10948285016459594,0.13582307531817234,-0.15807186692148684,0.2389133837483439,0.517442110820952,0.6529011609604898,0,1,1,1,0,0,0,0,0.057207572580768584,0.005464526323417984,0,0,651000.0,,0.0,0.0,0.0,0.0,0,0.4603174603174603,0.570200934182952,0.3441380634094548,0.32449438499928795,0.6405913354503735,-0.4129444608638983,0.2549394007088821,growth-flip
NCYT.L,,,,,GBp,27528348.0,18022974.0,38.0,20029000.0,-8182000.0,-9005000.0,-9886000.0,-0.4085076638873633,-0.4935843027609966,1.1005866536299194,-1.8240469208211143,1.0644096797848936,0.8998439263068551,-2.202758983133708,,1.177834502823892,-0.35912071439957094,10784000.0,0.3917416330249821,0.6959734743254481,1.063032105578136,8709000.0,0.3163647887624786,1,2025-12-31,2.5527028931750744,0,1.3744244844974787,,,12614000.0,0.6297868091267662,0.4582185607360093,0.44711620742769126,0.00059,6600.0,172.68421052631578,-0.20833333333333334,0,0.35944916343791145,0.335500676227269,,0,,0.02032603158430973,0.7392606755895474,0.015739425073778554,0.10208900999091734,1.1900659479312816,0.0672919071218358,,,,,0.02032603158430973,0.7392606755895474,0.015739425073778554,0.10208900999091734,-0.8278991826139768,2.2729708088152236,-0.5754032660823192,-0.4202122742853756,0,1,0,0,0,0,0,0,-1.3222514250605863,-0.501795495760528,0,0,1124000.0,,8.795373665480428,0.35270281920855245,62.53472222222222,1.2123443708609272,0,-0.20833333333333334,-0.22865936491764308,-0.9475940089228808,-0.31042234332425067,-0.22410421555411317,0.42769498317972193,0.23612479053643717,"growth-flip; under-priced vs fundamentals; cash 70% of mcap; cash > EV (1.06x, net cash 32% mcap)"
