rank,ticker,company,current_price,market_cap_musd,composite,ungameable_score,triangulation_score,per_share_metrics,aggregate_metrics,stock_price_hurdles_plausible,ladder_count,ladder_top,ladder_top_x,transformation_signal,discretionary_language,repricing_language,retirement_language,activists_named,advisers_named,has_special_committee,active_bid,majority_of_minority,has_debt_event,has_spinoff,buyback_authorisation_musd,sc13d_filings_1y,insider_form4_count_90d,short_pct_float,earnings_in_days,drawdown_pct,vol_spike,pos_in_6m_range,accumulation_score,filing_date,filing_url,ungameable_reasons,triangulation_reasons
1,OPEN,Opendoor Technologies Inc.,5.440000057220459,5248.0,59.3,80,34,,,"6.24, 9.00, 13.00, 17.00, 21.00, 25.00, 29.00, 33.00, 15.00, 6.56",10,33.0,6.066176406781361,False,False,False,False,,"Goldman Sachs, Morgan Stanley, Barclays",False,True,False,,,,0,6,0.1447,3,44.7,0.71,0.225,25,2026-04-28,https://www.sec.gov/Archives/edgar/data/1801169/000114036126017460/ny20064714x1_def14a.htm,Multi-tranche ladder (10 hurdles); Top hurdle 6.1x current (deep OTM),Moderate insider tape (6); Active bid; Banker engaged
2,LBRT,Liberty Energy Inc. ,32.880001068115234,5365.7,56.2,58,54,,,"50.00, 770.00",2,770.0,23.418490723429237,False,False,True,False,,"Goldman Sachs, J.P. Morgan, JPMorgan",False,True,False,True,True,,0,11,0.1159,-12,96.6,1.3,0.861,10,2026-02-06,https://www.sec.gov/Archives/edgar/data/1694028/000199937126002794/ex4-1.htm,2-tranche ladder; Top hurdle 23.4x current (deep OTM); ** Repricing / target reset language,Heavy insider tape (11); Active bid; Debt event; Spin-off; Banker engaged
3,OCUL,"OCULAR THERAPEUTIX, INC ",9.430000305175781,2052.8,54.5,68,38,,market_cap,"15.00, 30.00, 20.00, 25.00",4,30.0,3.181336058232586,False,False,False,False,,,False,False,False,True,True,,0,12,0.113000005,0,33.1,0.64,0.338,25,2026-04-30,https://www.sec.gov/Archives/edgar/data/1393434/000110465926053176/ocul-20260611xdef14a.htm,** market_cap metric (gameable via dilution); Multi-tranche ladder (4 hurdles); Top hurdle 3.2x current (deep OTM),Heavy insider tape (12); Debt event; Spin-off
4,MC,Moelis & Co ,64.76000213623047,4755.8,52.8,60,44,"eps, tsr, roe",absolute_net_income,,0,,,False,False,False,True,,"Evercore, Houlihan Lokey, Lazard, MOELIS, Moelis, PJT Partners, Perella Weinberg, UBS, moelis",False,False,False,True,True,,0,21,0.0958,-5,41.6,1.36,0.473,20,2026-04-30,https://www.sec.gov/Archives/edgar/data/1596967/000119312526193242/d79640ddef14a.htm,TSR metric; EPS metric; ROE metric; ** absolute NI; ** Retirement language (milking risk),Heavy insider tape (21); Debt event; Spin-off; Banker engaged
5,EXLS,"ExlService Holdings, Inc. ",31.739999771118164,4849.3,51.4,64,36,"eps, tsr, roic","absolute_net_income, absolute_op_income",,0,,,False,False,False,False,,"Bank of America, Citigroup, Evercore",,,,,,63.3,0,23,0.0857,-6,21.5,1.84,0.26,35,2026-04-27,https://www.sec.gov/Archives/edgar/data/1297989/000119312526181891/d885936ddef14a.htm,TSR metric; EPS metric; ROIC metric; ** absolute NI,Heavy insider tape (23); Buyback $63M; Banker engaged
6,MUR,MURPHY OIL CORP ,41.5901985168457,5961.9,51.2,62,38,,,"50.00, 250.00, 415.00",3,415.0,9.978312554384859,False,True,False,False,,"BANK OF AMERICA, Bank of America, Bank of america, BofA Securities, JP Morgan, JPMORGAN, JPMorgan, MORGAN STANLEY, Morgan Stanley, bofa securities",False,False,False,True,False,,0,23,0.0967,2,92.5,0.98,0.677,10,2026-01-06,https://www.sec.gov/Archives/edgar/data/717423/000095010326000187/dp239642_ex1001.htm,Multi-tranche ladder (3 hurdles); Top hurdle 10.0x current (deep OTM); ** Discretionary committee override language,Heavy insider tape (23); Debt event; Banker engaged
7,HTH,Hilltop Holdings Inc. ,38.029998779296875,2225.9,49.8,61,36,"eps, tsr, other_per_share","absolute_net_income, absolute_op_income",,0,,,False,False,False,False,,"Bank of America, GOLDMAN SACHS, Goldman Sachs, Piper Sandler, Deutsche Bank, Oppenheimer",False,False,False,False,True,125.0,0,33,0.0581,-11,75.7,1.07,0.738,15,2026-04-30,https://www.sec.gov/Archives/edgar/data/1265131/000110465926053118/hth-20260723xdef14a.htm,TSR metric; EPS metric; ** absolute NI,Heavy insider tape (33); Spin-off; Buyback $125M; Banker engaged
8,AGO,ASSURED GUARANTY LTD ,81.33999633789062,3649.0,49.1,68,26,,,"100.00, 150.00",2,150.0,1.8441112214573026,False,False,False,False,,,False,False,False,True,False,,0,24,0.0484,3,19.9,1.46,0.247,35,2026-03-23,https://www.sec.gov/Archives/edgar/data/1273813/000127381326000047/gaapagre4q2025fs.htm,2-tranche ladder; Top hurdle 1.8x current,Heavy insider tape (24); Debt event
9,PEGA,PEGASYSTEMS INC ,36.20000076293945,6049.6,49.0,58,38,"eps, tsr","absolute_revenue, absolute_net_income",59.72,1,59.72,1.6497237221370356,False,False,False,True,,Goldman Sachs,,,,,,,0,37,0.0941,-13,7.3,2.43,0.083,50,2026-04-24,https://www.sec.gov/Archives/edgar/data/1013857/000101385726000031/pega-20260424.htm,TSR metric; EPS metric; ** absolute revenue; ** absolute NI; Single hurdle; Top hurdle 1.6x current; ** Retirement language (milking risk),Heavy insider tape (37); Banker engaged; At 6m low (8%)
10,BKV,BKV Corp ,31.31999969482422,3426.0,48.1,58,36,"tsr, roce",,,0,,,False,False,False,True,,,True,,,,,,0,20,0.08930001,2,92.5,1.46,0.563,25,2026-04-28,https://www.sec.gov/Archives/edgar/data/1838406/000110465926050381/tm2611848-2_def14a.htm,TSR metric; ROCE metric; ** Retirement language (milking risk),Heavy insider tape (20); Special committee
11,DYN,"Dyne Therapeutics, Inc. ",17.389999389648438,2873.2,47.2,58,34,tsr,"market_cap, absolute_net_income","18.44, 19.56, 20.00",3,20.0,1.1500862968347882,False,False,False,True,,Jefferies,,,,,,,0,20,0.1743,-64,58.1,0.98,0.355,25,2026-04-23,https://www.sec.gov/Archives/edgar/data/1818794/000119312526173655/dyn-20260422.htm,TSR metric; ** market_cap metric (gameable via dilution); ** absolute NI; Multi-tranche ladder (3 hurdles); ** Retirement language (milking risk),Heavy insider tape (20); Short 17%; Banker engaged
12,AAL,American Airlines Group Inc. ,11.84000015258789,7830.8,46.5,60,30,"eps, tsr, roe",,,0,,,False,False,True,False,,Citi,,,,,,,0,13,0.0908,-12,26.2,1.16,0.482,10,2026-04-28,https://www.sec.gov/Archives/edgar/data/6201/000119312526187096/d83928ddef14a.htm,TSR metric; EPS metric; ROE metric; ** Repricing / target reset language,Heavy insider tape (13); Banker engaged
13,TARS,"Tarsus Pharmaceuticals, Inc. ",63.619998931884766,2737.2,45.2,56,32,tsr,market_cap,81.88,1,81.88,1.287016683034928,False,False,False,False,,,,,,,,,0,26,0.1095,2,54.6,1.87,0.189,40,2026-04-28,https://www.sec.gov/Archives/edgar/data/1819790/000181979026000028/tars-20260428.htm,TSR metric; ** market_cap metric (gameable via dilution); Single hurdle,Heavy insider tape (26); At 6m low (19%)
