rank,ticker,company,current_price,market_cap_musd,composite,ungameable_score,triangulation_score,per_share_metrics,aggregate_metrics,stock_price_hurdles_plausible,ladder_count,ladder_top,ladder_top_x,transformation_signal,discretionary_language,repricing_language,retirement_language,activists_named,advisers_named,has_special_committee,active_bid,majority_of_minority,has_debt_event,has_spinoff,buyback_authorisation_musd,sc13d_filings_1y,insider_form4_count_90d,short_pct_float,earnings_in_days,drawdown_pct,vol_spike,pos_in_6m_range,accumulation_score,filing_date,filing_url,ungameable_reasons,triangulation_reasons
1,IRWD,IRONWOOD PHARMACEUTICALS INC ,4.440000057220459,730.9,63.9,72,54,"tsr, roe",absolute_net_income,"13.23, 13.80, 15.53, 17.25",4,17.25,3.8851350850654924,False,True,False,False,Icahn,"Bank of America, Morgan Stanley",,True,,,,,0,13,0.120799996,2,74.2,1.12,0.536,15,2026-04-28,https://www.sec.gov/Archives/edgar/data/1446847/000110465926050325/tm261380-1_def14a.htm,TSR metric; ROE metric; ** absolute NI; Multi-tranche ladder (4 hurdles); Top hurdle 3.9x current (deep OTM); ** Discretionary committee override language,Activist: Icahn; Heavy insider tape (13); Active bid; Banker engaged
2,PENG,"Penguin Solutions, Inc.",31.239999771118164,1642.0,58.6,64,52,"eps, tsr","market_cap, absolute_revenue, absolute_sales, absolute_op_income",500.00,1,500.0,16.00512175618699,True,False,False,False,,JPMorgan,False,True,False,,,,0,16,0.2401,-33,95.8,3.48,0.971,40,2026-04-01,https://www.sec.gov/Archives/edgar/data/1616533/000161653326000034/peng-2026formsx82021induce.htm,TSR metric; EPS metric; ** market_cap metric (gameable via dilution); ** absolute revenue; Single hurdle; Top hurdle 16.0x current (deep OTM); PSU TRANSFORM signal,Heavy insider tape (16); Short 24%; Active bid; Banker engaged; Vol spike 3.5x
3,PVLA,"PALVELLA THERAPEUTICS, INC. ",126.83999633789062,1815.5,56.9,56,58,tsr,absolute_net_income,,0,,,False,False,False,False,,"Citigroup, Goldman Sachs, Cowen",False,True,False,True,True,,0,12,0.15640001,2,82.9,1.23,0.52,15,2026-04-30,https://www.sec.gov/Archives/edgar/data/1583648/000110465926052875/tm261617-1_def14a.htm,TSR metric; ** absolute NI,Heavy insider tape (12); Short 16%; Active bid; Debt event; Spin-off; Banker engaged
4,SLDB,Solid Biosciences Inc. ,7.130000114440918,701.7,56.5,70,40,"eps, tsr",,,0,,,False,False,False,False,,"Barclays, JPMorgan, Jefferies, UBS",,True,,,,,0,22,0.1104,-46,75.7,1.15,0.631,10,2026-04-23,https://www.sec.gov/Archives/edgar/data/1707502/000119312526173642/sldb-20260422.htm,TSR metric; EPS metric,Heavy insider tape (22); Active bid; Banker engaged
5,CTMX,"CytomX Therapeutics, Inc. ",4.179999828338623,903.6,56.0,56,56,,,5.15,1,5.15,1.2320574668652349,False,False,False,False,,"Barclays, Citigroup, UBS",False,True,False,True,True,,0,9,0.1309,3,45.5,1.19,0.121,35,2026-04-30,https://www.sec.gov/Archives/edgar/data/1501989/000114036126018237/ny20064651x2_def14a.htm,Single hurdle,Moderate insider tape (9); Active bid; Debt event; Spin-off; Banker engaged; At 6m low (12%)
6,DCH,Dauch Corp ,5.710000038146973,1351.8,54.0,72,32,,,"22.00, 90.00",2,90.0,15.761821260724034,False,False,False,False,,,False,False,False,,,,0,28,0.1148,3,28.7,0.85,0.17,30,2026-02-10,https://www.sec.gov/Archives/edgar/data/1062231/000094787126000107/ss5933196_ex9901.htm,2-tranche ladder; Top hurdle 15.8x current (deep OTM),Heavy insider tape (28); At 6m low (17%)
7,AEVA,"Aeva Technologies, Inc. ",16.479999542236328,1038.7,53.8,70,34,tsr,absolute_net_income,100.00,1,100.0,6.0679613335978315,False,False,False,False,,,False,True,False,True,True,,0,3,0.2034,2,26.3,1.55,0.35,30,2026-04-29,https://www.sec.gov/Archives/edgar/data/1789029/000114036126017859/aeva-20260618.htm,TSR metric; ** absolute NI; Single hurdle; Top hurdle 6.1x current (deep OTM),Short 20%; Active bid; Debt event; Spin-off
8,PUMP,ProPetro Holding Corp. ,16.200000762939453,1986.4,53.2,64,40,,,350.00,1,350.0,21.604937254119815,False,False,False,False,,,False,False,False,True,False,,0,17,0.1007,-5,88.6,4.21,0.696,45,2026-05-04,https://www.sec.gov/Archives/edgar/data/1680247/000110465926054472/tm2613443d1_8k.htm,Single hurdle; Top hurdle 21.6x current (deep OTM),Heavy insider tape (17); Debt event; Vol spike 4.2x
9,RYAM,RAYONIER ADVANCED MATERIALS INC. ,9.3100004196167,627.4,53.1,72,30,,,"15.00, 30.00, 45.00",3,45.0,4.833512134455166,False,False,False,True,,"Bank of America, Citigroup",False,False,False,,,100.0,0,20,0.0471,1,68.4,2.75,0.581,30,2026-04-24,https://www.sec.gov/Archives/edgar/data/1597672/000114036126016749/ef20071435_8k.htm,Multi-tranche ladder (3 hurdles); Top hurdle 4.8x current (deep OTM); ** Retirement language (milking risk),Heavy insider tape (20); Buyback $100M; Banker engaged
10,VEL,"Velocity Financial, Inc. ",19.420000076293945,761.9,52.3,64,38,,,"20.76, 19.56",2,20.76,1.0690010256664106,False,False,False,False,,"Barclays, Goldman Sachs, Guggenheim, Jefferies, Morgan Stanley, UBS",False,True,False,,,,0,5,0.2,2,58.9,1.18,0.294,35,2026-04-10,https://www.sec.gov/Archives/edgar/data/1692376/000119312526150488/d57704ddef14a.htm,2-tranche ladder,Moderate insider tape (5); Short 20%; Active bid; Banker engaged
